Country,Case source is DataSet13,0,K
,,1,N
,,,
record_id,PARTICIPANT STUDY ID,,
,,,
redcap_event_name,Event Name,4_phase_ii_arm_1,4. Phase II
,,2_baseline_arm_1,2. Baseline
,,1_screening_and_co_arm_1,1. Screening and Consent
,,3_follow_up_arm_1,3. Follow Up
,,,
screening_data_time,Date and Time of record creation - Data Quality Check,,
,,,
intervention_control_fac,Intervention or control facility,1,Intervention
,,2,Control
,,,
screening_date,Date of data collection/interview,,
,,,
ga_age,Gestational Age on the day of data collection,,
,,,
ga_determined_by___1,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=LMP [Siku ya mwisho ya Hedhi]),0,Unchecked
,,1,Checked
,,,
ga_determined_by___2,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=Ultrasound),0,Unchecked
,,1,Checked
,,,
ga_determined_by___3,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=Fundal height),0,Unchecked
,,1,Checked
,,,
ga_determined_by___4,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=Pelvic exam),0,Unchecked
,,1,Checked
,,,
edd_date,When is your EDD (Expected Date of Delivery)?,,
,,,
p_eligibility_by_ga,Client eligible by Gestational Age?,,
,,,
language_spoken___1,Able to speak and understand any of the following languages (choice=English),{REDACTED},
,,,
language_spoken___2,Able to speak and understand any of the following languages (choice=Kiswahili),{REDACTED},
,,,
language_spoken___4,Able to speak and understand any of the following languages (choice=Luo),{REDACTED},
,,,
language_spoken___5,Able to speak and understand any of the following languages (choice=Kamba),{REDACTED},
,,,
ga_edd,GA of woman on EDD,,
,,,
screening_age,Age at last birthday  [Umri wako],,
,,,
planning_to_stay_same_place,Are you planning to stay in this area for the next 1 and a half years and continue your antenatal care at this facility?  [Una mpango wa kuishi mahala hapa kwa mwaka 1 1/2 ujao na uendelee na malezi yako ya wajawazito kwenye kituo hiki?],1,Yes [Ndio]
,,2,No [La]
,,,
planning_to_be_away,Are you planning to be away from home (near this facility) for more than 4 weeks in a row at any time during your pregnancy or more than 3 months in a row in the year after you have your baby?  [Una mpango wa kuwa mbali na nyumbani (karibu na kituo hiki),1,Yes [Ndio]
,,2,No [La]
,,,
education_level,What is the highest level of education you completed?  [Ulihitimu kiwango kipi cha juu cha masomo?],1,No school [Sikuenda shule]
,,2,Primary [Msingi]
,,3,Quaranic education only [Masomo ya Quarani pekee]
,,4,Secondary [Sekondari]
,,5,Post Secondary [Masomo baada ya sekondari]
,,,
religion,What is your religion?  [Uko katika dini gani?],{REDACTED},
,,,
time_to_reach_fac,How long does it take you to get here using the mode of transportation?  [Inakuchukua muda upi kufika hapa ukitumia mbinu hiyo ya usafiri?],,
,,,
marital_status,What is your current marital status?  [Ni ipi hadhi yako ya ndoa sasa hivi?],1,Married [Olewa]
,,2,Single  not in union [simo mahusianoni]
,,3,Cohabiting [kuishi pamoja]
,,4,Separated/divorced [Tengana/ talikiwa]
,,5,Widowed [kufiwa]
,,6,Never married [sijawai kuolewa]
,,,
number_given_birth,How many times have you given birth before?  [Umejifungua mara ngapi hapo awali? (pasina kutilia maanani matokeo) ],,
,,,
group_visit_date,Date of first meeting for the G-ANC cohort  [Tarehe na saa ya mkutano wa kwanza wa kikundi chako],,
,,,
intervention_cohort_ga,Gestational Age of client at next group visit 1,,
,,,
baseline_time_dc,Date and Time of data collection - Data Quality Check,,
,,,
baseline_women_date,Date of data collection/ interview,,
,,,
baseline_women_q1,1. Have you given birth before?  [Umewahi kujifungua hapo awali],1,Yes [Ndio]
,,2,No [La]
,,,
baseline_women_q2,2. What was the date of your last birth?  [Tarehe ya mara yako ya mwisho ya kujifungua ilikuwa ipi?],,
,,,
baseline_women_q3,3. Did you attend antenatal care during your last pregnancy?  [Kwenye ujauzito wako uliopita  ulihudhuria kliniki cha kuwapa wajawazito malezi?],1,Yes
,,2,No
,,,
baseline_women_q4a,a. I was greeted warmly  [Nilisalmiwa kwa furaha],1,Agree [Nakubali]
,,2,Disagree [Nakataa]
,,3,Neither agree nor disagree [Sikubali wala kukataa]
,,,
baseline_women_q4b,b. I was able to ask questions and they were answered in a way I understood  [Niliweza kuuliza maswali na yalijibiwa kwa namna niliyoelewa],1,Agree [Nakubali]
,,2,Disagree [Nakataa]
,,3,Neither agree nor disagree [Sikubali wala kukataa]
,,,
baseline_women_q4c,c. I learned important information about how to keep myself and my baby healthy  [Nilijifunza mambo muhimu namna ya kujitunza pamoja na mtoto wangu kuwa na Afya bora],1,Agree [Nakubali]
,,2,Disagree [Nakataa]
,,3,Neither agree nor disagree [Sikubali wala kukataa]
,,,
baseline_women_q4d,d. I left antenatal care visits with questions or confused about some things  [Nilitoka kwenye kliniki cha wajawazito na maswali au utatanishi katika mambo mengine.],1,Agree [Nakubali]
,,2,Disagree [Nakataa]
