variable	variable2	values	mappedTerm
country	groupanc_screening::country	0	Kenya
country	groupanc_screening::country	1	Nigeria
redcap_event_name	groupanc_screening::redcap_event_name	1_SCREENING_AND_CO_ARM_1	Screening and consent
redcap_event_name	groupanc_baseline::redcap_event_name	2_BASELINE_ARM_1	        Baseline
redcap_event_name	groupanc_followup::redcap_event_name	3_FOLLOW_UP_ARM_1	        Follow-up
redcap_event_name	groupanc_phase2::redcap_event_name	4_PHASE_II_ARM_1	        Phase II
intervention_control_fac	groupanc_screening::intervention_control_fac	1	Intervention
intervention_control_fac	groupanc_screening::intervention_control_fac	2	Control
ga_determined_by___1	groupanc_screening::ga_determined_by___1	0	Unchecked
ga_determined_by___1	groupanc_screening::ga_determined_by___1	1	Checked
ga_determined_by___2	groupanc_screening::ga_determined_by___2	0	Unchecked
ga_determined_by___2	groupanc_screening::ga_determined_by___2	1	Checked
ga_determined_by___3	groupanc_screening::ga_determined_by___3	0	Unchecked
ga_determined_by___3	groupanc_screening::ga_determined_by___3	1	Checked
ga_determined_by___4	groupanc_screening::ga_determined_by___4	0	Unchecked
ga_determined_by___4	groupanc_screening::ga_determined_by___4	1	Checked
p_eligibility_by_ga	groupanc_screening::p_eligibility_by_ga	1	Yes
p_eligibility_by_ga	groupanc_screening::p_eligibility_by_ga	2	No
planning_to_stay_same_place	groupanc_screening::planning_to_stay_same_place	1	Yes
planning_to_stay_same_place	groupanc_screening::planning_to_stay_same_place	2	No
planning_to_be_away	groupanc_screening::planning_to_be_away	1	Yes
planning_to_be_away	groupanc_screening::planning_to_be_away	2	No
education_level	groupanc_screening::education_level	1	No school
education_level	groupanc_screening::education_level	2	Primary
education_level	groupanc_screening::education_level	3	Quaranic education only
education_level	groupanc_screening::education_level	4	Secondary
education_level	groupanc_screening::education_level	5	Post Secondary
marital_status	groupanc_screening::marital_status	1	Married
marital_status	groupanc_screening::marital_status	2	Single; not in union
marital_status	groupanc_screening::marital_status	3	Cohabiting
marital_status	groupanc_screening::marital_status	4	Separated/divorced
marital_status	groupanc_screening::marital_status	5	Widowed
marital_status	groupanc_screening::marital_status	6	Never married
group_visit_date	groupanc_screening::group_visit_date	2016	
group_visit_date	groupanc_screening::group_visit_date	2017	
baseline_women_q1	groupanc_baseline::baseline_women_q1	1	Yes
baseline_women_q1	groupanc_baseline::baseline_women_q1	2	No
baseline_women_q3	groupanc_baseline::baseline_women_q3	1	Yes
baseline_women_q3	groupanc_baseline::baseline_women_q3	2	No
baseline_women_q4a	groupanc_baseline::baseline_women_q4a	1	Agree
baseline_women_q4a	groupanc_baseline::baseline_women_q4a	2	Disagree
baseline_women_q4a	groupanc_baseline::baseline_women_q4a	3	Neither agree nor disagree
baseline_women_q4b	groupanc_baseline::baseline_women_q4b	1	Agree
baseline_women_q4b	groupanc_baseline::baseline_women_q4b	2	Disagree
baseline_women_q4b	groupanc_baseline::baseline_women_q4b	3	Neither agree nor disagree
baseline_women_q4c	groupanc_baseline::baseline_women_q4c	1	Agree
baseline_women_q4c	groupanc_baseline::baseline_women_q4c	2	Disagree
baseline_women_q4c	groupanc_baseline::baseline_women_q4c	3	Neither agree nor disagree
baseline_women_q4d	groupanc_baseline::baseline_women_q4d	1	Agree
baseline_women_q4d	groupanc_baseline::baseline_women_q4d	2	Disagree
baseline_women_q4d	groupanc_baseline::baseline_women_q4d	3	Neither agree nor disagree
baseline_women_q4e	groupanc_baseline::baseline_women_q4e	1	Agree
baseline_women_q4e	groupanc_baseline::baseline_women_q4e	2	Disagree
baseline_women_q4e	groupanc_baseline::baseline_women_q4e	3	Neither agree nor disagree
baseline_women_q4f	groupanc_baseline::baseline_women_q4f	1	Agree
baseline_women_q4f      groupanc_baseline::baseline_women_q4f	2	Disagree
baseline_women_q4f	groupanc_baseline::baseline_women_q4f	3	Neither agree nor disagree
baseline_women_q4g	groupanc_baseline::baseline_women_q4g	1	Agree
baseline_women_q4g	groupanc_baseline::baseline_women_q4g	2	Disagree
baseline_women_q4g	groupanc_baseline::baseline_women_q4g	3	Neither agree nor disagree
baseline_women_q4h	groupanc_baseline::baseline_women_q4h	1	Agree
baseline_women_q4h	groupanc_baseline::baseline_women_q4h	2	Disagree
baseline_women_q4h	groupanc_baseline::baseline_women_q4h	3	Neither agree nor disagree
baseline_women_q4i	groupanc_baseline::baseline_women_q4i	1	Agree
baseline_women_q4i	groupanc_baseline::baseline_women_q4i	2	Disagree
baseline_women_q4i	groupanc_baseline::baseline_women_q4i	3	Neither agree nor disagree
baseline_women_q4j	groupanc_baseline::baseline_women_q4j	1	Agree
baseline_women_q4j	groupanc_baseline::baseline_women_q4j	2	Disagree
baseline_women_q4j	groupanc_baseline::baseline_women_q4j	3	Neither agree nor disagree
baseline_women_q5	groupanc_baseline::baseline_women_q5	1	Yes
baseline_women_q5	groupanc_baseline::baseline_women_q5	2	No
baseline_women_q5	groupanc_baseline::baseline_women_q5	3	Not sure/Don't remember
baseline_women_q6	groupanc_baseline::baseline_women_q6	1	At home
baseline_women_q6	groupanc_baseline::baseline_women_q6	2	At a health facility
baseline_women_q6	groupanc_baseline::baseline_women_q6	3	In transit to a facility
baseline_women_q6	groupanc_baseline::baseline_women_q6	4	Other
baseline_women_q7	groupanc_baseline::baseline_women_q7	1	At home
baseline_women_q7	groupanc_baseline::baseline_women_q7	2	At a health facility
baseline_women_q7	groupanc_baseline::baseline_women_q7	3	Not sure/Undecided
baseline_women_q7	groupanc_baseline::baseline_women_q7	4	Other
baseline_women_q8___1	groupanc_baseline::baseline_women_q8___1	0	Unchecked
baseline_women_q8___1	groupanc_baseline::baseline_women_q8___1	1	Checked
baseline_women_q8___2	groupanc_baseline::baseline_women_q8___2	0	Unchecked
baseline_women_q8___2	groupanc_baseline::baseline_women_q8___2	1	Checked
baseline_women_q8___3	groupanc_baseline::baseline_women_q8___3	0	Unchecked
baseline_women_q8___3	groupanc_baseline::baseline_women_q8___3	1	Checked
baseline_women_q8___4	groupanc_baseline::baseline_women_q8___4	0	Unchecked
baseline_women_q8___4	groupanc_baseline::baseline_women_q8___4	1	Checked
baseline_women_q8___5	groupanc_baseline::baseline_women_q8___5	0	Unchecked
baseline_women_q8___5	groupanc_baseline::baseline_women_q8___5	1	Checked
baseline_women_q8___6	groupanc_baseline::baseline_women_q8___6	0	Unchecked
baseline_women_q8___6	groupanc_baseline::baseline_women_q8___6	1	Checked
baseline_women_q8___7	groupanc_baseline::baseline_women_q8___7	0	Unchecked
baseline_women_q8___7	groupanc_baseline::baseline_women_q8___7	1	Checked
baseline_women_q8___8	groupanc_baseline::baseline_women_q8___8	0	Unchecked
baseline_women_q8___8	groupanc_baseline::baseline_women_q8___8	1	Checked
baseline_women_q8___9	groupanc_baseline::baseline_women_q8___9	0	Unchecked
baseline_women_q8___9	groupanc_baseline::baseline_women_q8___9	1	Checked
baseline_women_q8___11	groupanc_baseline::baseline_women_q8___11	0	Unchecked
baseline_women_q8___11	groupanc_baseline::baseline_women_q8___11	1	Checked
baseline_women_q8___12	groupanc_baseline::baseline_women_q8___12	0	Unchecked
baseline_women_q8___12	groupanc_baseline::baseline_women_q8___12	1	Checked
baseline_women_q9	groupanc_baseline::baseline_women_q9	1	Mainly respondent
baseline_women_q9	groupanc_baseline::baseline_women_q9	2	Mainly husband/partner
baseline_women_q9	groupanc_baseline::baseline_women_q9	3	Joint decision
baseline_women_q9	groupanc_baseline::baseline_women_q9	4	Other
baseline_women_q10	groupanc_baseline::baseline_women_q10	1	Yes
baseline_women_q10	groupanc_baseline::baseline_women_q10	2	No
baseline_women_q10	groupanc_baseline::baseline_women_q10	3	Not sure/undecided
baseline_women_q11	groupanc_baseline::baseline_women_q11	1	Yes
baseline_women_q11	groupanc_baseline::baseline_women_q11	2	No
baseline_women_q11	groupanc_baseline::baseline_women_q11	3	Not sure
baseline_women_q12___1	groupanc_baseline::baseline_women_q12___1	0	Unchecked
baseline_women_q12___1	groupanc_baseline::baseline_women_q12___1	1	Checked
baseline_women_q12___2	groupanc_baseline::baseline_women_q12___2	0	Unchecked
baseline_women_q12___2	groupanc_baseline::baseline_women_q12___2	1	Checked
baseline_women_q12___3	groupanc_baseline::baseline_women_q12___3	0	Unchecked
baseline_women_q12___3	groupanc_baseline::baseline_women_q12___3	1	Checked
baseline_women_q12___4	groupanc_baseline::baseline_women_q12___4	0	Unchecked
baseline_women_q12___4	groupanc_baseline::baseline_women_q12___4	1	Checked
baseline_women_q12___5	groupanc_baseline::baseline_women_q12___5	0	Unchecked
baseline_women_q12___5	groupanc_baseline::baseline_women_q12___5	1	Checked
pregnancy_spacing	groupanc_baseline::pregnancy_spacing	1	Knows the time
pregnancy_spacing	groupanc_baseline::pregnancy_spacing	2	Don't know
pregnancy_spacing	groupanc_baseline::pregnancy_spacing	3	No response
baseline_women_q14	groupanc_baseline::baseline_women_q14	1	Immediately or within 1 hour of delivery
baseline_women_q14	groupanc_baseline::baseline_women_q14	2	After the first milk has gone (when true milk comes in)
baseline_women_q14	groupanc_baseline::baseline_women_q14	3	Other
baseline_desc_q15	groupanc_baseline::baseline_desc_q15	1	Knows the age
baseline_desc_q15	groupanc_baseline::baseline_desc_q15	2	Don't know
baseline_desc_q15	groupanc_baseline::baseline_desc_q15	3	No response
baseline_women_q16	groupanc_baseline::baseline_women_q16	1	Yes
baseline_women_q16	groupanc_baseline::baseline_women_q16	2	No
baseline_women_q16	groupanc_baseline::baseline_women_q16	3	Not sure
baseline_women_q17___1	groupanc_baseline::baseline_women_q17___1	0	Unchecked
baseline_women_q17___1	groupanc_baseline::baseline_women_q17___1	1	Checked
baseline_women_q17___2	groupanc_baseline::baseline_women_q17___2	0	Unchecked
baseline_women_q17___2	groupanc_baseline::baseline_women_q17___2	1	Checked
baseline_women_q17___3	groupanc_baseline::baseline_women_q17___3	0	Unchecked
baseline_women_q17___3	groupanc_baseline::baseline_women_q17___3	1	Checked
baseline_women_q17___4	groupanc_baseline::baseline_women_q17___4	0	Unchecked
baseline_women_q17___4	groupanc_baseline::baseline_women_q17___4	1	Checked
baseline_women_q18	groupanc_baseline::baseline_women_q18	1	Yes
baseline_women_q18	groupanc_baseline::baseline_women_q18	2	No
baseline_women_q18	groupanc_baseline::baseline_women_q18	3	Don't know
baseline_women_q19___1	groupanc_baseline::baseline_women_q19___1	0	Unchecked
baseline_women_q19___1	groupanc_baseline::baseline_women_q19___1	1	Checked
baseline_women_q19___2	groupanc_baseline::baseline_women_q19___2	0	Unchecked
baseline_women_q19___2	groupanc_baseline::baseline_women_q19___2	1	Checked
baseline_women_q19___3	groupanc_baseline::baseline_women_q19___3	0	Unchecked
baseline_women_q19___3	groupanc_baseline::baseline_women_q19___3	1	Checked
baseline_women_q19___4	groupanc_baseline::baseline_women_q19___4	0	Unchecked
baseline_women_q19___4	groupanc_baseline::baseline_women_q19___4	1	Checked
baseline_women_q19___5	groupanc_baseline::baseline_women_q19___5	0	Unchecked
baseline_women_q19___5	groupanc_baseline::baseline_women_q19___5	1	Checked
baseline_women_q19___6	groupanc_baseline::baseline_women_q19___6	0	Unchecked
baseline_women_q19___6	groupanc_baseline::baseline_women_q19___6	1	Checked
baseline_women_q19___7	groupanc_baseline::baseline_women_q19___7	0	Unchecked
baseline_women_q19___7	groupanc_baseline::baseline_women_q19___7	1	Checked
baseline_women_q19___8	groupanc_baseline::baseline_women_q19___8	0	Unchecked
baseline_women_q19___8	groupanc_baseline::baseline_women_q19___8	1	Checked
baseline_women_q19___10	groupanc_baseline::baseline_women_q19___10	0	Unchecked
baseline_women_q19___10	groupanc_baseline::baseline_women_q19___10	1	Checked
baseline_women_q19___11	groupanc_baseline::baseline_women_q19___11	0	Unchecked
baseline_women_q19___11	groupanc_baseline::baseline_women_q19___11	1	Checked
baseline_women_q19___12	groupanc_baseline::baseline_women_q19___12	0	Unchecked
baseline_women_q19___12	groupanc_baseline::baseline_women_q19___12	1	Checked
baseline_women_q20___1	groupanc_baseline::baseline_women_q20___1	0	Unchecked
baseline_women_q20___1	groupanc_baseline::baseline_women_q20___1	1	Checked
baseline_women_q20___2	groupanc_baseline::baseline_women_q20___2	0	Unchecked
baseline_women_q20___2	groupanc_baseline::baseline_women_q20___2	1	Checked
baseline_women_q20___3	groupanc_baseline::baseline_women_q20___3	0	Unchecked
baseline_women_q20___3	groupanc_baseline::baseline_women_q20___3	1	Checked
baseline_women_q20___4	groupanc_baseline::baseline_women_q20___4	0	Unchecked
baseline_women_q20___4	groupanc_baseline::baseline_women_q20___4	1	Checked
baseline_women_q20___5	groupanc_baseline::baseline_women_q20___5	0	Unchecked
baseline_women_q20___5	groupanc_baseline::baseline_women_q20___5	1	Checked
baseline_women_q20___6	groupanc_baseline::baseline_women_q20___6	0	Unchecked
baseline_women_q20___6	groupanc_baseline::baseline_women_q20___6	1	Checked
baseline_women_q20___7	groupanc_baseline::baseline_women_q20___7	0	Unchecked
baseline_women_q20___7	groupanc_baseline::baseline_women_q20___7	1	Checked
baseline_women_q20___8	groupanc_baseline::baseline_women_q20___8	0	Unchecked
baseline_women_q20___8	groupanc_baseline::baseline_women_q20___8	1	Checked
baseline_women_q20___9	groupanc_baseline::baseline_women_q20___9	0	Unchecked
baseline_women_q20___9	groupanc_baseline::baseline_women_q20___9	1	Checked
baseline_women_q20___10	groupanc_baseline::baseline_women_q20___10	0	Unchecked
baseline_women_q20___10	groupanc_baseline::baseline_women_q20___10	1	Checked
baseline_women_q20___11	groupanc_baseline::baseline_women_q20___11	0	Unchecked
baseline_women_q20___11	groupanc_baseline::baseline_women_q20___11	1	Checked
baseline_women_q20___12	groupanc_baseline::baseline_women_q20___12	0	Unchecked
baseline_women_q20___12	groupanc_baseline::baseline_women_q20___12	1	Checked
baseline_women_q20___13	groupanc_baseline::baseline_women_q20___13	0	Unchecked
baseline_women_q20___13	groupanc_baseline::baseline_women_q20___13	1	Checked
baseline_women_q20___14	groupanc_baseline::baseline_women_q20___14	0	Unchecked
baseline_women_q20___14	groupanc_baseline::baseline_women_q20___14	1	Checked
baseline_women_q20___15	groupanc_baseline::baseline_women_q20___15	0	Unchecked
baseline_women_q20___15	groupanc_baseline::baseline_women_q20___15	1	Checked
baseline_women_q21___1	groupanc_baseline::baseline_women_q21___1	0	Unchecked
baseline_women_q21___1	groupanc_baseline::baseline_women_q21___1	1	Checked
baseline_women_q21___2	groupanc_baseline::baseline_women_q21___2	0	Unchecked
baseline_women_q21___2	groupanc_baseline::baseline_women_q21___2	1	Checked
baseline_women_q21___3	groupanc_baseline::baseline_women_q21___3	0	Unchecked
baseline_women_q21___3	groupanc_baseline::baseline_women_q21___3	1	Checked
baseline_women_q21___4	groupanc_baseline::baseline_women_q21___4	0	Unchecked
baseline_women_q21___4	groupanc_baseline::baseline_women_q21___4	1	Checked
baseline_women_q21___5	groupanc_baseline::baseline_women_q21___5	0	Unchecked
baseline_women_q21___5	groupanc_baseline::baseline_women_q21___5	1	Checked
baseline_women_q21___6	groupanc_baseline::baseline_women_q21___6	0	Unchecked
baseline_women_q21___6	groupanc_baseline::baseline_women_q21___6	1	Checked
baseline_women_q21___7	groupanc_baseline::baseline_women_q21___7	0	Unchecked
baseline_women_q21___7	groupanc_baseline::baseline_women_q21___7	1	Checked
baseline_women_q21___8	groupanc_baseline::baseline_women_q21___8	0	Unchecked
baseline_women_q21___8	groupanc_baseline::baseline_women_q21___8	1	Checked
baseline_women_q21___9	groupanc_baseline::baseline_women_q21___9	0	Unchecked
baseline_women_q21___9	groupanc_baseline::baseline_women_q21___9	1	Checked
baseline_women_q21___10	groupanc_baseline::baseline_women_q21___10	0	Unchecked
baseline_women_q21___10	groupanc_baseline::baseline_women_q21___10	1	Checked
baseline_women_q21___11	groupanc_baseline::baseline_women_q21___11	0	Unchecked
baseline_women_q21___11	groupanc_baseline::baseline_women_q21___11	1	Checked
baseline_women_q22___1	groupanc_baseline::baseline_women_q22___1	0	Unchecked
baseline_women_q22___1	groupanc_baseline::baseline_women_q22___1	1	Checked
baseline_women_q22___2	groupanc_baseline::baseline_women_q22___2	0	Unchecked
baseline_women_q22___2	groupanc_baseline::baseline_women_q22___2	1	Checked
baseline_women_q22___3	groupanc_baseline::baseline_women_q22___3	0	Unchecked
baseline_women_q22___3	groupanc_baseline::baseline_women_q22___3	1	Checked
baseline_women_q22___4	groupanc_baseline::baseline_women_q22___4	0	Unchecked
baseline_women_q22___4	groupanc_baseline::baseline_women_q22___4	1	Checked
baseline_women_q22___5	groupanc_baseline::baseline_women_q22___5	0	Unchecked
baseline_women_q22___5	groupanc_baseline::baseline_women_q22___5	1	Checked
baseline_women_q22___6	groupanc_baseline::baseline_women_q22___6	0	Unchecked
baseline_women_q22___6	groupanc_baseline::baseline_women_q22___6	1	Checked
baseline_women_q22___7	groupanc_baseline::baseline_women_q22___7	0	Unchecked
baseline_women_q22___7	groupanc_baseline::baseline_women_q22___7	1	Checked
baseline_women_q22___8	groupanc_baseline::baseline_women_q22___8	0	Unchecked
baseline_women_q22___8	groupanc_baseline::baseline_women_q22___8	1	Checked
baseline_women_q22___9	groupanc_baseline::baseline_women_q22___9	0	Unchecked
baseline_women_q22___9	groupanc_baseline::baseline_women_q22___9	1	Checked
baseline_women_q22___10	groupanc_baseline::baseline_women_q22___10	0	Unchecked
baseline_women_q22___10	groupanc_baseline::baseline_women_q22___10	1	Checked
baseline_women_q22___11	groupanc_baseline::baseline_women_q22___11	0	Unchecked
baseline_women_q22___11	groupanc_baseline::baseline_women_q22___11	1	Checked
baseline_women_q23___1	groupanc_baseline::baseline_women_q23___1	0	Unchecked
baseline_women_q23___1	groupanc_baseline::baseline_women_q23___1	1	Checked
baseline_women_q23___2	groupanc_baseline::baseline_women_q23___2	0	Unchecked
baseline_women_q23___2	groupanc_baseline::baseline_women_q23___2	1	Checked
baseline_women_q23___3	groupanc_baseline::baseline_women_q23___3	0	Unchecked
baseline_women_q23___3	groupanc_baseline::baseline_women_q23___3	1	Checked
baseline_women_q23___4	groupanc_baseline::baseline_women_q23___4	0	Unchecked
baseline_women_q23___4	groupanc_baseline::baseline_women_q23___4	1	Checked
baseline_women_q23___5	groupanc_baseline::baseline_women_q23___5	0	Unchecked
baseline_women_q23___5	groupanc_baseline::baseline_women_q23___5	1	Checked
baseline_women_q23___6	groupanc_baseline::baseline_women_q23___6	0	Unchecked
baseline_women_q23___6	groupanc_baseline::baseline_women_q23___6	1	Checked
baseline_women_q23___7	groupanc_baseline::baseline_women_q23___7	0	Unchecked
baseline_women_q23___7	groupanc_baseline::baseline_women_q23___7	1	Checked
baseline_women_q23___8	groupanc_baseline::baseline_women_q23___8	0	Unchecked
baseline_women_q23___8	groupanc_baseline::baseline_women_q23___8	1	Checked
baseline_women_q23___9	groupanc_baseline::baseline_women_q23___9	0	Unchecked
baseline_women_q23___9	groupanc_baseline::baseline_women_q23___9	1	Checked
baseline_women_q23___10	groupanc_baseline::baseline_women_q23___10	0	Unchecked
baseline_women_q23___10	groupanc_baseline::baseline_women_q23___10	1	Checked
baseline_women_q24	groupanc_baseline::baseline_women_q24	1	Yes
baseline_women_q24	groupanc_baseline::baseline_women_q24	2	No
baseline_women_q24	groupanc_baseline::baseline_women_q24	3	Not sure/Depends
baseline_women_q25	groupanc_baseline::baseline_women_q25	1	You
baseline_women_q25	groupanc_baseline::baseline_women_q25	2	Your husband/partner
baseline_women_q25	groupanc_baseline::baseline_women_q25	3	You and your husband/partner jointly
baseline_women_q25	groupanc_baseline::baseline_women_q25	4	Someone else  specify
baseline_women_q26a	groupanc_baseline::baseline_women_q26a	1	Agree
baseline_women_q26a	groupanc_baseline::baseline_women_q26a	2	Disagree
baseline_women_q26a	groupanc_baseline::baseline_women_q26a	3	Neither agree nor disagree
baseline_women_q26b	groupanc_baseline::baseline_women_q26b	1	Agree
baseline_women_q26b	groupanc_baseline::baseline_women_q26b	2	Disagree
baseline_women_q26b	groupanc_baseline::baseline_women_q26b	3	Neither agree nor disagree
baseline_women_q26c	groupanc_baseline::baseline_women_q26c	1	Agree
baseline_women_q26c	groupanc_baseline::baseline_women_q26c	2	Disagree
baseline_women_q26c	groupanc_baseline::baseline_women_q26c	3	Neither agree nor disagree
baseline_women_q26d	groupanc_baseline::baseline_women_q26d	1	Agree
baseline_women_q26d	groupanc_baseline::baseline_women_q26d	2	Disagree
baseline_women_q26d	groupanc_baseline::baseline_women_q26d	3	Neither agree nor disagree
baseline_women_q26e	groupanc_baseline::baseline_women_q26e	1	Agree
baseline_women_q26e	groupanc_baseline::baseline_women_q26e	2	Disagree
baseline_women_q26e	groupanc_baseline::baseline_women_q26e	3	Neither agree nor disagree
baseline_women_q26f	groupanc_baseline::baseline_women_q26f	1	Agree
baseline_women_q26f	groupanc_baseline::baseline_women_q26f	2	Disagree
baseline_women_q26f	groupanc_baseline::baseline_women_q26f	3	Neither agree nor disagree
baseline_women_q26g	groupanc_baseline::baseline_women_q26g	1	Agree
baseline_women_q26g	groupanc_baseline::baseline_women_q26g	2	Disagree
baseline_women_q26g	groupanc_baseline::baseline_women_q26g	3	Neither agree nor disagree
baseline_women_q26h	groupanc_baseline::baseline_women_q26h	1	Agree
baseline_women_q26h	groupanc_baseline::baseline_women_q26h	2	Disagree
baseline_women_q26h	groupanc_baseline::baseline_women_q26h	3	Neither agree nor disagree
baseline_women_q27a	groupanc_baseline::baseline_women_q27a	1	Agree
baseline_women_q27a	groupanc_baseline::baseline_women_q27a	2	Disagree
baseline_women_q27b	groupanc_baseline::baseline_women_q27b	1	Agree
baseline_women_q27b	groupanc_baseline::baseline_women_q27b	2	Disagree
baseline_women_q27c	groupanc_baseline::baseline_women_q27c	1	Agree
baseline_women_q27c	groupanc_baseline::baseline_women_q27c	2	Disagree
baseline_women_q27d	groupanc_baseline::baseline_women_q27d	1	Agree
baseline_women_q27d	groupanc_baseline::baseline_women_q27d	2	Disagree
baseline_survey_pregnant_women_complete	groupanc_baseline::baseline_survey_pregnant_women_complete	0	Incomplete
baseline_survey_pregnant_women_complete	groupanc_baseline::baseline_survey_pregnant_women_complete	1	Unverified
baseline_survey_pregnant_women_complete	groupanc_baseline::baseline_survey_pregnant_women_complete	2	Complete
additional_strategies	groupanc_followup::additional_strategies	0	No
additional_strategies	groupanc_followup::additional_strategies	1	Yes
person_lost	groupanc_followup::person_lost	0	No
person_lost	groupanc_followup::person_lost	1	Yes
attend_meetings	groupanc_followup::attend_meetings	0	No
attend_meetings	groupanc_followup::attend_meetings	1	Yes
hiv_status_known	groupanc_followup::hiv_status_known	0	No
hiv_status_known	groupanc_followup::hiv_status_known	1	Yes
hiv_partner_tested	groupanc_followup::hiv_partner_tested	0	No
hiv_partner_tested	groupanc_followup::hiv_partner_tested	1	Yes
grp_meetings_attended___1	groupanc_followup::grp_meetings_attended___1	0	Unchecked
grp_meetings_attended___1	groupanc_followup::grp_meetings_attended___1	1	Checked
grp_meetings_attended___2	groupanc_followup::grp_meetings_attended___2	0	Unchecked
grp_meetings_attended___2	groupanc_followup::grp_meetings_attended___2	1	Checked
grp_meetings_attended___3	groupanc_followup::grp_meetings_attended___3	0	Unchecked
grp_meetings_attended___3	groupanc_followup::grp_meetings_attended___3	1	Checked
grp_meetings_attended___4	groupanc_followup::grp_meetings_attended___4	0	Unchecked
grp_meetings_attended___4	groupanc_followup::grp_meetings_attended___4	1	Checked
grp_meetings_attended___5	groupanc_followup::grp_meetings_attended___5	0	Unchecked
grp_meetings_attended___5	groupanc_followup::grp_meetings_attended___5	1	Checked	
have_llin	groupanc_followup::have_llin	0	No
have_llin	groupanc_followup::have_llin	1	Yes
given_ifas	groupanc_followup::given_ifas	0	No
given_ifas	groupanc_followup::given_ifas	1	Yes
meeting_1___1	groupanc_followup::meeting_1___1	0	Unchecked
meeting_1___1	groupanc_followup::meeting_1___1	1	Checked
meeting_1___2	groupanc_followup::meeting_1___2	0	Unchecked
meeting_1___2	groupanc_followup::meeting_1___2	1	Checked
meeting_1___3	groupanc_followup::meeting_1___3	0	Unchecked
meeting_1___3	groupanc_followup::meeting_1___3	1	Checked
meeting_1___4	groupanc_followup::meeting_1___4	0	Unchecked
meeting_1___4	groupanc_followup::meeting_1___4	1	Checked
meeting_1___5	groupanc_followup::meeting_1___5	0	Unchecked
meeting_1___5	groupanc_followup::meeting_1___5	1	Checked
meeting_2___1	groupanc_followup::meeting_2___1	0	Unchecked
meeting_2___1	groupanc_followup::meeting_2___1	1	Checked
meeting_2___2	groupanc_followup::meeting_2___2	0	Unchecked
meeting_2___2	groupanc_followup::meeting_2___2	1	Checked
meeting_2___3	groupanc_followup::meeting_2___3	0	Unchecked
meeting_2___3	groupanc_followup::meeting_2___3	1	Checked
meeting_2___4	groupanc_followup::meeting_2___4	0	Unchecked
meeting_2___4	groupanc_followup::meeting_2___4	1	Checked
meeting_2___5	groupanc_followup::meeting_2___5	0	Unchecked
meeting_2___5	groupanc_followup::meeting_2___5	1	Checked
meeting_3___1	groupanc_followup::meeting_3___1	0	Unchecked
meeting_3___1	groupanc_followup::meeting_3___1	1	Checked
meeting_3___2	groupanc_followup::meeting_3___2	0	Unchecked
meeting_3___2	groupanc_followup::meeting_3___2	1	Checked
