variable,dataFile,codebookDescription,suggested_IRI,suggested_label,parent_in_ontology,parent_IRI,score,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010345,Admitted to hospital,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,30.738487,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,24.208485,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010390,Diarrhea treatment given in health center,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,21.682236,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,21.581783,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,Visited health facility,http://purl.obolibrary.org/obo/EUPATH_0010395,20.459904,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,19.77877,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010155,1st choice hospital or health center,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,18.12734,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010161,2nd choice hospital or health center,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,18.12734,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010167,3rd choice hospital or health center,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,18.12734,,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010353,Outcome leaving hospital or health center,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,18.12734,,
