<<<<<<< .mine,,,,,
variable,dataFile,codebookDescription,suggested_IRI,suggested_label,
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue",http://purl.obolibrary.org/obo/EUPATH_0010345,Admitted to hospital,
admit_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010155,1st choice hospital or health center,
admit_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,NA: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010159,1st choice facility SHC,
admit_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010161,2nd choice hospital or health center,
admit_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,NA: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010165,2nd choice facility SHC,
admit_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010167,3rd choice hospital or health center,
admit_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,NA: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010171,3rd choice facility SHC,
age,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),
brth_date,gems1_huas_data.sas7bdat,"A06: Eligibility information. Birth date of the child. Use \00\"" for day if unknown""",http://www.ebi.ac.uk/efo/EFO_0004950,Birth date Date of birth,
childid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",1. Child ID.,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,
consent,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If \refused\"" or \""not available after 3 attempts"," stop here""",http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given
ctr1_trnsprt,gems1_huas_data.sas7bdat,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 1st choice. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010254,"1st choice hospital or health center, transport expenses",
ctr2_total,gems1_huas_data.sas7bdat,"F42.7: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 2nd choice. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0010255,"2nd choice hospital or health center, total expenses",
ctr2_trnsprt,gems1_huas_data.sas7bdat,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 2nd choice. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010256,"2nd choice hospital or health center, transport expenses",
ctr3_total,gems1_huas_data.sas7bdat,"F42.8: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 3rd choice. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0010257,"3rd choice hospital or health center, total expenses",
ctr3_trnsprt,gems1_huas_data.sas7bdat,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 3rd choice. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010258,"3rd choice hospital or health center, transport expenses",
dad_live,gems1_huas_data.sas7bdat,B10: Household information. Where does the child's father live.,http://purl.obolibrary.org/obo/EUPATH_0000676,Father's residence,
diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,http://purl.obolibrary.org/obo/DOID_13250,Diarrhea,
diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,http://purl.obolibrary.org/obo/EUPATH_0000665,Diarrhea,
diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,http://purl.obolibrary.org/obo/EUPATH_0015130,Diarrhea,
diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,http://purl.obolibrary.org/obo/EUPATH_0015238,Diarrhea,
