IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,1,,,Household,http://www.w3.org/2002/07/owl#Thing,,NA,NA,category,,,,GEMS1 Case Control,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0015027,Cat,F4A_ANI_CAT | F7_ANI_CAT,1,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,F4A_ANI_COW | F7_ANI_COW,2,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015026,Dog,F4A_ANI_DOG | F7_ANI_DOG,3,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015030,Fowl,F7_ANI_FOWL | F4A_ANI_FOWL,4,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015024,Goat,F7_ANI_GOAT | F4A_ANI_GOAT,5,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015032,No animals,F7_ANI_NO | F4A_ANI_NO,9,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015031,Other,F7_ANI_OTHER | F4A_ANI_OTHER,8,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015029,Rodents,F4A_ANI_RODENTS | F7_ANI_RODENTS,6,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015025,Sheep,F4A_ANI_SHEEP | F7_ANI_SHEEP,7,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015008,Agricultural land,F4A_HOUSE_AGLAND | F7_HOUSE_AGLAND,1,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000166,Animal-drawn cart,F7_HOUSE_CART | F4A_HOUSE_CART,2,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015001,Bicycle or rickshaw,F7_HOUSE_BIKE | F4A_HOUSE_BIKE,3,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,F4A_HOUSE_BOAT | F7_HOUSE_BOAT,4,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,F7_HOUSE_CAR | F4A_HOUSE_CAR,5,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,F7_HOUSE_ELEC | F4A_HOUSE_ELEC,6,GEMS1_Case_control_Study_data_June2018.csv,Measured at enrollment only.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,NA,NA,value,,,,GEMS1 Case Control,,,,,,,,,
