colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesforOnt
1,,,MSD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015435,Moderate-to-severe diarrhea,"Defined as three or more loose stools within the previous 24 hours and at least one of the following criteria: sunken eyes, loss of skin turgor, intravenous hydration administered or prescribed, dysentery or admission to hospital with diarrhea or dysentery. This variable answers the question: Did the Child have moderate-to-severe diarrhea?",Participant,,,Did child have moderate-to-severe diarrhea?,,
2,,,dysentery_ind,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015422,Dysentery,,Household,,,Was dysentery indicated?,0/1,
3,,1,SITE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/OBI_0001627,Country,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,Country,Categorical,GEMS1
4,,2,CENTER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010047,Study center,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,3-Digit Center Number,,GEMS1
5,,3,CHILDID,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010048,Child ID,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,Child ID,Num,GEMS1
6,,6,CASEID,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010049,Case ID,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,"Child ID of Case, used to group Cases and matching Control",Num,GEMS1
7,,1,Type,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010375,Case or Control Child,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Identify Observation as a Case or Control,Case,GEMS1
8,,,Study,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,,Participant,,,Enrolled in MSD Study or LSD Study,,
9,,,LSD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015434,Less-severe diarrhea,,Participant,,,Did child have Less Severe Diarrhea?,,
14,,3,agegroup,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,,Participant,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Calculated Age Group from base_age,1,GEMS1
15,,5,ENROLLDATE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010054,Enrollment date,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,"Date of Enrollment (or visit date on form 3, 2, 6)",DATE,GEMS1
16,,,LAB_SPECIMEN_ID,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,Num,*In other data
17,,8,LAB_PAIR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010055,Lab form status,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,"Good Case-Control lab pair, enrolled, labeled and all forms",0,GEMS1
33,,1,Wealth_Index,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"Household wealth index, numerical",,GEMS1
34,,2,wiq,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000143,"Household wealth index, categorical",,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Categorical Rank for wealth index,,GEMS1
36,,,F2_DATE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015440,Registration date,,Participant,,,Registration Log Date Completed,DATE,
40,,2,F2_AGE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000644,Age (days),,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age,Num,
41,,3,F2_GENDER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Gender?,0,GEMS1
42,,,F2_HOSP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,,Participant,#N/A,#N/A,Hospitalized?,0,
43,,1,F2_DSS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010407,Child qualified as DSS resident,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Qualifies for DSS?,1,
