http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,1,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015001,Bicycle or rickshaw,1,Assets
http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,2,Assets
http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,3,Assets
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,4,Assets
http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,5,Assets
http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,6,Assets
http://purl.obolibrary.org/obo/ENVO_01000577,Radio,7,Assets
http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,8,Assets
http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),9,Assets
http://purl.obolibrary.org/obo/ENVO_01000579,Television,10,Assets
http://purl.obolibrary.org/obo/EUPATH_0015500,Lack of childcare,1,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015501,Lack of transport,2,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015497,Costs too much money,3,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015503,Temporary relocation,4,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015502,Political unrest,5,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015498,Flood,6,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015499,Heavy rain,7,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015505,Never a problem,8,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015504,Other,9,Barriers to physical access to care
http://purl.obolibrary.org/obo/EUPATH_0015599,Lost earnings due to care,1,Caretaker income lost  for previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015600,Amount earnings lost due to care,2,Caretaker income lost  for previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015603,Income days lost while seeking care,3,Caretaker income lost  for previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015604,Other caregivers income days lost while seeking care,4,Caretaker income lost  for previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015601,Other lost earnings,5,Caretaker income lost  for previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015602,Amount other lost earnings,6,Caretaker income lost  for previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015606,Blood in stool,1,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015619,Mucus/pus in stool,2,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015620,Rice/watery stool,3,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015609,Diarrhea and vomiting,4,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015610,Diarrhea with dehydration,5,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015611,Diarrhea with fever,6,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015612,Diarrhea with sunken eyes,7,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015613,Diarrhea with wrinkled skin,8,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015617,Frequent loose stools (>6 per day),9,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015615,Frequent loose stools (7-10 per day),10,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015616,Frequent loose stools (>10 per day),11,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015614,Dry mouth,12,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015618,Lethargy,13,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015608,Decreased urination,14,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/EUPATH_0015607,Coma/loss of consciousness,15,Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness
http://purl.obolibrary.org/obo/PATO_0000047,Sex,1,Demographics
http://purl.obolibrary.org/obo/EUPATH_0030005,Birth year,2,Demographics
http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,3,Demographics
http://purl.obolibrary.org/obo/EUPATH_0015670,Homemade fluid,1,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0015673,ORALITE or ORS,2,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0015671,Intravenous fluids,3,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0015672,None prescribed or taken,4,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0015559,Antibiotics,1,Diarrhea treatment given in health center
http://purl.obolibrary.org/obo/EUPATH_0015139,ORALITE or ORS,2,Diarrhea treatment given in health center
http://purl.obolibrary.org/obo/EUPATH_0015155,Zinc,3,Diarrhea treatment given in health center
http://purl.obolibrary.org/obo/EUPATH_0015140,Intravenous fluids,4,Diarrhea treatment given in health center
http://purl.obolibrary.org/obo/EUPATH_0015558,Medicine by injection,5,Diarrhea treatment given in health center
