"displayOrder","variable","dataFile","IRI","label","definition","category","parentLabel","parentIRI","termType","codebookDescription","codebookValues","notesForOnt"
NA,"hh_06m::anophelesb","hh_06m","new IRI","Cluster-level mean female Anopheles","Average number of female Anopheline mosquitoes in each household, per cluster. Calculated for baseline data only.","Household","Cluster",NA,"variable, derived","Cluster level mean number of female anopheles per house at baseline","","new term, suggested parent = Cluster (new parent category)"
NA,"hh_00m::ppbaselinecat","hh_00m","new IRI","Cluster-level parasite prevalence categorization","Categorization of Plasmodium parasite prevalence in each cluster. Calculated for baseline data only.","Household","Cluster",NA,"variable, derived","Baseline parasite prevalence categories","","new term, suggested parent = Cluster (new parent category)"
NA,"hh_00m::loga11pb","hh_00m","new IRI","Log10 cluster-level anemia prevalence (<11g/dL)","Log10 of the prevalence of anemia (defined as hemoglobin levels less than 11g/dL) in each cluster. Calculated for baseline data only.","Household","Cluster",NA,"variable, derived","Baseline cluster level Anemia (<11) prevalence log10","","new term, suggested parent = Cluster (new parent category)"
NA,"hh_06m::loganophelesb","hh_06m","new IRI","Log10 cluster-level mean female Anopheles","Log10 of the average number of female Anopheline mosquitoes in each household, per cluster. Calculated for baseline data only.","Household","Cluster",NA,"variable, derived","Mean number of female anopheles per house log10","","new term, suggested parent = Cluster (new parent category)"
NA,"hh_00m::logppb","hh_00m","new IRI","Log10 cluster-level parasite prevalence","Log10 of the Plasmodium parasite prevalence in each cluster. Calculated for baseline data only.","Household","Cluster",NA,"variable, derived","Baseline cluster level parasite prevalence log10","","new term, suggested parent = Cluster (new parent category)"
NA,"hh_00m::housetype","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000744","Dwelling type","Whether the house is traditional or modern","Household","Dwelling characteristics",NA,"variable","Whether the house is traditional or modern","",""
NA,"hh_00m::rmsleep","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000025","Sleeping rooms in dwelling","Number of rooms that people slept in last night.","Household","Dwelling characteristics",NA,"variable","Number of rooms people slept in last night","",""
NA,"hh_00m::headhhagecat","hh_00m","new IRI","Household head age, categorization (years)","Categorization of the age (in years) of the head of the household.","Household","Household",NA,"variable","Age of head of household categories","",""
NA,"hh_00m::hhgender","hh_00m","new IRI","Household head's sex","The sex of the head of the household.","Household","Household",NA,"variable","Gender head of household","",""
NA,"hh_06m::llincatpp","hh_06m","new IRI","Intervention received","Type of long-lasting insecticide-treated bednet (LLIN) actually received by the cluster, for per-protocol analysis. Certain clusters received a different LLIN type than that which was originally allocated to that cluster (the 'Intervention assignment'). Note that some clusters received a mix of LLIN types. For these clusters the dominant LLIN type was recorded for 'Intervention received'.","Household","Household",NA,"variable","Type of LLIN recieved for per protocol analysis","",""
