"displayOrder","variable","dataFile","IRI","label","definition","category","parentLabel","parentIRI","termType","colOrder","codebookDescription","codebookValues","notesForOnt"
"","hh_00m::age5to15","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::age5to15sleptnet","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::ageover15","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::ageover15sleptnet","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::ageunder5","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::ageunder5sleptnet","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::anyunder5","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::crowding","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::crowdingcol","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","Number of persons per room used for sleeping dichotomized","","on hold, waiting for provider feedback"
"","hh_00m::entodate","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020003 (on hold, waiting for provider feedback)","Collection date","Date that mosquitoes resting indoors on walls were collected, using prokopack aspirators.","Entomology","Entomology collection","","variable","","","",""
"","hh_00m::headhhagecat","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","Age of head of household categories","","on hold, waiting for provider feedback"
"","hh_00m::hhgender","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","Gender head of household","","on hold, waiting for provider feedback"
"","hh_00m::housetype","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","Whether the house is traditional or modern","","on hold, waiting for provider feedback"
"","hh_00m::include","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household in final anlaysis","","on hold, waiting for provider feedback"
"","hh_00m::loga11pb","hh_00m","on hold, waiting for provider feedback","","","Household","Household","","variable, derived","","","","on hold, waiting for provider feedback"
"","hh_00m::logppb","hh_00m","on hold, waiting for provider feedback","Log baseline parasite prevalence","","Household","Household","","variable, derived","","","","on hold, waiting for provider feedback"
"","hh_00m::noage","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::noagesleptnet","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::numpeople","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
