"file","category","id"
"hh_00m","household","hhid"
"hh_00m","hhObs","hhid+survey"
"hh_00m","entomology","hhid+survey"
"hh_06m","household","hhid"
"hh_06m","hhObs","hhid+survey"
"hh_06m","entomology","hhid+survey"
"hh_12m","household","hhid"
"hh_12m","hhObs","hhid+survey"
"hh_12m","entomology","hhid+survey"
"hh_18m","household","hhid"
"hh_18m","hhObs","hhid+survey"
"hh_18m","entomology","hhid+survey"
"hh_member_00m","household","hhid"
"hh_member_00m","participant","pid"
"hh_member_00m","observation","pid+survey"
"hh_member_00m","sample","pid+survey"
"hh_member_06m","household","hhid"
"hh_member_06m","participant","pid"
"hh_member_06m","observation","pid+survey"
"hh_member_06m","sample","pid+survey"
"hh_member_12m","household","hhid"
"hh_member_12m","participant","pid"
"hh_member_12m","observation","pid+survey"
"hh_member_12m","sample","pid+survey"
"hh_member_18m","household","hhid"
"hh_member_18m","participant","pid"
"hh_member_18m","observation","pid+survey"
"hh_member_18m","sample","pid+survey"
