variable	variable2	values	mappedTerm
hh_00m::adequateitns	hh_00m::adequateitns	0	No
hh_06m::adequateitns	hh_06m::adequateitns	0	No
hh_12m::adequateitns	hh_12m::adequateitns	0	No
hh_18m::adequateitns	hh_18m::adequateitns	0	No
hh_00m::adequateitns	hh_00m::adequateitns	1	Yes
hh_06m::adequateitns	hh_06m::adequateitns	1	Yes
hh_12m::adequateitns	hh_12m::adequateitns	1	Yes
hh_18m::adequateitns	hh_18m::adequateitns	1	Yes
hh_00m::adequatenets	hh_00m::adequatenets	0	No
hh_06m::adequatenets	hh_06m::adequatenets	0	No
hh_12m::adequatenets	hh_12m::adequatenets	0	No
hh_18m::adequatenets	hh_18m::adequatenets	0	No
hh_00m::adequatenets	hh_00m::adequatenets	1	Yes
hh_06m::adequatenets	hh_06m::adequatenets	1	Yes
hh_12m::adequatenets	hh_12m::adequatenets	1	Yes
hh_18m::adequatenets	hh_18m::adequatenets	1	Yes
hh_00m::age5to15	hh_00m::age5to15	NA	:::UNDEF:::
hh_00m::age5to15sleptnet	hh_00m::age5to15sleptnet	NA	:::UNDEF:::
hh_member_00m::agecat	hh_member_00m::agecat	3	16 years of age or older
hh_member_06m::agecat	hh_member_06m::agecat	3	16 years of age or older
hh_member_12m::agecat	hh_member_12m::agecat	3	16 years of age or older
hh_member_18m::agecat	hh_member_18m::agecat	3	16 years of age or older
hh_member_00m::agecat	hh_member_00m::agecat	2	5 - 15 years of age
hh_member_06m::agecat	hh_member_06m::agecat	2	5 - 15 years of age
hh_member_12m::agecat	hh_member_12m::agecat	2	5 - 15 years of age
hh_member_18m::agecat	hh_member_18m::agecat	2	5 - 15 years of age
hh_member_00m::agecat	hh_member_00m::agecat	1	Fewer than 5 years of age
hh_member_06m::agecat	hh_member_06m::agecat	1	Fewer than 5 years of age
hh_member_12m::agecat	hh_member_12m::agecat	1	Fewer than 5 years of age
hh_member_18m::agecat	hh_member_18m::agecat	1	Fewer than 5 years of age
hh_00m::ageover15	hh_00m::ageover15	NA	:::UNDEF:::
hh_00m::ageover15sleptnet	hh_00m::ageover15sleptnet	NA	:::UNDEF:::
hh_00m::ageunder5	hh_00m::ageunder5	NA	:::UNDEF:::
hh_00m::ageunder5sleptnet	hh_00m::ageunder5sleptnet	NA	:::UNDEF:::
hh_00m::ahwker	hh_00m::ahwker	-7	Don't know
hh_06m::ahwker	hh_06m::ahwker	-7	Don't know
hh_12m::ahwker	hh_12m::ahwker	-7	Don't know
hh_18m::ahwker	hh_18m::ahwker	-7	Don't know
hh_00m::ahwker	hh_00m::ahwker	0	No
hh_06m::ahwker	hh_06m::ahwker	0	No
hh_12m::ahwker	hh_12m::ahwker	0	No
hh_18m::ahwker	hh_18m::ahwker	0	No
hh_18m::ahwker	hh_18m::ahwker	-8	Refused to answer
hh_00m::ahwker	hh_00m::ahwker	1	Yes
hh_06m::ahwker	hh_06m::ahwker	1	Yes
hh_12m::ahwker	hh_12m::ahwker	1	Yes
hh_18m::ahwker	hh_18m::ahwker	1	Yes
hh_00m::airbricks	hh_00m::airbricks	NA	:::UNDEF:::
hh_06m::airbricks	hh_06m::airbricks	Dont Know	Don't know
hh_12m::airbricks	hh_12m::airbricks	Dont Know	Don't know
hh_18m::airbricks	hh_18m::airbricks	Dont Know	Don't know
hh_00m::airbricks	hh_00m::airbricks	-9	Missing
hh_12m::airbricks	hh_12m::airbricks	No	No or only over some windows
hh_00m::airbricks	hh_00m::airbricks	2	No or only over some windows
hh_06m::airbricks	hh_06m::airbricks	No(or not all)	No or only over some windows
hh_12m::airbricks	hh_12m::airbricks	No(or not all)	No or only over some windows
hh_18m::airbricks	hh_18m::airbricks	No(or not all	No or only over some windows
hh_18m::airbricks	hh_18m::airbricks	No(or not all)	No or only over some windows
hh_12m::airbricks	hh_12m::airbricks	yes	Yes
hh_00m::airbricks	hh_00m::airbricks	1	"Yes, over all windows"
hh_06m::airbricks	hh_06m::airbricks	Yes(all)	"Yes, over all windows"
hh_12m::airbricks	hh_12m::airbricks	Yes(all)	"Yes, over all windows"
hh_18m::airbricks	hh_18m::airbricks	Yes(all)	"Yes, over all windows"
hh_00m::amchwker	hh_00m::amchwker	-7	Don't know
hh_06m::amchwker	hh_06m::amchwker	-7	Don't know
hh_12m::amchwker	hh_12m::amchwker	-7	Don't know
hh_18m::amchwker	hh_18m::amchwker	-7	Don't know
hh_00m::amchwker	hh_00m::amchwker	0	No
hh_06m::amchwker	hh_06m::amchwker	0	No
hh_12m::amchwker	hh_12m::amchwker	0	No
hh_18m::amchwker	hh_18m::amchwker	0	No
hh_00m::amchwker	hh_00m::amchwker	-9	Not applicable
hh_06m::amchwker	hh_06m::amchwker	-9	Not applicable
hh_12m::amchwker	hh_12m::amchwker	-9	Not applicable
