variable,dataFile,IRI,Label,Display order,definition,category,parentLabel,parentIRI,MALED,GEMS1
adenovirus_40_41,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015331,"Adenovirus serotypes 40/41, TAC result",2,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
adenovirus_pan,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015330,"Adenovirus, TAC result",1,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
aEPEC,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015397,"Atypical EPEC, TAC result",68,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
aeromonas,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015332,"Aeromonas, TAC result",3,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
ancyclostoma,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015333,"Ancylostoma, TAC result",4,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
ascaris,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015334,"Ascaris, TAC result",5,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
astrovirus,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015335,"Astrovirus, TAC result",6,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
b_fragilis,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015337,"Bacteriodes fragilis, TAC result",8,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
blastocystis,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011854,"Blastocystis, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
c_difficile,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011855,"C. difficile, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
campylobacter_jejuni_coli,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015341,"Campylobacter jejuni/coli, TAC result",12,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
campylobacter_pan,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015338,"Campylobacter, TAC result",9,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
cryptosporidium,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015342,"Cryptosporidium, TAC result",13,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
cryptosporidium_hominis,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015343,"Cryptosporidium hominis, TAC result",14,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
cryptosporidium_parvum,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015344,"Cryptosporidium parvum, TAC result",15,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
cyclospora,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015345,"Cyclospora, TAC result",16,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
e_bieneusi,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015350,"Enterocytozoon bieneusi, TAC result",21,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
e_histolytica,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015351,"Entamoeba histolytica, TAC result",22,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
e_intestinalis,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015352,"Encephalitozoon intestinalis, TAC result",23,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
EAEC,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015389,"EAEC, TAC result",60,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
eaec_aaic,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015346,"aaiC EAEC, TAC result",17,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
eaec_aata,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015348,"aatA EAEC, TAC result",19,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
eaec_aggr,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015349,"aggR EAEC, TAC result",20,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
entamoeba_pan,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011856,"Entamoeba, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
epec_bfpa,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015353,"bfpA EPEC, TAC result",24,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
epec_eae,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011857,"eae EPEC, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
etec_cfa_i,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011858,"CFA1 ETEC, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
etec_cs1,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011859,"CS1 ETEC, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
etec_cs2,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011860,"CS2 ETEC, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
etec_cs3,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011861,"CS3 ETEC, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
etec_cs5,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011862,"CS5 ETEC, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
etec_cs6,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011863,"CS6 ETEC, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
etec_lt,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015355,"LT positive ETEC, TAC result",26,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
etec_sth,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015356,"STh ETEC, TAC result",27,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
etec_stp,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015357,"STp ETEC, TAC result",28,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
giardia,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015360,"Giardia, TAC result",31,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
giardia_a,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015358,"Giardia Assemblage A, TAC result",29,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
giardia_b,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015359,"Giardia Assemblage B, TAC result",30,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
h_pylori,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015361,"Helicobacter pylori, TAC result",32,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
hnana,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011864,"H. nana, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
isospora,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015362,"Isospora, TAC result",33,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
LT_ETEC,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015355,"LT positive ETEC, TAC result",26,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
m_tuberculosis,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011865,"M. tuberculosis, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
necator,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015363,"Necator, TAC result",34,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
norovirus_gi,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015364,"Norovirus GI, TAC result",35,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
norovirus_gi_1,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011866,"Norovirus GI 1, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
norovirus_gii,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015365,"Norovirus GII, TAC result",36,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
norovirus_gii_4,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011867,"Norovirus GII 4, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
plesiomonas,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011868,"Plesiomonas, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
rotavirus,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015366,"Rotavirus, TAC result",37,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_g1,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015369,"Rotavirus genotype G1, TAC result",38,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_g12,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015368,"Rotavirus genotype G12, TAC result",45,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_g2,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015370,"Rotavirus genotype G2, TAC result",39,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_g3,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015371,"Rotavirus genotype G3, TAC result",40,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_g4,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015372,"Rotavirus genotype G4, TAC result",41,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_g8,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015373,"Rotavirus genotype G8, TAC result",42,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_g9,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015374,"Rotavirus genotype G9, TAC result",43,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_p4,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015377,"Rotavirus genotype P4, TAC result",46,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_p6,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015378,"Rotavirus genotype P6, TAC result",47,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_p8,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015379,"Rotavirus genotype P8, TAC result",48,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
rotavirus_postrv,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011869,"Rotavirus post-vaccine intro, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
salmonella,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015381,"Salmonella, TAC result",52,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
sapovirus,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015382,"Sapovirus, TAC result",53,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
schistosoma,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0011870,"Schistosoma, TAC result",,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,
shigella_eiec,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015383,"Shigella or EIEC, TAC result",54,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
ST_ETEC,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015392,"ST positive ETEC, TAC result",63,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
STEC,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015398,"STEC, TAC result",69,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
stec_stx1,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015384,"stx1 STEC, TAC result",55,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
stec_stx2,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015385,"stx2 STEC, TAC result",56,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
strongyloides,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015386,"Strongyloides, TAC result",57,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
tEPEC,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015396,"Typical EPEC, TAC result",67,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
trichuris,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015387,"Trichuris, TAC result",58,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
v_cholerae,MAL-ED TAC data,http://purl.obolibrary.org/obo/EUPATH_0015388,"Vibrio cholerae, TAC result",59,,sample,Taqman Array Card result,http://purl.obolibrary.org/obo/EUPATH_0015399,1,1
,,http://purl.obolibrary.org/obo/EUPATH_0015399,Taqman Array Card result,,,sample,,http://purl.obolibrary.org/obo/EUPATH_0000724,,
