IRI,label,newLabel,dataSet,dataFile,variable,termType
http://purl.obolibrary.org/obo/EUPATH_0011819,Shistosoma aggregate data,Schistosoma aggregate data,"MAL-ED, 0 to 36 months",,,category
http://purl.obolibrary.org/obo/EUPATH_0010920,Cumulative sum pathogen species in stool sampless (ex NRV),Cumulative sum pathogen species in stool samples (ex NRV),"MAL-ED, 0 to 36 months",micro_x.csv,sumpathg_nonrv_cum,variable
http://purl.obolibrary.org/obo/EUPATH_0010803,Cumulative sum Shistosoma-pos 1st diarrheal stools,Cumulative sum Schistosoma-pos 1st diarrheal stools,"MAL-ED, 0 to 36 months",micro_x.csv,schist_cum_d,variable
http://purl.obolibrary.org/obo/EUPATH_0010804,Cumulative sum Shistosoma-pos 1st monthly stools,Cumulative sum Schistosoma-pos 1st monthly stools,"MAL-ED, 0 to 36 months",micro_x.csv,schist_cum_m,variable
http://purl.obolibrary.org/obo/EUPATH_0010802,Cumulative sum Shistosoma-pos stools,Cumulative sum Schistosoma-pos stools,"MAL-ED, 0 to 36 months",micro_x.csv,schist_cum,variable
http://purl.obolibrary.org/obo/EUPATH_0010907,"Cumulative sum unique pathogen species, 1st diarrheal stools",Cumulative sum unique pathogen species in 1st diarrheal stools,"MAL-ED, 0 to 36 months",micro_x.csv,sumpath_u_cum_d,variable
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
