entity,label,displayOrder,plabel
http://purl.obolibrary.org/obo/EUPATH_0011210,Total BCG vaccine doses,1,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011234,Total DPT vaccine doses,2,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011267,Total Haemophilus influenzae type B vaccine doses,3,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011257,Total hepatitis B vaccine doses,4,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011246,Total influenza vaccine doses,5,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011278,Total IPV vaccine doses,6,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011282,Total Japanese encephalitis vaccine doses,7,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011306,Total measles vaccine doses,8,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011316,Total meningitis vaccine doses,9,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011323,Total MMR vaccine doses,10,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011339,Total mumps vaccine doses,11,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011384,Total OPV vaccine doses,12,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011394,Total PCV vaccine doses,13,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011411,Total rabies vaccine doses,14,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011427,Total rotavirus vaccine doses,15,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011436,Total rubella vaccine doses,16,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011459,Total tetanus vaccine doses,17,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011464,Total typhoid vaccine doses,18,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011214,Total varicella vaccine doses,19,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011441,Total yellow fever vaccine doses,20,Aggregated vaccination data
http://purl.obolibrary.org/obo/EUPATH_0011309,"Measles antibodies, by ELISA",1,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011397,"Pertussis antibodies, by ELISA",2,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011400,"Polio IgG antibodies, by ELISA",3,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011478,"Polio serotype 1 antibodies, by microneutralization",4,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011398,"Polio serotype 2 antibodies, by microneutralization",5,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011479,"Polio serotype 3 antibodies, by microneutralization",6,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011423,"Rotavirus antibodies, by ELISA",7,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011461,"Tetanus antibodies, by ELISA",8,Antibodies
http://purl.obolibrary.org/obo/EUPATH_0011480,Antibodies,1,Blood antibody test
http://purl.obolibrary.org/obo/EUPATH_0011472,Raw antibody titer test result,2,Blood antibody test
http://purl.obolibrary.org/obo/EUPATH_0011211,BCG vaccine doses prior to blood draw,1,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011223,Deworming doses prior to blood draw,10,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011396,DPT vaccine doses prior to blood draw,2,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011279,IPV vaccine doses prior to blood draw,3,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011307,Measles infection prior to blood draw (suspected),8,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011308,Measles vaccine doses prior to blood draw,4,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011385,OPV vaccine doses prior to blood draw,5,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011395,Pertussis infection prior to blood draw (suspected),9,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011429,Rotavirus vaccine doses prior to blood draw,6,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011460,Tetanus vaccine doses prior to blood draw,7,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011521,Vitamin A supplements prior to blood draw,11,Blood sample collection process
http://purl.obolibrary.org/obo/EUPATH_0011154,Adjusted blood ferritin (ng/mL),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0011155,Adjusted blood retinol (mg/dL),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0011158,Adjusted blood zinc (umol/L),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0011161,Anemia (hemoglobin less than 11g/dL),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0000647,Blood alpha-1-acid glycoprotein (mg/dL),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0011849,Blood ferritin (ng/mL),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0011850,"Blood ferritin (ng/mL), 2nd",,Blood test
http://purl.obolibrary.org/obo/EUPATH_0000688,Blood lead (ug/dL),,Blood test
http://purl.obolibrary.org/obo/EUPATH_0011875,Blood retinol (mg/dL),,Blood test
