"label","IRI","parentLabel","newLabel"
"Cumulative sum bacteria species in 1st diarrheal stools","http://purl.obolibrary.org/obo/EUPATH_0010899","Aggregate data for bacteria detection in stool","Cumulative sum bacteria in 1st diarrheal stools"
"Cumulative sum bacteria species in 1st monthly stools","http://purl.obolibrary.org/obo/EUPATH_0010900","Aggregate data for bacteria detection in stool","Cumulative sum bacteria in 1st monthly stools"
"Cumulative sum bacteria species in stools","http://purl.obolibrary.org/obo/EUPATH_0010898","Aggregate data for bacteria detection in stool","Cumulative sum bacteria in stools"
"Mean bacteria species count in 1st diarrheal stools","http://purl.obolibrary.org/obo/EUPATH_0010880","Aggregate data for bacteria detection in stool","Mean bacteria count in 1st diarrheal stools"
"Mean bacteria species count in 1st monthly stools","http://purl.obolibrary.org/obo/EUPATH_0010881","Aggregate data for bacteria detection in stool","Mean bacteria count in 1st monthly stools"
"Mean bacteria species count in stools","http://purl.obolibrary.org/obo/EUPATH_0010879","Aggregate data for bacteria detection in stool","Mean bacteria count in stools"
"Cumulative sum parasite species in 1st diarrhea stools","http://purl.obolibrary.org/obo/EUPATH_0010903","Aggregate data for eukaryota detection in stool","Cumulative sum parasite in 1st diarrhea stools"
"Cumulative sum parasite species in 1st monthly stools","http://purl.obolibrary.org/obo/EUPATH_0010904","Aggregate data for eukaryota detection in stool","Cumulative sum parasite in 1st monthly stools"
"Cumulative sum parasite species in stools","http://purl.obolibrary.org/obo/EUPATH_0010902","Aggregate data for eukaryota detection in stool","Cumulative sum parasite in stools"
"Mean parasite species count in 1st diarrheal stools","http://purl.obolibrary.org/obo/EUPATH_0010887","Aggregate data for eukaryota detection in stool","Mean parasite count in 1st diarrheal stools"
"Mean parasite species count in 1st monthly stools","http://purl.obolibrary.org/obo/EUPATH_0010888","Aggregate data for eukaryota detection in stool","Mean parasite count in 1st monthly stools"
"Mean parasite species count in stools","http://purl.obolibrary.org/obo/EUPATH_0010886","Aggregate data for eukaryota detection in stool","Mean parasite count in stools"
"Cumulative sum pathogen species (ex NRV) in 1st diarrheal stools","http://purl.obolibrary.org/obo/EUPATH_0010921","Aggregate data for organism detection in stool","Cumulative sum pathogen (ex NRV) in 1st diarrheal stools"
"Cumulative sum pathogen species (ex NRV) in 1st monthly stools","http://purl.obolibrary.org/obo/EUPATH_0010922","Aggregate data for organism detection in stool","Cumulative sum pathogen (ex NRV) in 1st monthly stools"
"Cumulative sum pathogen species (ex NRV) in stools","http://purl.obolibrary.org/obo/EUPATH_0010920","Aggregate data for organism detection in stool","Cumulative sum pathogen (ex NRV) in stools"
"Cumulative sum pathogen species in 1st diarrheal stools","http://purl.obolibrary.org/obo/EUPATH_0010917","Aggregate data for organism detection in stool","Cumulative sum pathogen in 1st diarrheal stools"
"Cumulative sum pathogen species in 1st monthly stools","http://purl.obolibrary.org/obo/EUPATH_0010918","Aggregate data for organism detection in stool","Cumulative sum pathogen in 1st monthly stools"
"Cumulative sum pathogen species in stools","http://purl.obolibrary.org/obo/EUPATH_0010916","Aggregate data for organism detection in stool","Cumulative sum pathogen in stools"
"Cumulative sum unique pathogen species (ex NRV) in stools","http://purl.obolibrary.org/obo/EUPATH_0010912","Aggregate data for organism detection in stool","Cumulative sum unique pathogen (ex NRV) in stools"
"Cumulative sum unique pathogen species in 1st monthly stools","http://purl.obolibrary.org/obo/EUPATH_0010908","Aggregate data for organism detection in stool","Cumulative sum unique pathogen in 1st monthly stools"
"Cumulative sum unique pathogen species in diarrheal stools","http://purl.obolibrary.org/obo/EUPATH_0010907","Aggregate data for organism detection in stool","Cumulative sum unique pathogen in diarrheal stools"
"Cumulative sum unique pathogen species in stools","http://purl.obolibrary.org/obo/EUPATH_0010906","Aggregate data for organism detection in stool","Cumulative sum unique pathogen in stools"
