colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
1,ext_bv_bsc::pid,ext_bv_bsc,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
2,ext_bv_bsc::vnum,ext_bv_bsc,BFO_0000015,Observation type,,Observation,,,1. Visit number,15 = Week 78; 13 = Week 104,variable,
4,ext_bv_bsc::age,ext_bv_bsc,EUPATH_0000579,Age (days),,Observation,,,3. Age in days,,variable,
5,ext_bv_bsc::cograw,ext_bv_bsc,,Cognitive raw score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,4a. Cognitive raw score,,variable,
6,ext_bv_bsc::cogscale,ext_bv_bsc,,Cognitive scaled score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,4b. Cognitive scaled score,,variable,
7,ext_bv_bsc::cogcmp,ext_bv_bsc,,Cognitive composite score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,4c. Cognitive composite score,,variable,
8,ext_bv_bsc::larcraw,ext_bv_bsc,,Receptive communication raw score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,5a. Receptive communication raw score,,variable,
9,ext_bv_bsc::larcscal,ext_bv_bsc,,Receptive communication scaled score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,5b. Receptive communication scaled score,,variable,
10,ext_bv_bsc::laexpraw,ext_bv_bsc,,Expressive communication raw score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,5c. Expressive communication raw score,,variable,
11,ext_bv_bsc::laexpscal,ext_bv_bsc,,Expressive communication scaled score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,5d. Expressive communication scaled score,,variable,
12,ext_bv_bsc::langscal,ext_bv_bsc,,Language scaled sum,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,5e. Language  scaled sum,,variable,
13,ext_bv_bsc::langcmp,ext_bv_bsc,,Language composite score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,5f. Language composite score,,variable,
14,ext_bv_bsc::fmotoraw,ext_bv_bsc,,Fine motor raw score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,6a. Fine motor raw score,,variable,
15,ext_bv_bsc::fmotoscal,ext_bv_bsc,,Fine motor scaled score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,6b. Fine motor scaled score,,variable,
16,ext_bv_bsc::gmotoraw,ext_bv_bsc,,Gross motor raw score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,6c. Gross motor raw score,,variable,
17,ext_bv_bsc::gmotoscal,ext_bv_bsc,,Gross motor scaled score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,6d. Gross motor scaled score,,variable,
