colOrder,overallOrder,display_Order,variable_dataFile,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesforOnt,notesforProvider,notesforDL,uniqueVar
1,,,country,score_five_country_dataset,OBI_0001627,Country,Country in which study was conducted,Household,Geographic location,GAZ_00000448,Country name,,variable,,,,
2,,,school,,,,,,,,School name or code,,variable,,,,
3,,,ID,score_five_country_dataset,EUPATH_0000095,Participant ID,Unique ID of study participant,Participant,Participant,EUPATH_0000096,Participant ID (unique),,variable,,,,
4,,,sex,score_five_country_dataset,PATO_0000047,Sex,Sex,Participant,Demographics,EUPATH_0010981,Sex of study participant,"M= Male, F=Female",variable,,,,
5,,,age,score_five_country_dataset,OBI_0001169,Age,Age in years,Participant,Observation details,EUPATH_0000310,Age of study participant,Years,variable,,,,
6,,,kk1a,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of first stool sample: first slide,,variable,,,,
7,,,kk1b,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of first stool sample: second slide,,variable,,,,
8,,,kk1c,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of first stool sample: third slide; Some countries made only 2 slides per stool sample,,variable,,,,
9,,,kk2a,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of second stool sample: first slide,,variable,,,,
10,,,kk2b,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of second stool sample: second slide,,variable,,,,
11,,,kk2c,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of second stool sample: third slide,,variable,,,,
12,,,kk3a,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of third stool sample: first slide,,variable,,,,
13,,,kk3b,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of third stool sample: second slide,,variable,,,,
14,,,kk3c,score_five_country_dataset,,,,,,,Eggs per gram (epg) of S. mansoni eggs from Kato-Katz (KK) test of third stool sample: third slide,,variable,,,,
15,,,cca1,score_five_country_dataset,,,,,,,"CCA test result from first urine sample, Uganda collected only a single urine sample","0= negative, 1=positive",variable,,,,
16,,,cca2,score_five_country_dataset,,,,,,,CCA test result from second urine sample,"0= negative, 1=positive",variable,,,,
17,,,cca3,score_five_country_dataset,,,,,,,CCA test result from third urine sample,"0= negative, 1=positive",variable,,,,
18,,,hemastix1,score_five_country_dataset,,,,,,,Hemastix result from first urine sample,"0= negative, 1=positive",variable,,,,
19,,,hemastix2,score_five_country_dataset,,,,,,,Hemastix result from second urine sample,"0= negative, 1=positive",variable,,,,
20,,,hemastix3,score_five_country_dataset,,,,,,,Hemastix result from third urine sample,"0= negative, 1=positive",variable,,,,
21,,,sh1,score_five_country_dataset,,,,,,,Egg count of S. hematobium eggs from urine filtration of first urine sample,,variable,,,,
22,,,sh2,score_five_country_dataset,,,,,,,Egg count of S. hematobium eggs from urine filtration of second urine sample,,variable,,,,
23,,,sh3,score_five_country_dataset,,,,,,,Egg count of S. hematobium eggs from urine filtration of third urine sample,,variable,,,,
