uniqueVar	IRI	values	mappedTerm
country	country	Cote d'Ivoire	Cote d'Ivoire
sex	sex	M	Male
sex	sex	F	Female
sex	sex	na	Not collected
sex	sex	na	:::UNDEF:::
age	age	na	:::UNDEF:::
sm_positive	sm_positive	0	Negative
sm_positive	sm_positive	1	Positive
sm_positive	sm_positive	na	NA
sh_positive	sh_positive	0	Negative
sh_positive	sh_positive	1	Positive
sh_positive	sh_positive	na	NA
cca_positive	cca_positive	0	Negative
cca_positive	cca_positive	1	Positive
cca_positive	cca_positive	na	NA
hemastix_positive	hemastix_positive	0	Negative
hemastix_positive	hemastix_positive	1	Positive
hemastix_positive	hemastix_positive	na	NA
sm_mean_epg	sm_mean_epg na	:::UNDEF:::
sh_mean_epg	sh_mean_epg	na	:::UNDEF:::
