uniqueVar,IRI,values,mappedTerm
x...country_code::score_moz_sh_xs,SCORE_Moz,MOZ,Mozambique
study_arm::score_moz_sh_xs,SCORE_Moz,1,Arm 1= cccc 
study_arm::score_moz_sh_xs,SCORE_Moz,2,Arm 2= ccss
study_arm::score_moz_sh_xs,SCORE_Moz,3,Arm 3= cchh
study_arm::score_moz_sh_xs,SCORE_Moz,4,Arm 4= ssss
study_arm::score_moz_sh_xs,SCORE_Moz,5,Arm 5= sshh
study_arm::score_moz_sh_xs,SCORE_Moz,6,Arm 6= shsh
sex::score_moz_sh_xs,SCORE_Moz,F,Female
sex::score_moz_sh_xs,SCORE_Moz,M,Male
sex::score_moz_sh_xs,SCORE_Moz,N,No data
x_sect::score_moz_sh_xs,SCORE_Moz,20_55,20-55 years
x_sect::score_moz_sh_xs,SCORE_Moz,5_8,5-8 years
x_sect::score_moz_sh_xs,SCORE_Moz,9_12,9-12 years
x_sect::score_moz_sh_xs,SCORE_Moz,Other,Other
sh_binary::score_moz_sh_xs,SCORE_Moz,0,Negative
sh_binary::score_moz_sh_xs,SCORE_Moz,1,Positive
