"","uniqueVar","dataSet","variable","dataFile","variable_dataFile","file","colOrder","type","example","dateTime","formatCode","minValue","maxValue","values","uniqueValueCount","percentMissing","timeVarying","flag"
"1","x...country_code::score_moz_sh_xs","SCORE_Moz","x...country_code","score_moz_sh_xs","X...Country_Code","SCORE_MOZ_Sh_XS.csv",1,"chr","MOZ",NA,NA,"n/a","n/a","MOZ",1,0,"once",NA
"2","study_year::score_moz_sh_xs","SCORE_Moz","study_year","score_moz_sh_xs","Study_Year","SCORE_MOZ_Sh_XS.csv",2,"int","1",NA,NA,"1","5","1 to 5",5,0,"repeated",NA
"3","flag_treatment::score_moz_sh_xs","SCORE_Moz","flag_treatment","score_moz_sh_xs","Flag_Treatment","SCORE_MOZ_Sh_XS.csv",3,"int","3",NA,NA,"1","3","1 to 3",3,0.859323321165201,"once",NA
"4","village_id::score_moz_sh_xs","SCORE_Moz","village_id","score_moz_sh_xs","Village_ID","SCORE_MOZ_Sh_XS.csv",4,"chr","MOZ001",NA,NA,"n/a","n/a",">10 unique values",150,0,"once",NA
"5","village_name::score_moz_sh_xs","SCORE_Moz","village_name","score_moz_sh_xs","Village_Name","SCORE_MOZ_Sh_XS.csv",5,"chr","Mahera",NA,NA,"n/a","n/a",">10 unique values",146,0,"once",NA
"6","study_arm::score_moz_sh_xs","SCORE_Moz","study_arm","score_moz_sh_xs","Study_Arm","SCORE_MOZ_Sh_XS.csv",6,"int","1",NA,NA,"1","6","1 to 6",6,0,"once",NA
"7","person_id::score_moz_sh_xs","SCORE_Moz","person_id","score_moz_sh_xs","Person_ID","SCORE_MOZ_Sh_XS.csv",7,"chr","MZ001/002",NA,NA,"n/a","n/a",">10 unique values",81633,0,"once",NA
"8","sex::score_moz_sh_xs","SCORE_Moz","sex","score_moz_sh_xs","Sex","SCORE_MOZ_Sh_XS.csv",8,"chr","F",NA,NA,"n/a","n/a",", F, M, N",3,0.000257245755445035,"once",NA
"9","age::score_moz_sh_xs","SCORE_Moz","age","score_moz_sh_xs","Age","SCORE_MOZ_Sh_XS.csv",9,"int","11",NA,NA,"4","80","4 to 80",69,0.000257245755445035,"once",NA
"10","x_sect::score_moz_sh_xs","SCORE_Moz","x_sect","score_moz_sh_xs","X_Sect","SCORE_MOZ_Sh_XS.csv",10,"chr","9_12",NA,NA,"n/a","n/a",", 20_55, 5_8, 9_12, Other",4,0.000257245755445035,"once",NA
"11","sh1a::score_moz_sh_xs","SCORE_Moz","sh1a","score_moz_sh_xs","sh1a","SCORE_MOZ_Sh_XS.csv",11,"int","0",NA,NA,"0","1000","0 to 1000",715,0.000306244946958375,"once",NA
"12","sh1b::score_moz_sh_xs","SCORE_Moz","sh1b","score_moz_sh_xs","sh1b","SCORE_MOZ_Sh_XS.csv",12,"int","0",NA,NA,"0","1000","0 to 1000",635,0.143040889825318,"once",NA
"13","mean_eggs::score_moz_sh_xs","SCORE_Moz","mean_eggs","score_moz_sh_xs","Mean_eggs","SCORE_MOZ_Sh_XS.csv",13,"dbl","0",NA,NA,"0","1000","0 to 1000",1217,0.000257245755445035,"once",NA
"14","sh_binary::score_moz_sh_xs","SCORE_Moz","sh_binary","score_moz_sh_xs","Sh_binary","SCORE_MOZ_Sh_XS.csv",14,"int","0",NA,NA,"0","1","0 to 1",2,0.000257245755445035,"once",NA
