country_code	score_moz_sh_xs::country_code	MOZ	Mozambique
study_arm	score_moz_sh_xs::study_arm	1	Arm 1= cccc 
study_arm	score_moz_sh_xs::study_arm	2	Arm 2= ccss
study_arm	score_moz_sh_xs::study_arm	3	Arm 3= cchh
study_arm	score_moz_sh_xs::study_arm	4	Arm 4= ssss
study_arm	score_moz_sh_xs::study_arm	5	Arm 5= sshh
study_arm	score_moz_sh_xs::study_arm	6	Arm 6= shsh
sex	score_moz_sh_xs::sex	F	Female
sex	score_moz_sh_xs::sex	M	Male
sex	score_moz_sh_xs::sex	N	No data
x_sect	score_moz_sh_xs::x_sect	20_55	20-55 years
x_sect	score_moz_sh_xs::x_sect	5_8	5-8 years
x_sect	score_moz_sh_xs::x_sect	9_12	9-12 years
x_sect	score_moz_sh_xs::x_sect	Other	Other
sh_binary	score_moz_sh_xs::sh_binary	0	Negative
sh_binary	score_moz_sh_xs::sh_binary	1	Positive
study_year	score_moz_sh_xs::study_year	1	2011
study_year	score_moz_sh_xs::study_year	2	2012
study_year	score_moz_sh_xs::study_year	3	2013
study_year	score_moz_sh_xs::study_year	4	2014
study_year	score_moz_sh_xs::study_year	5	2015



