IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,,,,,yes,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,Country_Code,1,,Country in which study was conducted,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country; Country wide,NIG=Niger,variable,,,,,ENVO_00000004,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030004,Village code,Village_ID,2,,A unique ID assigned to each study village. It represents the country code followed by a unique three digit number.,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,A unique ID assigned to each study village. It represents the country code followed by a unique three digit number.,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,Longitude,3,,GPS coordinates (latitude and longitude) of schools for each village,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Village level; GPS coordinates (latitude and longitude) of schools for each village,,variable,,,,,,degrees,http://purl.obolibrary.org/obo/UO_0000185,,,,,,
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,Latitude,4,,GPS coordinates (latitude and longitude) of schools for each village,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Village level; GPS coordinates (latitude and longitude) of schools for each village,,variable,,,,,,degrees,http://purl.obolibrary.org/obo/UO_0000185,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,1,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030033,Village study timepoint,village_study_year,1,,Year study village was surveyed,Household,,Village observation details,"variable, derived",,"variable, derived",,,,,,,,,,,,,
,Village observation details,,,,,,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,,2,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044175,Village study arm,Niger_Rx,1,,Treatment frequency: either annual or biannual after study redesign,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Treatment: annual or biannual after study redesign,CWT once= communitywide treatment once a year; CWT twice= communitywide treatment twice a year; SBT once= school-based treatment once a year; SBT twice= school-based treatment twice a year.,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030016,Number of school-age children in village,Total_SAC,1,,Number of school-age children (SAC) in village,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; # school-age children (SAC) in village,.=Missing,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030135,"Total population treated in village, second treatment (%)",Percent_Total_Pop_Rxed_Rx2,10,,Percent total population treated in village. Calculated by dividing Total_Pop_Rxed_Rx2 by Total_Pop,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; Percent total population treated in village,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030017,Number of school-age children treated in village,SAC_Rxed_Rx1,2,,# school-age children (SAC) treated in first treatment,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level;# school-age children (SAC) treated,.=Missing,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030018,School-age children treated in village (%),Percent_SAC_Rxed_Rx1,3,,Percent school-age children (SAC) treated in village in first treatment. Calculated by dividing SAC_Rxed_Rx1 by Total_SAC,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; school-age children (SAC) treated in village,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030132,"Number of school-age children in village, second treatment",SAC_Rxed_Rx2,4,,# school-age children (SAC) treated in second treatment,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level;# school-age children (SAC) treated,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030133,"School-age children treated in village, second treatment (%)",Percent_SAC_Rxed_Rx2,5,,Percent school-age children (SAC) treated in village. Calculated by dividing SAC_Rxed_Rx2 by Total_SAC,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; school-age children (SAC) treated in village,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030019,Total population of village,Total_Pop,6,,Total population of village,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; Total population of village,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030020,Total population treated in village,Total_Pop_Rxed_Rx1,7,,Total population treated in first treatment,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; Total population treated,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030021,Total population treated in village (%),Percent_Total_Pop_Rxed_Rx1,8,,Percent total population treated in village in first treatment. Calculated by dividing Total_Pop_Rxed_Rx1 by Total_Pop,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; Percent total population treated in village,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030134,"Total population treated in village, second treatment",Total_Pop_Rxed_Rx2,9,,Total population treated in second treatment,Household,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,Village level; Total population treated,,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0030002,Study type,Study_group,2,,A1= Villages with a starting prevalence of 10-24% during eligibility testing that got school-based treatment once a year; A2= Villages with a starting prevalence of 10-24% during eligibility testing that got school-based treatment twice a year; B1= Villages with a starting prevalence of ≥25% during eligibility testing that got school-based treatment once a year; B2= Villages with a starting prevalence of ≥25% during eligibility testing that got school-based treatment twice a year; C1= Villages with a starting prevalence of ≥25% during eligibility testing that got communitywide treatment once a year; C2= Villages with a starting prevalence of ≥25% during eligibility testing that got communitywide treatment twice a year,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Study group after Niger study was redesigned,A1= Villages with a starting prevalence of 10-24% during eligibility testing that got school-based treatment once a year; A2= Villages with a starting prevalence of 10-24% during eligibility testing that got school-based treatment twice a year; B1= Villages with a starting prevalence of ≥25% during eligibility testing that got school-based treatment once a year; B2= Villages with a starting prevalence of ≥25% during eligibility testing that got school-based treatment twice a year; C1= Villages with a starting prevalence of ≥25% during eligibility testing that got communitywide treatment once a year; C2= Villages with a starting prevalence of ≥25% during eligibility testing that got communitywide treatment twice a year,variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,Sex,1,,Sex,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Sex,"F=Female, M=Male, N=No Data",variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,Study_Year,1,,"In Years. If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for ‘Village study timepoint’ (under ‘Village’) as well as for ‘Study timepoint’ (under ‘Sample’).",Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Study Year; Country-wide,"1, 2, 3, 4, 5",variable,,,,,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010374,Year,Study_Year,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Study Year; Country-wide,"1, 2, 3, 4, 5",variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,2,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,3,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000120,Age at enrollment,Age,2,,Age in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,Age (years),,variable,,,,,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030022,Age group at enrollment,X_Sect,3,,Age group,Participant,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,"Generated based on age: 5_8= 5-8 years old, 9_12= 9 to 12 years old, 20_55= 20 to 55 years old, Other= not in above age groups","5_8, 9_12, 20_55, Other",variable,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,Sample,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0030122,Schistosoma in urine,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0030125,Eukaryota in urine,,,category,,,,,,,,,,,,,
