IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,SCORE Rwanda,,,,,yes,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,country,,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,"variable, derived",,,,SCORE Rwanda,ENVO_00000004,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030165,Albendazole administration in the last 12 months,score_rwanda_mapping_dataset::alb.l12m.school,,score_rwanda_mapping_dataset,Binary variable for treatment with deworming drug albendazole (ALB) in last 12 months at school,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Binary variable for treatment with deworming drug albendazole (ALB) in last 12 months at school,,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030148,"Boys in school, count",score_rwanda_mapping_dataset::nboys.school,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Number of boys in the school,,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030149,"Girls in school, count",score_rwanda_mapping_dataset::ngirls.school,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Number of girls in the school,,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030171,Mapping unit,score_rwanda_mapping_dataset::sch.mapping.unit,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Mapping unit for schisto,,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030170,Praziquantel administration in the last 12 months,score_rwanda_mapping_dataset::pzq.l12m.school,,score_rwanda_mapping_dataset,Binary variable for treatment with anti-schistosomal drug praziquantel (PZQ) in last 12 months at school,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Binary variable for treatment with anti-schistosomal drug praziquantel (PZQ) in last 12 months at school,,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030145,School ID,score_rwanda_mapping_dataset::schoolcode,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,"Identity code for each school formatted as 
District/Commune/School",,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030167,School based Kato-Katz assessment,score_rwanda_mapping_dataset::kkschool,,score_rwanda_mapping_dataset,Binary flag if school was tested using Kato-Katz test,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Whether or not the school was assessed using Kato-Katz,,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030172,School schistosomiasis risk,score_rwanda_mapping_dataset::sch.risk,,score_rwanda_mapping_dataset,Risk of schistosomiasis for the school based on mapping zone,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Whether mapping unit for schisto was high or low risk,,variable,,,,SCORE Rwanda,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030146,Sentinel site,score_rwanda_mapping_dataset::sentinelsite,,score_rwanda_mapping_dataset,This is a flag to indicate whether the school was a sentinel site (where monitoring of the national schistosomiasis control program had previously taken place) or not,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,Flag to indicate whether the school is a sentinel site or not,,variable,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5 km of school,,,,Presence or absence of different types of sources of water within 5km of the school,Household,http://purl.obolibrary.org/obo/EUPATH_0030143,School level information,,,multifilter,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030166,Dam,score_rwanda_mapping_dataset::dam.within.5km,,score_rwanda_mapping_dataset,Presence or absence of different types of sources of water within 5km of the school,Household,http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5km of school,,,value,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030136,Irrigation canal,score_rwanda_mapping_dataset::irrigationcanal.within.5km,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5km of school,,,value,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030137,Lake,score_rwanda_mapping_dataset::lake.within.5km,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5km of school,Flags to indicate types of sources of water within 5km,,value,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030138,Marsh or swamp,score_rwanda_mapping_dataset::marsh.swamp.within.5km,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5km of school,,,value,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030139,Other water source,score_rwanda_mapping_dataset::otherwater.within.5km,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5km of school,,,value,,,,SCORE Rwanda,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030141,Ricefield,score_rwanda_mapping_dataset::ricefield.within.5km,,score_rwanda_mapping_dataset,,Household,http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5km of school,,,value,,,,SCORE Rwanda,,,,,,,,,
