IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,,,,,SCORE Sm Cohort,,,,,yes,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,country_code,,score_sm_cohort_ken_tan_march3_2020,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country code,,variable,,,,SCORE Sm Cohort,ENVO_00000004,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,SCORE Sm Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SCORE Sm Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044175,Village study arm,study_arm,,score_sm_cohort_ken_tan_march3_2020,,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Study arm,,variable,,,,SCORE Sm Cohort,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,,,,,SCORE Sm Cohort,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0010075,Height,hght,,score_sm_cohort_ken_tan_march3_2020,Height,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Height measured using standardized technique (stadiometer),,variable,,,,SCORE Sm Cohort,,cm,http://purl.obolibrary.org/obo/UO_0000015,,,,,,
http://purl.obolibrary.org/obo/IAO_0000414,Weight,wght,,score_sm_cohort_ken_tan_march3_2020,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Weight measured using standardized technique (calibrated scale),,variable,,,,SCORE Sm Cohort,EUPATH_0000732,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,sex,,score_sm_cohort_ken_tan_march3_2020,Gender,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Sex of study participant,,variable,,,,SCORE Sm Cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000090,Malaria diagnosis,malaria,,score_sm_cohort_ken_tan_march3_2020,,Participant,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,Malaria blood smear test,,variable,,,,SCORE Sm Cohort,,,,,,,,,
