file	category	id
SHINE_Baseline_Household_Data	household	hh_id
SHINE_Baseline_Household_Data	HouseholdObservation	{{o}}+hh_id+studyTimepoint
SHINE_ECD_Data	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_ECD_Data	participant	{{p}}+hh_id+birthorder
SHINE_ECD_Data	household	hh_id
SHINE_Infant_EBF_moduleSplit	household	hh_id
SHINE_Infant_EBF_moduleSplit	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_EBF_m1Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_EBF_m3Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_Birth_m18_birthSplit	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_Birth_m18_birthSplit	participant	{{p}}+hh_id+birthorder
SHINE_Infant_Birth_m18_m12Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_Birth_m18_m18Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Infant_Birth_m18_m18Split	participant	{{p}}+hh_id+birthorder
SHINE_Infant_Birth_m18_m18Split	sample	{{s}}+hh_id+birthorder
SHINE_Maternal_Baseline_baselineSplit	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Maternal_Baseline_baselineSplit	participant	{{p}}+hh_id+birthorder
SHINE_Maternal_Baseline_baselineSplit	sample	{{s}}+hh_id+birthorder
SHINE_Maternal_Baseline_m18Split	participant	{{p}}+hh_id+birthorder
SHINE_Month12_Intervention_Uptake	household	hh_id
SHINE_Month12_Intervention_Uptake	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Morbidity_Recall_m1Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Morbidity_Recall_m3Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Morbidity_Recall_m6Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Morbidity_Recall_m12Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Morbidity_Recall_m18Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Study_level_factors_baselineSplit	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Study_level_factors_m1Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Study_level_factors_m3Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Study_level_factors_m6Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
SHINE_Study_level_factors_Split	household	hh_id
SHINE_Study_level_factors_Split	participant	{{p}}+hh_id+birthorder
SHINE_Study_level_factors_Split	observation	{{o}}+hh_id+birthorder+studyTimepoint
