colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
3,form01::hospitalname,form01,,Hospital,,,Geographic location,GAZ_00000448,,,variable,
5,form01::dateofscreening,form01,EUPATH_0047283,Screening date,,,,,,,variable,
6,form01::didmotherdeliveratoneoftheparticipatingstudyhospitalsandinfant,form01,,Delivered at study hospital,,,Eligibility criteria,EUPATH_0010036,,,variable,
7,form01::wasbabytransferredfromotherfacilitiesorhometooneoftheparticipa,form01,,Transferred to study hospital before 7 days of age,,,Eligibility criteria,EUPATH_0010036,,,variable,
9,form01::gestationalageinweeksbyballard,form01,EUPATH_0036409,Estimated gestational age (weeks),Gestational age estimated by Ballard score,,Gestational age assessment,EUPATH_0036006,,,variable,
10,form01::ballardneuromuscularmaturityscore,form01,,Neuromuscular maturity score,Ballard neuromuscular maturity score,,Gestational age assessment,EUPATH_0036006,,,variable,
11,form01::ballardphysicalmaturityscore,form01,,Physical maturity score,Ballard physical maturity score,,Gestational age assessment,EUPATH_0036006,,,variable,
12,form01::total,form01,EUPATH_0036414,Gestational age score,Total Ballard score,,Gestational age assessment,EUPATH_0036006,,,variable,
13,form01::bestga,form01,NCIT_C124435,Gestational age at delivery (weeks),"Best estimate of gestational age at enrollment between last menstrual period, ultrasound, and Ballard methods",,,,,,"variable, derived",Update label in PROMOTE to match
18,form01::days,form01,NCIT_C124435,Gestational age at delivery (weeks),,,,,,,"variable, derived",
20,form01::ifyesfirstdayoflastmenstrualperiod,form01,NCIT_C81257,First day of last menstrual period,Recorded at enrollment if date thought to be reliable,,,,,,variable,
21,form01::ifyesgestationalagegaatdeliveryinweeksfromlmpwks,form01,,"Gestational age at delivery (weeks), by last menstrual period",gestational age estimated by LMP,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
22,form01::days1,form01,,"Gestational age at delivery (weeks), by last menstrual period",,,Labor and delivery,EUPATH_0042001,"gestational age at delivery in weeks from lmpwks, the days portion",,"variable, derived",
23,form01::wasultrasoundperformed,form01,,Fetal ultrasound performed,Ultrasound performed during pregnancy (before current observation),,Pregnancy,EUPATH_0042004,,,variable,
24,form01::dateoffirstonlyusexam,form01,,Fetal ultrasound date,Date of ultrasound performed during pregnancy (before current observation),,Pregnancy,EUPATH_0042004,,,variable,
26,form01::trimesterofearliestultrasound,form01,,Fetal ultrasound pregnancy trimester,Trimester of pregnancy during ultrasound (before current observation),,Pregnancy,EUPATH_0042004,,,variable,
27,form01::gestationalageatthefirstonlyusexamwks,form01,,"Gestational age (weeks), by ultrasound","Gestational age at time ultrasound was performed, not at screening",,Pregnancy,EUPATH_0042004,,,"variable, derived",
28,form01::days2,form01,,"Gestational age (weeks), by ultrasound",,,Pregnancy,EUPATH_0042004,"gestational age at first/only ultrasound, the days portion",,"variable, derived",
