file,category,id,
form01,Observation,eligibiltyid+dateofscreening,
form01,Participant,eligibiltyid,
form01,Household,eligibiltyid,
form02_long,Sample,obstetricid+dateofscreening,*dateofscreening is from form01
form02_long,Observation,obstetricid+dateofscreening,*dateofscreening is from form01
form02_long,Participant,obstetricid,
form02_long,Household,obstetricid,
form03a,Observation,followupid+dateofexam,
form03a,Participant,followupid,
form03a,Household,followupid,
form03b,Sample,followupid+dateofexam,
form03b,Observation,followupid+dateofexam,
form03b,Participant,followupid,
form03b,Household,followupid,
form05_long,Observation,followupid+visit,
form05_long,Participant,followupid,
form05_long,Household,followupid,
form06,Observation,nicudischargeid+dateofnicudischarge.death,
form06,Participant,nicudischargeid,
form06,Household,nicudischargeid,
form06_blood,Sample,nicudischargeid+bloodculturedate,
form06_blood,Observation,nicudischargeid+bloodculturedate,
form06_blood,Participant,nicudischargeid,
form06_blood,Household,nicudischargeid,
form06_c_xray,Sample,nicudischargeid+chestxraydate,
form06_c_xray,Observation,nicudischargeid+chestxraydate,
form06_c_xray,Participant,nicudischargeid,
form06_c_xray,Household,nicudischargeid,
form06_cbc,Sample,nicudischargeid+completebloodcountcbc,
form06_cbc,Observation,nicudischargeid+completebloodcountcbc,
form06_cbc,Participant,nicudischargeid,
form06_cbc,Household,nicudischargeid,
form06_csf,Sample,nicudischargeid+cerebralspinalfluiddate,
form06_csf,Observation,nicudischargeid+cerebralspinalfluiddate,
form06_csf,Participant,nicudischargeid,
form06_csf,Household,nicudischargeid,
form06_ultrasound,Sample,nicudischargeid+cranialultrasounddate,
form06_ultrasound,Observation,nicudischargeid+cranialultrasounddate,
form06_ultrasound,Participant,nicudischargeid,
form06_ultrasound,Household,nicudischargeid,
form08a,Observation,studyidauto+dateofautopsy,
form08a,Participant,studyidauto,
form08a,Household,studyidauto,
form08b,Observation,studyidmites+dateofautopsy,
form08b,Participant,studyidmites,
form08b,Household,studyidmites,
form09_long,Sample,studyid+microbiologyfindingsdate,
form09_long,Observation,studyid+microbiologyfindingsdate,
form09_long,Participant,studyid,
form09_long,Household,studyid,
form12a,Participant,studyid,
form12a,Household,studyid,
form12b,Participant,studyid,
form12b,Household,studyid,
