IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,SCORE Zanzibar,,,,,yes,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,country,,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,"variable, derived",,,,SCORE Zanzibar,ENVO_00000004,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030126,Island of Zanzibar,Island,,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Island name,"Unguja, Pemba",variable,,,,SCORE Zanzibar,http://purl.obolibrary.org/obo/gates/EUPATH_0030126,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030127,School,School,,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Name of school,,variable,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030128,Shehia of school,Shehia,,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Location of school,,variable,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044175,Village study arm,Study_arm,,,Abbreviation refers to randomization group. Villages were randomized into one of three arms and given different treatment regimens. Refer to study page for more detail.,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Study arm,"MDA, MDA+Snail, MDA+Behavior",variable,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,SCORE Zanzibar,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0030129,Grade in school at enrollment,Standard,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Grade in school when child was enrolled,,variable,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,Sex,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Sex,"F = female, M = male",variable,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,Year,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Year of data collection,"2011, 2012, 2013, 2014, 2015, 2016, 2017",variable,,,,SCORE Zanzibar,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000120,Age at enrollment,Age,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,Age (years),,variable,,,,SCORE Zanzibar,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,Sample,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,SCORE Zanzibar,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0030122,Schistosoma in urine,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0030125,Eukaryota in urine,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030101,Urine microbiology test,,,,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0011797,Urine test,,,,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030124,"o	Schistosoma haematobium infection intensity, by microscopy",UF_Sh,,,Mean Schistosoma haematobium eggs counted on two filtrations of urine samples,Sample,http://purl.obolibrary.org/obo/EUPATH_0030122,Schistosoma in urine,Number of  schistosoma haematobium eggs in 10 ml from one filter/slide from a urine sample,,variable,,,,SCORE Zanzibar,,eggs per 10 ml,http://purl.obolibrary.org/obo/EUPATH_0030168,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030123,"Schistosoma haematobium, by microscopy",Sh_binary,,,"Presence or absence of Schistosoma haematobium eggs in study participant,  based on detection the urine sample",Sample,http://purl.obolibrary.org/obo/EUPATH_0030122,Schistosoma in urine,"Presence or absence of Schistosoma haematobium eggs in study participant,  based on detection the urine sample","1= Positive, 0 = Negative",variable,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030125,Eukaryota in urine,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0030101,Urine microbiology test,,,category,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030131,Microhematuria,Haemastix_haem,,,Microhematuria evaluated via hemastix dipsticks,Sample,http://purl.obolibrary.org/obo/EUPATH_0011797,Urine test,"Microhaematuria, determined by Haemastix dipsticks","0=negative, 1= positive, 2= positive, 3=positive, 4=trace",variable,,,,SCORE Zanzibar,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030130,Visible macrohematuria,Vis_haem,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0011797,Urine test,Visible macrohaemturia,"1, 2, 3, 4, 5, 6 in line with colour chart",variable,,,,SCORE Zanzibar,,,,,,,,,
