order,uniqueVar,variable,dataFile,keepDiscard,notesforDL,codebookDescription,codebookValues,timeVaryng,duplicated,dateTime,flag,notesforOnt,type,example,minValue,maxValue,values,uniqueValueCount,percentMissing,In OWL FILE
729,F7_DPT2_DATE,f7_dpt2_date,vida_enrl.csv,CHECK,Added comment in WP to fix.,DPT/Pentavalent 2 date,,,,date?,NA,,date,5/4/2015,.,12/31/2015,. to 12/31/15,1433,0.478874514,NO
769,F7_IPV1,f7_ipv1,vida_enrl.csv,CHECK,Added comment in WP to fix.,Inactivated polio vaccine 1,"N=No, Y=Yes (0=No, 1=Yes), DK=DK",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1, 9",4,0.461322718,NO
938,SHIG_FLEX_SERO7A,shig_flex_sero7a,vida_enrl.csv,CHECK,Added note in WP,,,,,NA,,,chr,0,n/a,n/a,"., 0, 1",3,0.960010857,NO
1037,WI_FL_NAT,wi_fl_nat,vida_enrl.csv,CHECK,Added note in WP,,,,,NA,NA,,int,0,0,1,0 to 1,2,0,NO
223,F4A_DPT2_DATE,f4a_dpt2_date,vida_enrl.csv,CHECK,Added note in WP to correct.,DPT/Pentavalent 2 date,,,,date?,NA,,date,2/2/2015,.,12/31/2015,. to 12/31/15,1309,0.599475256,NO
1134,ROT_FIRST_DATE,rot_first_date,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,date?,,,date,1/5/2015,.,12/31/2015,. to 12/31/15,1206,0.17298471,NO
1135,ROT_LAST_DATE,rot_last_date,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,date?,,,date,5/4/2015,.,12/31/2016,. to 12/31/16,1196,0.17298471,NO
1131,ROTA_AMBIG,rota_ambig,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,NA,,,chr,1,n/a,n/a,"., 1",2,0.997104858,NO
1132,ROTA_DOSE_LATE,rota_dose_late,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,NA,,,int,0,0,1,0 to 1,2,0,NO
1136,ROTA_VAX,rota_vax,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,NA,,,chr,2,n/a,n/a,"., 0, 1, 2",4,0.042341446,NO
1138,ROTA_VAX_ADJUST,rota_vax_adjust,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,NA,,,chr,1,n/a,n/a,"., 0, 1, 2",4,0.042703338,NO
1139,ROTA_VAX_ELIG1,rota_vax_elig1,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,NA,,,int,1,0,1,0 to 1,2,0,NO
1140,ROTA_VAX_ELIG2,rota_vax_elig2,vida_enrl.csv,CHECK,Can add if requested but need definition.,,,,,NA,,,int,1,0,1,0 to 1,2,0,NO
6,VIDA_CASE,vida_case,vida_enrl.csv,CHECK,Can add if requested but need to define VIDA plus,Case-control status,"1=Vida case, 2=VIDA Plus case, 3=VIDA control, 4=VIDA Plus control",,,NA,NA,,int,1,1,3,1 to 3,2,0,NO
1038,WI_FL_RUD,wi_fl_rud,vida_enrl.csv,discard,All no's,,,,,NA,NA,,int,0,0,0,0 to 0,1,0,NO
965,AGEGROUP_FINE,agegroup_fine,vida_enrl.csv,discard,Can add if requested,Age group with further refinement of the youngest age group,"1 = 0-2 months, 2 = 3-5 months, 3 = 6-8 months, 4 = 9-11 months, 5 = 12-23 months, 6 = 24-59 months ",,,NA,NA,,int,3,1,6,1 to 6,6,0,NO
1121,BASE_MUAC_COMB,base_muac_comb,vida_enrl.csv,discard,Can add if requested,Median mid-upper arm circumference (MUAC) of the child at the time of enrollment (cm). If the child was rehydrated in the hospital then the last measured MUAC is used (cm).,numeric,,,NA,NA,,dbl,13.4,8.4,21.95,8.4 to 21.95,103,0,NO
1123,BASE_WHZ_COMB,base_whz_comb,vida_enrl.csv,discard,Can add if requested,WHO growth standards weight-for-height z-score at enrollment using rehydrated weight when available,numeric,,,NA,NA,,chr,-0.79,n/a,n/a,>10 unique values,790,0.000180946,NO
1137,DAYS_DOSE,days_dose,vida_enrl.csv,discard,Can add if requested. Will need definition.,,,,,NA,,,chr,7,n/a,n/a,>10 unique values,1164,0.17298471,NO
1008,DEATH_DAYS,death_days,vida_enrl.csv,discard,Can add if requested. Will need definition.,,,,,NA,,,chr,2,n/a,n/a,>10 unique values,24,0.9962906,NO
470,F5_AGECAT,f5_agecat,vida_enrl.csv,discard,Could add but this is not coded consistently with the enrollment age category,Child's age at 60 day follow-up,"1=0-23 months old, 2=24-59 months old",,,NA,NA,,chr,1,n/a,n/a,"., 1, 2",3,0.040712929,NO
1128,ROT1_DATE,rot1_date,vida_enrl.csv,discard,Used f4a and f7 instead,,,,,date?,,,date,1/5/2015,.,12/31/2015,. to 12/31/15,1206,0.173708495,NO
1129,ROT2_DATE,rot2_date,vida_enrl.csv,discard,Used f4a and f7 instead,,,,,date?,,,date,2/2/2015,.,12/31/2015,. to 12/31/15,1181,0.210802497,NO
1130,ROT3_DATE,rot3_date,vida_enrl.csv,discard,Used f4a and f7 instead,,,,,date?,,,date,5/4/2015,.,12/31/2016,. to 12/31/16,1039,0.505021261,NO
1204,TAC_STH,tac_sth,vida_enrl.csv,discard,Used TAC_ST_ETEC instead,STh of ETEC,numeric,,,NA,NA,,chr,35,n/a,n/a,>10 unique values,1148,0.131186103,NO
1203,TAC_STP,tac_stp,vida_enrl.csv,discard,Used TAC_ST_ETEC instead,STp of ETEC,numeric,,,NA,NA,,chr,25.498,n/a,n/a,>10 unique values,993,0.131005157,NO
549,F7_FINFL,f7_finfl,vida_enrl.csv,discard,Used wi_ variables instead,Predominant floor finish,"01=Parquet or polished wood, 
02=Vinyl or asphalt strips, 
03=Ceramic tile, 
04=Cement, 
05=Carpet",,,NA,NA,,chr,4,n/a,n/a,"., 2, 3, 4, 5",5,0.589885099,NO
73,F4A_FINFL,f4a_finfl,vida_enrl.csv,discard,Used wi_ variables instead,Predominant floor finished,"1= ""Parquet or polished wood"",2 = ""Vinyl or asphalt strips"", 3 = ""Ceramic tile"",4 = ""Cement"", 5 = ""Carpet",,,NA,NA,,chr,4,n/a,n/a,"., 2, 3, 4, 5",5,0.681986791,NO
143,F4A_MAIN_WASTE,f4a_main_waste,vida_enrl.csv,discard,Used wi_ variables instead,What kind of facility does your Household has most commonly use to dispose of human fecal waste? [Show pictures to confirm the identity of the facility used.],"01=Flush or pour-flush toilet to: piped sewer system; septic tank; or pit latrine, 
02=Flush or pour-flush toilet to elsewhere, 
03=Bucket, 
04=Ventilated improved pit (VIP) latrine, 
05=Pit latrine with slab, 
06=Pit latrine without slab or open pit, 
07=Composting toilet, 
08=Hanging toilet or hanging latrine, 
09=No facility: Bush/Field/Ground/Stream/Open sewer, 
10=Other, specify:",,,NA,NA,,chr,5,n/a,n/a,"., 1, 2, 3, 4, 5, 6, 9",8,0.562109834,NO
619,F7_MAIN_WASTE,f7_main_waste,vida_enrl.csv,discard,Used wi_ variables instead,What kind of facility does your Household has most commonly use to dispose of human fecal waste?,"01=Flush or pour-flush toilet to: piped sewer system; septic tank; or pit latrine, 
02=Flush or pour-flush toilet to elsewhere, 
03=Bucket, 
04=Ventilated improved pit (VIP) latrine, 
05=Pit latrine with slab,
06=Pit latrine without slab or open pit,
07=Composting toilet, 
08=Hanging toilet or hanging latrine, 
09=No facility: Bush/Field/Ground/Stream/Open sewer, 
10=Other, specify:",,,NA,NA,,chr,6,n/a,n/a,>10 unique values,11,0.437890166,NO
1134,DELTA_MUAC_COMB,delta_muac_comb,vida_enrl.csv,discard,,Change in MUAC from enrollment (including in rehydrated) to follow-up,numeric,,,NA,NA,,chr,0.6,n/a,n/a,>10 unique values,98,0.040803402,NO
1141,DELTA_MUAZ_COMB,delta_muaz_comb,vida_enrl.csv,discard,,Change in MUACZ from enrollment ((including rehydration) to follow-up,numeric,,,NA,NA,,chr,0.39,n/a,n/a,>10 unique values,528,0.052112549,NO
1136,DELTA_WAZ_COMB,delta_waz_comb,vida_enrl.csv,discard,,Change in WAZ from enrollment (including rehydration) to follow-up,numeric,,,NA,NA,,chr,0.65,n/a,n/a,>10 unique values,676,0.040984348,NO
1139,DELTA_WHZ_COMB,delta_whz_comb,vida_enrl.csv,discard,,Change in WHZ score from enrollment (including rehydration) to follow-up,numeric,,,NA,NA,,chr,1.62,n/a,n/a,>10 unique values,809,0.040984348,NO
1132,DELTA_WT_COMB,delta_wt_comb,vida_enrl.csv,discard,,Change in weight from enrollment (including if rehydrated) to follow-up,numeric,,,NA,NA,,chr,1.3,n/a,n/a,>10 unique values,253,0.040893875,NO
1,DSS_ID,dss_id,vida_enrl.csv,discard,,The unique Demorgaphic Surveillance System (DSS) ID of the child,numeric,,,NA,NA,,chr,8.00E+13,n/a,n/a,>10 unique values,10059,0,NO
825,F11_ANTI_SPEC,f11_anti_spec,vida_enrl.csv,discard,,"Other antibiotic, specify",,,,NA,NA,GEMS,chr,CLOXACILLIN,n/a,n/a,", cedrox, CLOXACILLIN",2,0.999819054,NO
839,F11_INT_CODE,f11_int_code,vida_enrl.csv,discard,,Interviewer staff code,,,,NA,NA,GEMS,chr,19,n/a,n/a,>10 unique values,166,0.000180946,NO
838,F11_INT_NAME,f11_int_name,vida_enrl.csv,discard,,Interviewer's name,,,,NA,NA,,chr,HABBY JALLOW,n/a,n/a,>10 unique values,680,9.05E-05,NO
807,F11_MUCUS,f11_mucus,vida_enrl.csv,discard,,Mucus,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,int,0,0,1,0 to 1,2,0,NO
