IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,VIDA Case Control,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0015027,Cat,f7_ani_cat | f4a_ani_cat | wi_ani_cat,1,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Cat in compound | Household has animal cat,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015025,Sheep,f7_ani_sheep | f4a_ani_sheep | wi_ani_sheep,10,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Household has animal sheep | Sheep in compound,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015031,Other,f7_ani_other | f4a_ani_other | wi_ani_other,11,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Other animal specify | Other animal in compound | Household has animal other,"1=selected, 0=not selected | 1 = ""Present"", 0 = | string",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021013,None,f4a_ani_no | f7_ani_no,12,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Household has no animals | No animals in compound,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015026,Dog,f7_ani_dog | wi_ani_dog | f4a_ani_dog,2,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Dog in compound | Household has animal dog,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0031148,Donkey,wi_ani_donk | f4a_ani_donk | f7_ani_donk,3,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Household has animal donkey | Donkey in compound,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015030,Fowl,f7_ani_fowl | f4a_ani_fowl | wi_ani_fowl,4,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Household has animal fowl | Fowl in compound,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015024,Goat,f7_ani_goat | f4a_ani_goat | wi_ani_goat,5,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Household has animal goat | Goat in compound,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,f7_ani_cow | f4a_ani_cow | wi_ani_cow,6,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Household has animal cow | Cow in compound,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015029,Rodents,f7_ani_rodents | wi_ani_rodents | f4a_ani_rodents,7,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Rodents in compound | Household has animal rodents,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0031151,Pig,f7_ani_pig | wi_ani_pig | f4a_ani_pig,8,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Pig in compound | Household has animal pig,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0031149,Horse,f7_ani_hors | f4a_ani_hors | wi_ani_hors,9,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,Horse in compound | Household has animal horses,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,f7_house_elec | f4a_house_elec | wi_house_elec,1,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household has electricity | Electricity in house,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000579,Television,f4a_house_tele | f7_house_tele,10,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household has television | Television in house,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000577,Radio,f4a_house_radio | f7_house_radio | wi_house_radio,11,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household has radio | Radio in Household has,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,f4a_house_none | f7_house_none | wi_house_none,12,vida_enrl.csv,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,None of the above | Household has none of above,"1=selected, 0=not selected | 1 = ""Present"", 0 =",value,,,,VIDA Case Control,,,,,,,,,
