overallOrder,variable,dataSet,dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,variable_dataFile,Question,VIDA Coding,CRF,Q. no
1,dss_id,VIDA,vida_enrl.csv,chr,8.00E+13,NA,NA,n/a,n/a,>10 unique values,10061,0,NA,DSS_ID,Child's DSS ID,numeric,F3,11.e
2,childid,VIDA,vida_enrl.csv,dbl,1010000022,NA,NA,1010000022,3169002540,1010000022 to 3169002540,11055,0,NA,CHILDID,Child's study ID,numeric,F2,
3,caseid,VIDA,vida_enrl.csv,dbl,1010000022,NA,NA,1010000022,3160002183,1010000022 to 3160002183,4841,0,NA,CASEID,,numeric,F2,
4,enroll_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,1/1/2018,12/31/2017,01/01/18 to 12/31/17,1055,0,NA,ENROLL_DATE,Enrollment date,Date,F3,16
5,type,VIDA,vida_enrl.csv,int,1,NA,NA,0,1,0 to 1,2,0,NA,TYPE,Case or control status,"0 = Control, 1 = Case",Derived,Derived
6,vida_case,VIDA,vida_enrl.csv,int,1,NA,NA,1,3,1 to 3,2,0,NA,VIDA_CASE,Vida or Vida plus case,"1 = VIDA case, 2 = VIDA plus case, 3 = VIDA control, 4 = VIDA plus control",Derived,Derived
7,merck_case,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.854545455,NA,MERCK_CASE,Merck case,"1 = Merck case, 0 = Not Merck case",Derived,Derived
8,agegroup,VIDA,vida_enrl.csv,int,1,NA,NA,1,3,1 to 3,3,0,NA,AGEGROUP,Age group,"1 = 0-11 months, 2 = 12-23 months, 3 = 24-59 months",General ,General 
9,age,VIDA,vida_enrl.csv,int,6,NA,NA,0,59,0 to 59,60,0,NA,AGE,Age in months,numeric,General ,General 
10,gender,VIDA,vida_enrl.csv,int,1,NA,NA,1,2,1 to 2,2,0,NA,GENDER,Gender,"1 = Male, 2 = Female",Derived,Derived
11,dob,VIDA,vida_enrl.csv,date,10/20/2014,date?,NA,1/1/2011,12/31/2016,01/01/11 to 12/31/16,2167,0,NA,DOB,Date of birth,Date,F3,11.c
12,f2_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,.,12/31/2017,. to 12/31/17,1007,0.562369968,NA,F2_DATE,Registration date,date,F4A,35.a
13,f2_cluster,VIDA,vida_enrl.csv,chr,80014,NA,NA,n/a,n/a,>10 unique values,576,0.562369968,NA,F2_CLUSTER,Cluster number,string,F4A,35.a
14,f2_age,VIDA,vida_enrl.csv,chr,6,NA,NA,n/a,n/a,>10 unique values,61,0.562369968,NA,F2_AGE,Age in months,numeric,F4A,35.a
15,f2_gender,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1, 2",3,0.562369968,NA,F2_GENDER,Gender,"1 = ""Male"", 2 = ""Female""",F4A,35.a
16,f2_hosp,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.563274536,NA,F2_HOSP,Hospitalized,"0 = No, 1 = Yes",F4A,35.a
17,f2_loose_stools,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F2_LOOSE_STOOLS,Three or more abnormally loose or watery stools within the last 24 hour period,"0 = No, 1 = Yes",F4A,35.a
18,f3_enrcenga,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,>10 unique values,11,0.848123021,NA,F3_ENRCENGA,,,,
19,f3_enrcenma,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1, 10, 2, 3, 4, 5, 6, 8, 9",10,0.854545455,NA,F3_ENRCENMA,,,,
20,f3_enrcenke,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,>10 unique values,16,0.859430122,NA,F3_ENRCENKE,,,,
21,f3_enrelgdt,VIDA,vida_enrl.csv,chr,5/11/2015,NA,NA,n/a,n/a,>10 unique values,1008,0.562098598,NA,F3_ENRELGDT,,,,
22,f3_age59,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_AGE59,Is this child 0-59 months of age?,"1 = Yes, 0 = No, 9 = DK",F4A,35.a
23,f3_child_dss,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_CHILD_DSS,Does the child qualify as a DSS resident?,"1 = Yes, 0 = No",F4A,35.a
24,gambia_dss,VIDA,vida_enrl.csv,chr,8.00E+13,NA,NA,n/a,n/a,>10 unique values,3537,0.654454998,NA,GAMBIA_DSS,,,,
25,mali_dss,VIDA,vida_enrl.csv,chr,1.74E+20,NA,NA,n/a,n/a,>10 unique values,3050,0.675440977,NA,MALI_DSS,,,,
26,kenya_dss,VIDA,vida_enrl.csv,chr,862-43-4-1,NA,NA,n/a,n/a,>10 unique values,3238,0.670104025,NA,KENYA_DSS,,,,
27,f3_not_gems,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_NOT_GEMS,,,,
28,f3_abn_loose,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_ABN_LOOSE,Did this child pass 3 or more abnormally loose stools during the previous 24 hours?,"1 = Yes, 0 = No",F4A,35.a
29,f3_drh_7,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_DRH_7,Did current diarrhea episode begin within the previous 7 days?,"1 = Yes, 0 = No, 9 = DK",F4A,35.a
30,f3_drh7day,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_DRH7DAY,"Before this episode began, did the child have at least 7 days without diarrhea?","1 = Yes, 0 = No, 9 = DK",F4A,35.b
31,f3_drh_sunkeyes,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F3_DRH_SUNKEYES,"a. Sunken eyes, more than normal","1 = Yes, 0 = No",F4A,35.b
32,f3_drh_turgor,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F3_DRH_TURGOR,b. Loss of skin turgor,"1 = Yes, 0 = No",F4A,35.b
33,f3_drh_iv,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F3_DRH_IV,c. Intravenous rehydration administered or prescribed,"1 = Yes, 0 = No",F4A,35.b
34,f3_drh_dys,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F3_DRH_DYS,d. Dysentery (diarrhea with visible blood in stool observed or reported),"1 = Yes, 0 = No",F4A,35.b
35,f3_drh_hosp,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.707553143,NA,F3_DRH_HOSP,e. Hospitalized with diarrhea or dysentery,"1 = Yes, 0 = No",F4A,35.b
36,f3_hosp_nondys,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.854545455,NA,F3_HOSP_NONDYS,"e. Hospitalized with diarrhea, no dysentery","1 = Yes, 0 = No",F4A,35.b
37,f3_hosp_dys,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0",2,0.854545455,NA,F3_HOSP_DYS,f. Hospitalized with dysentery,"1 = Yes, 0 = No",F4A,35.b
38,f3_child_elig,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_CHILD_ELIG,Is the child eligible for enrollment?,"1 = Yes, 0 = No",F4A,35.a
