colOrder,variable_dataFile,variable,uniqueVar,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,type,example,dateTime,values,uniqueValueCount,percentMissing,timeVarying
1,AGE,age,hucs_kenya::age,hucs_kenya,keep,,,,int,2,,0 to 59,60,0,
1,CHILDID,childid,hucs_gambia_mali::childid,hucs_gambia_mali,,,,,int,1008000001,,1008000001 to 2008011916,20813,0,
2,AGE,age,hucs_gambia_mali::age,hucs_gambia_mali,keep,,,,int,2,,0 to 59,60,0,
2,GENDER,gender,hucs_kenya::gender,hucs_kenya,keep,,gender,"1=Male, 2=Female",int,1,,1 to 2,2,0,
3,DOB,dob,hucs_kenya::dob,hucs_kenya,keep,,,,chr,12/20/15,date,>10 unique values,2827,0,
3,GENDER,gender,hucs_gambia_mali::gender,hucs_gambia_mali,keep,,gender,"1=Male, 2=Female",int,1,,1 to 2,2,0,
4,DOB,dob,hucs_gambia_mali::dob,hucs_gambia_mali,keep,,,,chr,3/28/15,date,>10 unique values,2595,0,
4,SITE,site,hucs_kenya::site,hucs_kenya,keep,,,,int,3,,3 to 3,1,0,
5,DSSID,dssid,hucs_kenya::dssid,hucs_kenya,,,,,chr,1-1002-1-1,,>10 unique values,56087,0,
5,SITE,site,hucs_gambia_mali::site,hucs_gambia_mali,keep,,,,int,1,,1 to 2,2,0,
6,KENYA_DSS,kenya_dss,hucs_gambia_mali::kenya_dss,hucs_gambia_mali,discard,,,,chr,NA,,.,1,1,
6,VISIT_DATE,visit_date,hucs_kenya::visit_date,hucs_kenya,,,,,chr,3/15/16,date,>10 unique values,921,0,
7,MALI_DSS,mali_dss,hucs_gambia_mali::mali_dss,hucs_gambia_mali,discard,,,,dbl,1.30E+20,,27000100000000000000 to 243005000000000000000,3189,0.47470331,
7,PRIMCARE,primcare,hucs_kenya::primcare,hucs_kenya,,,Primary caretaker child,"0=No, 1=Yes",int,1,,0 to 1,2,0,
8,CONSENT,consent,hucs_kenya::consent,hucs_kenya,,,Parent verbal consent,"0=No, 1=Yes",int,1,,0 to 1,2,0,
8,GAMBIA_DSS,gambia_dss,hucs_gambia_mali::gambia_dss,hucs_gambia_mali,discard,,,,dbl,8.00E+13,,73007 to 84001200000000,1558,0.52529669,
9,DSSID,dssid,hucs_gambia_mali::dssid,hucs_gambia_mali,,,,,dbl,8.00E+13,,73007 to 243005000000000000000,4747,0,
