variable	variable2	values	mappedTerm
gender	hucs_gambia_mali::gender	1	Male
gender	hucs_gambia_mali::gender	2	Female
primcare	hucs_gambia_mali::primcare	0	No
primcare	hucs_gambia_mali::primcare	1	Yes
consent	hucs_gambia_mali::consent	0	No
consent	hucs_gambia_mali::consent	1	Yes
status	hucs_gambia_mali::status	1	Conducted
status	hucs_gambia_mali::status	2	Not conducted
reason	hucs_gambia_mali::reason	.	Missing
reason	hucs_gambia_mali::reason	1	Primary caretaker not available
reason	hucs_gambia_mali::reason	2	Refused
reason	hucs_gambia_mali::reason	3	Moved away
reason	hucs_gambia_mali::reason	4	Child died more than 7 days ago
reason	hucs_gambia_mali::reason	5	Cannot locate child
reason	hucs_gambia_mali::reason	9	Other
relationship	hucs_gambia_mali::relationship	.	Missing
relationship	hucs_gambia_mali::relationship	1	Mother
relationship	hucs_gambia_mali::relationship	10	Other relation by blood or marriage
relationship	hucs_gambia_mali::relationship	2	Father
relationship	hucs_gambia_mali::relationship	3	Sister
relationship	hucs_gambia_mali::relationship	5	Grandmother
relationship	hucs_gambia_mali::relationship	6	Grandfather
relationship	hucs_gambia_mali::relationship	7	Aunt
relationship	hucs_gambia_mali::relationship	8	Uncle
relationship	hucs_gambia_mali::relationship	9	No relation
prim_schl	hucs_gambia_mali::prim_schl	.	Missing
prim_schl	hucs_gambia_mali::prim_schl	1	No formal schooling
prim_schl	hucs_gambia_mali::prim_schl	2	Less than primary
prim_schl	hucs_gambia_mali::prim_schl	3	Completed secondary
prim_schl	hucs_gambia_mali::prim_schl	4	Post-secondary
prim_schl	hucs_gambia_mali::prim_schl	5	Completed primary
prim_schl	hucs_gambia_mali::prim_schl	6	Religious education only
prim_schl	hucs_gambia_mali::prim_schl	7	Don't know
natfl	hucs_gambia_mali::natfl	.	Missing
natfl	hucs_gambia_mali::natfl	1	Earth/Sand
natfl	hucs_gambia_mali::natfl	2	Dung
finfl	hucs_gambia_mali::finfl	.	Missing
finfl	hucs_gambia_mali::finfl	2	Vinyl or asphalt strips
finfl	hucs_gambia_mali::finfl	3	Ceramic tile
finfl	hucs_gambia_mali::finfl	4	Cement
finfl	hucs_gambia_mali::finfl	5	Carpet
house_elec	hucs_gambia_mali::house_elec	.	Missing 
house_elec	hucs_gambia_mali::house_elec	0	Not selected
house_elec	hucs_gambia_mali::house_elec	1	Selected
house_bike	hucs_gambia_mali::house_bike	.	Missing
house_bike	hucs_gambia_mali::house_bike	0	Not selected
house_bike	hucs_gambia_mali::house_bike	1	Selected
house_phone	hucs_gambia_mali::house_phone	.	Missing
house_phone	hucs_gambia_mali::house_phone	0	Not selected
house_phone	hucs_gambia_mali::house_phone	1	Selected
house_tele	hucs_gambia_mali::house_tele	.	Missing
house_tele	hucs_gambia_mali::house_tele	0	Not selected
house_tele	hucs_gambia_mali::house_tele	1	Selected
house_car	hucs_gambia_mali::house_car	.	Missing
house_car	hucs_gambia_mali::house_car	0	Not selected
house_car	hucs_gambia_mali::house_car	1	Selected
house_cart	hucs_gambia_mali::house_cart	.	Missing
house_cart	hucs_gambia_mali::house_cart	0	Not selected
house_cart	hucs_gambia_mali::house_cart	1	Selected
house_scoot	hucs_gambia_mali::house_scoot	.	Missing
house_scoot	hucs_gambia_mali::house_scoot	0	Not selected
house_scoot	hucs_gambia_mali::house_scoot	1	Selected
house_fridge	hucs_gambia_mali::house_fridge	.	Missing
house_fridge	hucs_gambia_mali::house_fridge	0	Not selected
house_fridge	hucs_gambia_mali::house_fridge	1	Selected
house_agland	hucs_gambia_mali::house_agland	.	Missing
house_agland	hucs_gambia_mali::house_agland	0	Not selected
house_agland	hucs_gambia_mali::house_agland	1	Selected
house_radio	hucs_gambia_mali::house_radio	.	Missing
house_radio	hucs_gambia_mali::house_radio	0	Not selected
house_radio	hucs_gambia_mali::house_radio	1	Selected
house_boat	hucs_gambia_mali::house_boat	.	Missing
house_boat	hucs_gambia_mali::house_boat	0	Not selected
house_boat	hucs_gambia_mali::house_boat	1	Selected
house_none	hucs_gambia_mali::house_none	.	Missing
house_none	hucs_gambia_mali::house_none	0	Not selected
house_none	hucs_gambia_mali::house_none	1	Selected
