colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
1,childid,hucs_gambia_mali,,,,Child ID,,,,,NA,CHILDID,hucs_gambia_mali::childid,int,1008000001,NA,NA,1008000001 to 2008011916,20813,once,0,NA
2,age,hucs_gambia_mali,,,,Age in months,,,,,NA,AGE,hucs_gambia_mali::age,int,2,NA,NA,0 to 59,60,once,0,NA
3,gender,hucs_gambia_mali,,,,gender,"1=Male, 2=Female",,,,NA,GENDER,hucs_gambia_mali::gender,int,1,NA,NA,1 to 2,2,once,0,NA
4,dob,hucs_gambia_mali,,,,Date of birth,,,,,NA,DOB,hucs_gambia_mali::dob,chr,3/28/15,date?,NA,>10 unique values,2595,once,0,NA
5,site,hucs_gambia_mali,,,,Site,,,,,NA,SITE,hucs_gambia_mali::site,int,1,NA,NA,1 to 2,2,once,0,NA
6,kenya_dss,hucs_gambia_mali,discard,,,NA,NA,,,,NA,KENYA_DSS,hucs_gambia_mali::kenya_dss,chr,NA,NA,NA,.,1,once,1,no data
7,mali_dss,hucs_gambia_mali,,,,NA,NA,,,,NA,MALI_DSS,hucs_gambia_mali::mali_dss,dbl,1.30E+20,NA,NA,2.70001e+19 to 2.43005e+20,3189,once,0.47470331,NA
8,gambia_dss,hucs_gambia_mali,,,,NA,NA,,,,NA,GAMBIA_DSS,hucs_gambia_mali::gambia_dss,dbl,8.00E+13,NA,NA,73007 to 8.40012e+13,1558,once,0.52529669,NA
9,dssid,hucs_gambia_mali,,,,NA,NA,,,,NA,DSSID,hucs_gambia_mali::dssid,dbl,8.00E+13,NA,NA,73007 to 2.43005e+20,4747,once,0,NA
10,visit_date,hucs_gambia_mali,,,,NA,NA,,,,NA,VISIT_DATE,hucs_gambia_mali::visit_date,chr,6/23/15,date?,NA,>10 unique values,958,once,0,NA
11,primcare,hucs_gambia_mali,,,,Primary caretaker child,"0=No, 1=Yes",,,,NA,PRIMCARE,hucs_gambia_mali::primcare,int,1,NA,NA,0 to 1,2,once,0,NA
12,consent,hucs_gambia_mali,,,,Parent verbal consent,"0=No, 1=Yes",,,,NA,CONSENT,hucs_gambia_mali::consent,int,1,NA,NA,0 to 1,2,once,0,NA
13,status,hucs_gambia_mali,,,,Interview status,"1=Conducted, 2=Not conducted",,,,NA,STATUS,hucs_gambia_mali::status,int,1,NA,NA,1 to 2,2,once,0,NA
14,reason,hucs_gambia_mali,,,,"Interview not conducted, reason","1=""Primary caretaker not available"", 2=""Refused"", 3=""Moved away"", 4=""Child died more than 7 days ago (including today)"", 5=""Cannot locate child"", 9=""Other""",,,,.,REASON,hucs_gambia_mali::reason,chr,4,NA,NA,"., 1, 2, 3, 4, 5, 9",7,once,0.8631144,NA
15,rsn_specify,hucs_gambia_mali,discard,,,NA,NA,,,,NA,RSN_SPECIFY,hucs_gambia_mali::rsn_specify,chr,MIGRATED TO MALI. THE ORIGIN,NA,NA,>10 unique values,132,once,0.944698025,NA
16,relationship,hucs_gambia_mali,,,,Relationship with child,"1=""Mother"", 2=""Father"", 3=""Sister"", 5=Grandmother"", 6=""Grandfather"", 7=""Aunt"", 8=""Uncle"", 9=""No relation""",,,,.,RELATIONSHIP,hucs_gambia_mali::relationship,chr,1,NA,NA,"., 1, 10, 2, 3, 5, 6, 7, 8, 9",10,once,0.1368856,NA
17,relation_sp,hucs_gambia_mali,discard,,,NA,NA,,,,NA,RELATION_SP,hucs_gambia_mali::relation_sp,chr,CO WIFE,NA,NA,", CO WIFE, CO-WIFE DAUGHTER., COUSIN SISTER, GADMOTHER, NAMESAKE, STEP MOTHER, STEPMOTHER",7,once,0.999327343,NA
18,prim_schl,hucs_gambia_mali,,,,Primary caretaker education,"1=""No formal schooling"", 2=""Less than primary"", 3=""Completed secondary"", 4=""Post-secondary"", 5=""Completed primary"", 6=""Religious education only"", 7=""Don't know""",,,,.,PRIM_SCHL,hucs_gambia_mali::prim_schl,chr,1,NA,NA,"., 1, 2, 3, 4, 5, 6, 7",8,once,0.1368856,NA
19,ppl_house,hucs_gambia_mali,,,,NA,NA,,,,NA,PPL_HOUSE,hucs_gambia_mali::ppl_house,chr,20,NA,NA,>10 unique values,153,once,0.1368856,NA
20,natfl,hucs_gambia_mali,,,,Predominant floor natural,"1=""Earth/Sand"", 2=""Dung""",,,,.,NATFL,hucs_gambia_mali::natfl,chr,2,NA,NA,"., 1, 2",3,once,0.911305434,NA
21,rudfl,hucs_gambia_mali,discard,,,Predominant floor rudimentary,NA,,,,.,RUDFL,hucs_gambia_mali::rudfl,chr,NA,NA,NA,.,1,once,1,no data
22,finfl,hucs_gambia_mali,,,,Predominant floor finished,"2=""Vinyl or asphalt strips"", 3=""Ceramic tile"", 4=""Cement"", 5=""Carpet""",,,,.,FINFL,hucs_gambia_mali::finfl,chr,4,NA,NA,"., 2, 3, 4, 5",5,once,0.225484072,NA
23,othfl,hucs_gambia_mali,discard,,,"House floor, other","1=""Selected""",,,,.,OTHFL,hucs_gambia_mali::othfl,chr,1,NA,NA,"., 1",2,once,0.999951953,NA
24,floor_spec,hucs_gambia_mali,discard,,,NA,NA,,,,NA,FLOOR_SPEC,hucs_gambia_mali::floor_spec,chr,MAT,NA,NA,", MAT",1,once,0.999951953,NA
25,house_elec,hucs_gambia_mali,,,,Do you have electricity,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_ELEC,hucs_gambia_mali::house_elec,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
26,house_bike,hucs_gambia_mali,,,,Do you have a bicycle,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_BIKE,hucs_gambia_mali::house_bike,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
27,house_phone,hucs_gambia_mali,,,,Do you have a telephone,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_PHONE,hucs_gambia_mali::house_phone,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
28,house_tele,hucs_gambia_mali,,,,Do you have a television,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_TELE,hucs_gambia_mali::house_tele,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
29,house_car,hucs_gambia_mali,,,,Do you have a car,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_CAR,hucs_gambia_mali::house_car,chr,0,NA,NA,"., 0, 1",3,once,0.1368856,NA
30,house_cart,hucs_gambia_mali,,,,Do you have an animal-drawn cart,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_CART,hucs_gambia_mali::house_cart,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
31,house_scoot,hucs_gambia_mali,,,,Do you have a motorcycle,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_SCOOT,hucs_gambia_mali::house_scoot,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
32,house_fridge,hucs_gambia_mali,,,,Do you have a refrigerator,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_FRIDGE,hucs_gambia_mali::house_fridge,chr,0,NA,NA,"., 0, 1",3,once,0.1368856,NA
33,house_agland,hucs_gambia_mali,,,,Agricultural land,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_AGLAND,hucs_gambia_mali::house_agland,chr,0,NA,NA,"., 0, 1",3,once,0.1368856,NA
34,house_radio,hucs_gambia_mali,,,,Do you have a radio,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_RADIO,hucs_gambia_mali::house_radio,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
35,house_boat,hucs_gambia_mali,,,,Do you have a boat,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_BOAT,hucs_gambia_mali::house_boat,chr,0,NA,NA,"., 0, 1",3,once,0.1368856,NA
36,house_none,hucs_gambia_mali,,,,None of the above,"0=""Not selected"", 1=""Selected""",,,,.,HOUSE_NONE,hucs_gambia_mali::house_none,chr,0,NA,NA,"., 0, 1",3,once,0.1368856,NA
37,drink_breastmilk,hucs_gambia_mali,,,,Diet breast milk,"0=""No"", 1= ""Yes""",,,,.,DRINK_BREASTMILK,hucs_gambia_mali::drink_breastmilk,chr,1,NA,NA,"., 0, 1",3,once,0.1368856,NA
38,drink_water,hucs_gambia_mali,,,,Diet drinking water,"0=""No"", 1= ""Yes""",,,,.,DRINK_WATER,hucs_gambia_mali::drink_water,chr,0,NA,NA,"., 0, 1",3,once,0.1368856,NA
39,other_fooddrink,hucs_gambia_mali,,,,Other foods or drinks,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,OTHER_FOODDRINK,hucs_gambia_mali::other_fooddrink,chr,0,NA,NA,"., 0, 1, 9",4,once,0.1368856,NA
