colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
1,childid,hucs_gambia_mali,EUPATH_0000095,Participant ID,,Participant,Child ID,,,,,,,,CHILDID,hucs_gambia_mali::childid,int,1008000001,,,1008000001 to 2008011916,20813,0,NA
2,age,hucs_gambia_mali,EUPATH_0015400,Age (months),,Observation,Age in months,,,,,,,,AGE,hucs_gambia_mali::age,int,2,,,0 to 59,60,0,NA
3,gender,hucs_gambia_mali,PATO_0000047,Sex,,Participant,Gender,"1=Male, 2=Female",,,,,,,GENDER,hucs_gambia_mali::gender,int,1,,,1 to 2,2,0,NA
4,dob,hucs_gambia_mali,EFO_0004950,Birth date,,Participant,Date of birth,,,,,,,,DOB,hucs_gambia_mali::dob,chr,3/28/15,date,,>10 unique values,2595,0,NA
5,site,hucs_gambia_mali,OBI_0001627,Country,,Household,Site,"1 = The Gambia, 2 = Mali",,,,,,,SITE,hucs_gambia_mali::site,int,1,,,1 to 2,2,0,NA
7,mali_dss,hucs_gambia_mali,,,,,,,,,,,,,MALI_DSS,hucs_gambia_mali::mali_dss,dbl,1.30E+20,,,2.70001e+19 to 2.43005e+20,3189,0.47470331,NA
8,gambia_dss,hucs_gambia_mali,,,,,,,,,,,,,GAMBIA_DSS,hucs_gambia_mali::gambia_dss,dbl,8.00E+13,,,73007 to 8.40012e+13,1558,0.52529669,NA
9,dssid,hucs_gambia_mali,,,,,,,,,,,,,DSSID,hucs_gambia_mali::dssid,dbl,8.00E+13,,,73007 to 2.43005e+20,4747,0,NA
10,visit_date,hucs_gambia_mali,EUPATH_0015683,Interview date,,Observation,,,,,,,,,VISIT_DATE,hucs_gambia_mali::visit_date,chr,6/23/15,date,,>10 unique values,958,0,NA
11,primcare,hucs_gambia_mali,EUPATH_0000720,Caretaker relationship to participant,,Participant,Primary caretaker child,"0=No, 1=Yes",,,,,,,PRIMCARE,hucs_gambia_mali::primcare,int,1,,,0 to 1,2,0,NA
12,consent,hucs_gambia_mali,EUPATH_0010420,Consent for enrollment given,,Participant,Parent verbal consent,"0=No, 1=Yes",,,,,,,CONSENT,hucs_gambia_mali::consent,int,1,,,0 to 1,2,0,NA
13,status,hucs_gambia_mali,EUPATH_0015469,Interview status,,Participant,Interview status,"1=Conducted, 2=Not conducted",,,,,,,STATUS,hucs_gambia_mali::status,int,1,,,1 to 2,2,0,NA
16,relationship,hucs_gambia_mali,,,,Participant,Relationship with child,"1=""Mother"", 2=""Father"", 3=""Sister"", 5=Grandmother"", 6=""Grandfather"", 7=""Aunt"", 8=""Uncle"", 9=""No relation""",,,,,,,RELATIONSHIP,hucs_gambia_mali::relationship,chr,1,,,"., 1, 10, 2, 3, 5, 6, 7, 8, 9",10,0.1368856,NA
17,relation_sp,hucs_gambia_mali,,,,Participant,"Relationship with child, specify",,,,,,,,RELATION_SP,hucs_gambia_mali::relation_sp,chr,CO WIFE,,,", CO WIFE, CO-WIFE DAUGHTER., COUSIN SISTER, GADMOTHER, NAMESAKE, STEP MOTHER, STEPMOTHER",7,0.999327343,NA
18,prim_schl,hucs_gambia_mali,EUPATH_0010129,Primary caretaker's education level,,Participant,Primary caretaker education,"1=""No formal schooling"", 2=""Less than primary"", 3=""Completed secondary"", 4=""Post-secondary"", 5=""Completed primary"", 6=""Religious education only"", 7=""Don't know""",,,,,,,PRIM_SCHL,hucs_gambia_mali::prim_schl,chr,1,,,"., 1, 2, 3, 4, 5, 6, 7",8,0.1368856,NA
19,ppl_house,hucs_gambia_mali,EUPATH_0000019,Persons living in house,How many people have been living regularly in your household for the past 6 months?,Household,How many people have been living regularly in your household for the past 6 months?,,variable,EUPATH_0000304,Socioeconomic factors,,,,PPL_HOUSE,hucs_gambia_mali::ppl_house,chr,20,,,>10 unique values,153,0.1368856,NA
20,natfl,hucs_gambia_mali,EUPATH_0031052,Natural floor material,,Household,Predominant floor natural,"1=""Earth/Sand"", 2=""Dung""",variable,EUPATH_0000303,Dwelling characteristics,,,,NATFL,hucs_gambia_mali::natfl,chr,2,,,"., 1, 2",3,0.911305434,NA
22,finfl,hucs_gambia_mali,EUPATH_0031225,Finished floor,,Household,Predominant floor finished,"2=""Vinyl or asphalt strips"", 3=""Ceramic tile"", 4=""Cement"", 5=""Carpet""",multifilter,EUPATH_0000303,Dwelling characteristics,,,,FINFL,hucs_gambia_mali::finfl,chr,4,,,"., 2, 3, 4, 5",5,0.225484072,NA
23,othfl,hucs_gambia_mali,,,,Household,"House floor, other","1=""Selected""",,,,,,,OTHFL,hucs_gambia_mali::othfl,chr,1,,,"., 1",2,0.999951953,NA
24,floor_spec,hucs_gambia_mali,,,,Household,"House floor, other, specify",,,,,,,,FLOOR_SPEC,hucs_gambia_mali::floor_spec,chr,MAT,,,", MAT",1,0.999951953,NA
25,house_elec,hucs_gambia_mali,EUPATH_0021084,Electricity,,Household,Do you have electricity,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_ELEC,hucs_gambia_mali::house_elec,chr,1,,,"., 0, 1",3,0.1368856,NA
26,house_bike,hucs_gambia_mali,EUPATH_0015001,Bicycle,,Household,Do you have a bicycle,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_BIKE,hucs_gambia_mali::house_bike,chr,1,,,"., 0, 1",3,0.1368856,NA
27,house_phone,hucs_gambia_mali,ENVO_01000580,Telephone,,Household,Do you have a telephone,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_PHONE,hucs_gambia_mali::house_phone,chr,1,,,"., 0, 1",3,0.1368856,NA
28,house_tele,hucs_gambia_mali,ENVO_01000579,Television,,Household,Do you have a television,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_TELE,hucs_gambia_mali::house_tele,chr,1,,,"., 0, 1",3,0.1368856,NA
29,house_car,hucs_gambia_mali,EUPATH_0000171,Car,,Household,Do you have a car,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_CAR,hucs_gambia_mali::house_car,chr,0,,,"., 0, 1",3,0.1368856,NA
30,house_cart,hucs_gambia_mali,EUPATH_0000166,Animal-drawn cart,,Household,Do you have an animal-drawn cart,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_CART,hucs_gambia_mali::house_cart,chr,1,,,"., 0, 1",3,0.1368856,NA
31,house_scoot,hucs_gambia_mali,ENVO_01000615,Motorcycle or scooter,,Household,Do you have a motorcycle,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_SCOOT,hucs_gambia_mali::house_scoot,chr,1,,,"., 0, 1",3,0.1368856,NA
32,house_fridge,hucs_gambia_mali,ENVO_01000583,Refrigerator,,Household,Do you have a refrigerator,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_FRIDGE,hucs_gambia_mali::house_fridge,chr,0,,,"., 0, 1",3,0.1368856,NA
33,house_agland,hucs_gambia_mali,EUPATH_0015008,Agricultural land,,Household,Agricultural land,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_AGLAND,hucs_gambia_mali::house_agland,chr,0,,,"., 0, 1",3,0.1368856,NA
34,house_radio,hucs_gambia_mali,ENVO_01000577,Radio,,Household,Do you have a radio,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_RADIO,hucs_gambia_mali::house_radio,chr,1,,,"., 0, 1",3,0.1368856,NA
35,house_boat,hucs_gambia_mali,EUPATH_0000179,Boat,,Household,Do you have a boat,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_BOAT,hucs_gambia_mali::house_boat,chr,0,,,"., 0, 1",3,0.1368856,NA
36,house_none,hucs_gambia_mali,EUPATH_0015011,None of the above,,Household,None of the above,"0=""Not selected"", 1=""Selected""",multifilter,EUPATH_0000144,Assets,,,,HOUSE_NONE,hucs_gambia_mali::house_none,chr,0,,,"., 0, 1",3,0.1368856,NA
37,drink_breastmilk,hucs_gambia_mali,EUPATH_0031068,Breast milk,,Participant,Diet breast milk,"0=""No"", 1= ""Yes""",multifilter,FOODON_03412974,Liquids for consumption,,,,DRINK_BREASTMILK,hucs_gambia_mali::drink_breastmilk,chr,1,,,"., 0, 1",3,0.1368856,NA
38,drink_water,hucs_gambia_mali,EUPATH_0011671,Plain water,,Participant,Diet drinking water,"0=""No"", 1= ""Yes""",multifilter,FOODON_03412974,Liquids for consumption,,,,DRINK_WATER,hucs_gambia_mali::drink_water,chr,0,,,"., 0, 1",3,0.1368856,NA
39,other_fooddrink,hucs_gambia_mali,EUPATH_0031304,Other foods or drinks,,Participant,Other foods or drinks,"0=""No"", 1= ""Yes"", 9=""DK""",multifilter,FOODON_03412974,Liquids for consumption,,,,OTHER_FOODDRINK,hucs_gambia_mali::other_fooddrink,chr,0,,,"., 0, 1, 9",4,0.1368856,NA
40,diarrhea,hucs_gambia_mali,EUPATH_0035097,"Diarrhea case during the last 7 days, caregiver report",,Observation,Child had diarrhea in the last week,"0=""Diarrhea"", 1=""No diarrhea""",,,,,"Should probably be 0= no diarrhea, 1= diarrhea",,DIARRHEA,hucs_gambia_mali::diarrhea,chr,0,,,"., 0, 1",3,0.1368856,NA
41,drh_days,hucs_gambia_mali,EUPATH_0010238,Diarrheal episode duration (days),,Observation,How many days ago did the diarrhea start?,,,,,,,,DRH_DAYS,hucs_gambia_mali::drh_days,chr,5,,,>10 unique values,22,0.913707779,NA
42,drh_days_last,hucs_gambia_mali,EUPATH_0010238,Diarrheal episode duration (days),,Observation,How many days did the diarrhea last?,,,EUPATH_0010016,Diarrheal episodes,,,,DRH_DAYS_LAST,hucs_gambia_mali::drh_days_last,chr,3,,,>10 unique values,19,0.913707779,NA
43,max_stools,hucs_gambia_mali,EUPATH_0010240,Max loose stools at episode,,Observation,Loose stools in one day,"1=""3"", 2=""4 to 5"", 3=""6 to 10"", 4=""More than 10 times per day""",,EUPATH_0010016,Diarrheal episodes,,,,MAX_STOOLS,hucs_gambia_mali::max_stools,chr,2,,,"., 1, 2, 3, 4",5,0.913707779,NA
