variable	variable2	values	mappedTerm	
gender	hucs_kenya::gender	1	
gender	hucs_kenya::gender	2	
site	hucs_kenya::site	3	
primcare	hucs_kenya::primcare	0	
primcare	hucs_kenya::primcare	1	
consent	hucs_kenya::consent	0	
consent	hucs_kenya::consent	1	
status	hucs_kenya::status	1	
status	hucs_kenya::status	2	
reason	hucs_kenya::reason	.	
reason	hucs_kenya::reason	1	
reason	hucs_kenya::reason	2	
reason	hucs_kenya::reason	3	
reason	hucs_kenya::reason	4	
reason	hucs_kenya::reason	5	
reason	hucs_kenya::reason	9	
relationship	hucs_kenya::relationship	.	
relationship	hucs_kenya::relationship	1	
relationship	hucs_kenya::relationship	10	
relationship	hucs_kenya::relationship	2	
relationship	hucs_kenya::relationship	3	
relationship	hucs_kenya::relationship	4	
relationship	hucs_kenya::relationship	5	
relationship	hucs_kenya::relationship	6	
relationship	hucs_kenya::relationship	7	
relationship	hucs_kenya::relationship	8	
relationship	hucs_kenya::relationship	9	
prim_schl	hucs_kenya::prim_schl	.	
prim_schl	hucs_kenya::prim_schl	1	
prim_schl	hucs_kenya::prim_schl	2	
prim_schl	hucs_kenya::prim_schl	3	
prim_schl	hucs_kenya::prim_schl	4	
prim_schl	hucs_kenya::prim_schl	5	
prim_schl	hucs_kenya::prim_schl	6	
natfl	hucs_kenya::natfl	.	
natfl	hucs_kenya::natfl	1	
natfl	hucs_kenya::natfl	2	
rudfl	hucs_kenya::rudfl	.	
rudfl	hucs_kenya::rudfl	1	
rudfl	hucs_kenya::rudfl	2	
finfl	hucs_kenya::finfl	.	
finfl	hucs_kenya::finfl	1	
finfl	hucs_kenya::finfl	2	
finfl	hucs_kenya::finfl	3	
finfl	hucs_kenya::finfl	4	
finfl	hucs_kenya::finfl	5	
house_elec	hucs_kenya::house_elec	.	
house_elec	hucs_kenya::house_elec	0	
house_elec	hucs_kenya::house_elec	1	
house_bike	hucs_kenya::house_bike	.	
house_bike	hucs_kenya::house_bike	0	
house_bike	hucs_kenya::house_bike	1	
house_phone	hucs_kenya::house_phone	.	
house_phone	hucs_kenya::house_phone	0	
house_phone	hucs_kenya::house_phone	1	
house_tele	hucs_kenya::house_tele	.	
house_tele	hucs_kenya::house_tele	0	
house_tele	hucs_kenya::house_tele	1	
house_car	hucs_kenya::house_car	.	
house_car	hucs_kenya::house_car	0	
house_car	hucs_kenya::house_car	1	
house_cart	hucs_kenya::house_cart	.	
house_cart	hucs_kenya::house_cart	0	
house_scoot	hucs_kenya::house_scoot	.	
house_scoot	hucs_kenya::house_scoot	0	
house_scoot	hucs_kenya::house_scoot	1	
house_fridge	hucs_kenya::house_fridge	.	
house_fridge	hucs_kenya::house_fridge	0	
house_fridge	hucs_kenya::house_fridge	1	
house_agland	hucs_kenya::house_agland	.	
house_agland	hucs_kenya::house_agland	0	
house_radio	hucs_kenya::house_radio	.	
house_radio	hucs_kenya::house_radio	0	
house_radio	hucs_kenya::house_radio	1	
house_boat	hucs_kenya::house_boat	.	
house_boat	hucs_kenya::house_boat	0	
house_boat	hucs_kenya::house_boat	1	
house_none	hucs_kenya::house_none	.	
house_none	hucs_kenya::house_none	0	
house_none	hucs_kenya::house_none	1	
drink_breastmilk	hucs_kenya::drink_breastmilk	.	
drink_breastmilk	hucs_kenya::drink_breastmilk	0	
drink_breastmilk	hucs_kenya::drink_breastmilk	1	
drink_breastmilk	hucs_kenya::drink_breastmilk	9	
drink_water	hucs_kenya::drink_water	.	
drink_water	hucs_kenya::drink_water	0	
drink_water	hucs_kenya::drink_water	1	
drink_water	hucs_kenya::drink_water	9	
other_fooddrink	hucs_kenya::other_fooddrink	.	
other_fooddrink	hucs_kenya::other_fooddrink	0	
other_fooddrink	hucs_kenya::other_fooddrink	1	
other_fooddrink	hucs_kenya::other_fooddrink	9	
diarrhea	hucs_kenya::diarrhea	.	
diarrhea	hucs_kenya::diarrhea	0	
diarrhea	hucs_kenya::diarrhea	1	
max_stools	hucs_kenya::max_stools	.	
max_stools	hucs_kenya::max_stools	1	
max_stools	hucs_kenya::max_stools	2	
max_stools	hucs_kenya::max_stools	3	
max_stools	hucs_kenya::max_stools	4	
drh_fever	hucs_kenya::drh_fever	.	
drh_fever	hucs_kenya::drh_fever	0	
drh_fever	hucs_kenya::drh_fever	1	
drh_blood	hucs_kenya::drh_blood	.	
drh_blood	hucs_kenya::drh_blood	0	
drh_blood	hucs_kenya::drh_blood	1	
drh_blood	hucs_kenya::drh_blood	9	
drh_irritable	hucs_kenya::drh_irritable	.	
drh_irritable	hucs_kenya::drh_irritable	0	
drh_irritable	hucs_kenya::drh_irritable	1	
drh_irritable	hucs_kenya::drh_irritable	9	
drh_thirsty	hucs_kenya::drh_thirsty	.	
drh_thirsty	hucs_kenya::drh_thirsty	0	
drh_thirsty	hucs_kenya::drh_thirsty	1	
drh_thirsty	hucs_kenya::drh_thirsty	9	
drh_drink	hucs_kenya::drh_drink	.	
drh_drink	hucs_kenya::drh_drink	0	
drh_drink	hucs_kenya::drh_drink	1	
drh_drink	hucs_kenya::drh_drink	9	
drh_rice	hucs_kenya::drh_rice	.	
drh_rice	hucs_kenya::drh_rice	0	
drh_rice	hucs_kenya::drh_rice	1	
drh_rice	hucs_kenya::drh_rice	9	
drh_lethrgy	hucs_kenya::drh_lethrgy	.	
drh_lethrgy	hucs_kenya::drh_lethrgy	0	
drh_lethrgy	hucs_kenya::drh_lethrgy	1	
drh_lethrgy	hucs_kenya::drh_lethrgy	9	
drh_sunkeyes	hucs_kenya::drh_sunkeyes	.	
drh_sunkeyes	hucs_kenya::drh_sunkeyes	0	
drh_sunkeyes	hucs_kenya::drh_sunkeyes	1	
drh_sunkeyes	hucs_kenya::drh_sunkeyes	9	
drh_wrksk	hucs_kenya::drh_wrksk	.	
drh_wrksk	hucs_kenya::drh_wrksk	0	
drh_wrksk	hucs_kenya::drh_wrksk	1	
drh_wrksk	hucs_kenya::drh_wrksk	9	
vomit	hucs_kenya::vomit	.	
vomit	hucs_kenya::vomit	0	
vomit	hucs_kenya::vomit	1	
vomit_times	hucs_kenya::vomit_times	.	
vomit_times	hucs_kenya::vomit_times	1	
vomit_times	hucs_kenya::vomit_times	2	
vomit_times	hucs_kenya::vomit_times	3	
outcome	hucs_kenya::outcome	.	
outcome	hucs_kenya::outcome	1	
outcome	hucs_kenya::outcome	2	
outcome	hucs_kenya::outcome	3	
outcome	hucs_kenya::outcome	4	
outcome	hucs_kenya::outcome	5	
offr_drink	hucs_kenya::offr_drink	.	
offr_drink	hucs_kenya::offr_drink	1	
offr_drink	hucs_kenya::offr_drink	2	
offr_drink	hucs_kenya::offr_drink	3	
offr_drink	hucs_kenya::offr_drink	5	
offr_eat	hucs_kenya::offr_eat	.	
offr_eat	hucs_kenya::offr_eat	1	
offr_eat	hucs_kenya::offr_eat	2	
offr_eat	hucs_kenya::offr_eat	3	
offr_eat	hucs_kenya::offr_eat	4	
seekcare	hucs_kenya::seekcare	.	
seekcare	hucs_kenya::seekcare	0	
seekcare	hucs_kenya::seekcare	1	
seek_friend	hucs_kenya::seek_friend	.	
seek_friend	hucs_kenya::seek_friend	0	
seek_friend	hucs_kenya::seek_friend	1	
seek_healer	hucs_kenya::seek_healer	.	
seek_healer	hucs_kenya::seek_healer	0	
seek_healer	hucs_kenya::seek_healer	1	
seek_ctr1	hucs_kenya::seek_ctr1	.	
seek_ctr1	hucs_kenya::seek_ctr1	0	
seek_ctr1	hucs_kenya::seek_ctr1	1	
seek_ctr2	hucs_kenya::seek_ctr2	.	
seek_ctr2	hucs_kenya::seek_ctr2	0	
seek_ctr2	hucs_kenya::seek_ctr2	1	
seek_ctr3	hucs_kenya::seek_ctr3	.	
seek_ctr3	hucs_kenya::seek_ctr3	0	
seek_ctr3	hucs_kenya::seek_ctr3	1	
seek_remedy	hucs_kenya::seek_remedy	.	
seek_remedy	hucs_kenya::seek_remedy	0	
seek_remedy	hucs_kenya::seek_remedy	1	
seek_pharmacy	hucs_kenya::seek_pharmacy	.	
seek_pharmacy	hucs_kenya::seek_pharmacy	0	
seek_pharmacy	hucs_kenya::seek_pharmacy	1	
seek_doctor	hucs_kenya::seek_doctor	.	
seek_doctor	hucs_kenya::seek_doctor	0	
seek_doctor	hucs_kenya::seek_doctor	1	
seek_unlicdoc	hucs_kenya::seek_unlicdoc	.	
seek_unlicdoc	hucs_kenya::seek_unlicdoc	0	
seek_unlicdoc	hucs_kenya::seek_unlicdoc	1	
seek_other	hucs_kenya::seek_other	.	
seek_other	hucs_kenya::seek_other	0	
seek_other	hucs_kenya::seek_other	1	
hosp_advise	hucs_kenya::hosp_advise	.	
hosp_advise	hucs_kenya::hosp_advise	0	
hosp_advise	hucs_kenya::hosp_advise	1	
admit	hucs_kenya::admit	.	
admit	hucs_kenya::admit	0	
admit	hucs_kenya::admit	1	
recommend_iv	hucs_kenya::recommend_iv	.	
recommend_iv	hucs_kenya::recommend_iv	0	
recommend_iv	hucs_kenya::recommend_iv	1	
rec_ivfluid	hucs_kenya::rec_ivfluid	.	
rec_ivfluid	hucs_kenya::rec_ivfluid	0	
rec_ivfluid	hucs_kenya::rec_ivfluid	1	
rec_homemade	hucs_kenya::rec_homemade	.	
rec_homemade	hucs_kenya::rec_homemade	0	
rec_homemade	hucs_kenya::rec_homemade	1	
rec_ors	hucs_kenya::rec_ors	.	
rec_ors	hucs_kenya::rec_ors	0	
rec_ors	hucs_kenya::rec_ors	1	
rec_ors	hucs_kenya::rec_ors	2	
rec_ors	hucs_kenya::rec_ors	3	
rec_zinc	hucs_kenya::rec_zinc	.	
rec_zinc	hucs_kenya::rec_zinc	0	
no_treatment	hucs_kenya::no_treatment	.	
no_treatment	hucs_kenya::no_treatment	0	
no_treatment	hucs_kenya::no_treatment	1	
dpt1	hucs_kenya::dpt1	.	
dpt1	hucs_kenya::dpt1	0	
dpt1	hucs_kenya::dpt1	1	
dpt1	hucs_kenya::dpt1	9	
dpt2	hucs_kenya::dpt2	.	
dpt2	hucs_kenya::dpt2	0	
dpt2	hucs_kenya::dpt2	1	
dpt2	hucs_kenya::dpt2	9	
dpt3	hucs_kenya::dpt3	.	
dpt3	hucs_kenya::dpt3	0	
dpt3	hucs_kenya::dpt3	1	
dpt3	hucs_kenya::dpt3	9	
rot1	hucs_kenya::rot1	.	
rot1	hucs_kenya::rot1	0	
rot1	hucs_kenya::rot1	1	
rot1	hucs_kenya::rot1	9	
rot2	hucs_kenya::rot2	.	
rot2	hucs_kenya::rot2	0	
rot2	hucs_kenya::rot2	1	
rot2	hucs_kenya::rot2	9	
opv1	hucs_kenya::opv1	.	
opv1	hucs_kenya::opv1	0	
opv1	hucs_kenya::opv1	1	
opv1	hucs_kenya::opv1	9	
opv2	hucs_kenya::opv2	.	
opv2	hucs_kenya::opv2	0	
opv2	hucs_kenya::opv2	1	
opv2	hucs_kenya::opv2	9	
opv3	hucs_kenya::opv3	.	
opv3	hucs_kenya::opv3	0	
opv3	hucs_kenya::opv3	1	
opv3	hucs_kenya::opv3	9	
agegroup	hucs_kenya::agegroup	1	
agegroup	hucs_kenya::agegroup	2	
agegroup	hucs_kenya::agegroup	3	
round	hucs_kenya::round	.	
round	hucs_kenya::round	1	
round	hucs_kenya::round	2	
round	hucs_kenya::round	3	
round	hucs_kenya::round	4	
round	hucs_kenya::round	5	
round	hucs_kenya::round	6	
vax_card	hucs_kenya::vax_card	.	
vax_card	hucs_kenya::vax_card	0	
vax_card	hucs_kenya::vax_card	1	
vax_card	hucs_kenya::vax_card	2	
