colOrder,overallOrder,displayOrder,variable,dataFile,category,IRI,label,definition,termType,parentIRI,parentLabel,codebookDescription,codebookValues
53,3,,enrol_dh::asset_bike,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Households have bicycle,0 to 1
50,4,,enrol_dh::asset_tvbw,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0022011,Black and white television,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Households have B/W television,0 to 1
60,5,,enrol_dh::asset_chair,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000586,Chair,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has >=1 chair,0 to 1
63,1,,enrol_dh::asset_chouki,enrol_dh,Household,,Chouki (traditional wooden bed),,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has >=1 chouki (bed),0 to 1
61,6,,enrol_dh::asset_clock,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has >=1 clock,0 to 1
51,7,,enrol_dh::asset_tvcol,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0022012,Color television,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Households have color television,0 to 1
58,8,,enrol_dh::asset_wardrobe,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000595,Cupboard,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has >=1 wardrobe,0 to 1
48,9,,enrol_dh::elec,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household has electricity,0 to 1
62,2,,enrol_dh::asset_khat,enrol_dh,Household,,Khat (traditional wooden table),,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has >=1 khat,0 to 1
56,10,,enrol_dh::asset_phone,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000582,Landline phone,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Number of land phone,0 to 9
64,11,,enrol_dh::asset_mobile,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has >=1 mobile,0 to 1
54,12,,enrol_dh::asset_moto,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Households have motorcycle,0 to 1
49,13,,enrol_dh::asset_radio,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Households have radio,0 to 1
52,14,,enrol_dh::asset_refrig,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Households have Refrigerator,0 to 1
55,15,,enrol_dh::asset_sewmach,enrol_dh,Household,,Sewing machine,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Households have sewing machine,0 to 1
59,16,,enrol_dh::asset_table,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000584,Table,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has >=1 table,0 to 1
57,17,,enrol_dh::asset_tv,enrol_dh,Household,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Has bw or color TV,0 to 1
