IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,WOMAN,,,,,yes,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,WOMAN_Trial_dataset_anonymised::countrycode,,WOMAN_Trial_dataset_anonymised,Country of randomization,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,country of randomisation,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,WOMAN,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049148,Eligible for WOMAN trial,WOMAN_Trial_dataset_anonymised::fullyeligible,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,patient eligible for trial,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,WOMAN_Trial_dataset_anonymised::babybreastfed2 | WOMAN_Trial_dataset_anonymised::babybreastfed4 | WOMAN_Trial_dataset_anonymised::babybreastfed1 | WOMAN_Trial_dataset_anonymised::babybreastfed5 | WOMAN_Trial_dataset_anonymised::babybreastfed3,,WOMAN_Trial_dataset_anonymised,Baby was breastfed any time after randomization,Participant,http://purl.obolibrary.org/obo/EUPATH_0011690,Breastfeeding summary,Was baby breastfed any time after randomisation (Baby number in order of delivery) | Was baby considered healthy at outcome (Baby number in order of delivery),,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049138,Infant confirmed thromboembolic event,WOMAN_Trial_dataset_anonymised::babythromboembolic4 | WOMAN_Trial_dataset_anonymised::babythromboembolic2 | WOMAN_Trial_dataset_anonymised::babythromboembolic3 | WOMAN_Trial_dataset_anonymised::babythromboembolic1 | WOMAN_Trial_dataset_anonymised::babythromboembolic5,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0049156,Child immediate clinical history,Had baby had any confirmed thromboembolic event (Baby number in order of delivery),,variable,yes,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049139,Baby was alive at outcome,WOMAN_Trial_dataset_anonymised::babyalive4 | WOMAN_Trial_dataset_anonymised::babyalive5 | WOMAN_Trial_dataset_anonymised::babyalive2 | WOMAN_Trial_dataset_anonymised::babyalive3 | WOMAN_Trial_dataset_anonymised::babyalive1,,WOMAN_Trial_dataset_anonymised,Baby was alive at outcome (Baby number in order of delivery),Participant,http://purl.obolibrary.org/obo/EUPATH_0042289,Child physical exam,Was baby alive at outcome (Baby number in order of delivery),,variable,yes,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049157,Child healthy,WOMAN_Trial_dataset_anonymised::babyhealthy5 | WOMAN_Trial_dataset_anonymised::babyhealthy3 | WOMAN_Trial_dataset_anonymised::babyhealthy4 | WOMAN_Trial_dataset_anonymised::babyhealthy2 | WOMAN_Trial_dataset_anonymised::babyhealthy1,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042289,Child physical exam,Was baby considered healthy at outcome (Baby number in order of delivery),,variable,yes,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020001,Cause of death,WOMAN_Trial_dataset_anonymised::causedeath,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,cause of death,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049145,Meddra code for cause of death,WOMAN_Trial_dataset_anonymised::causedeathothermeddra,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,meddra code for other cause of death,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049120,Primary cause of hemorrhage,WOMAN_Trial_dataset_anonymised::primarycausehaem,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/HP_0001787,Delivery complications,primary cause of haemorrhage,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0038002,Delivered at study hospital,WOMAN_Trial_dataset_anonymised::deliveryinhospital,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,patient gave birth at randomising hospital,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0011690,Breastfeeding summary,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,,,category,,,,WOMAN,,,,,,,,,
