variable	variable2	values	mappedTerm
woman_trial_dataset_anonymised::anxietydepression	woman_trial_dataset_anonymised::anxietydepression	0	Not anxious or depressed
woman_trial_dataset_anonymised::anxietydepression	woman_trial_dataset_anonymised::anxietydepression	1	Moderately anxious or depressed
woman_trial_dataset_anonymised::anxietydepression	woman_trial_dataset_anonymised::anxietydepression	2	Extremely anxious or depressed
woman_trial_dataset_anonymised::arteryligation	woman_trial_dataset_anonymised::arteryligation	0	No
woman_trial_dataset_anonymised::arteryligation	woman_trial_dataset_anonymised::arteryligation	1	Yes
woman_trial_dataset_anonymised::babybreastfed1	woman_trial_dataset_anonymised::babybreastfed1	0	No
woman_trial_dataset_anonymised::babybreastfed1	woman_trial_dataset_anonymised::babybreastfed1	1	Yes
woman_trial_dataset_anonymised::babybreastfed2	woman_trial_dataset_anonymised::babybreastfed2	0	No
woman_trial_dataset_anonymised::babybreastfed2	woman_trial_dataset_anonymised::babybreastfed2	1	Yes
woman_trial_dataset_anonymised::babybreastfed3	woman_trial_dataset_anonymised::babybreastfed3	0	No
woman_trial_dataset_anonymised::babybreastfed3	woman_trial_dataset_anonymised::babybreastfed3	1	Yes
woman_trial_dataset_anonymised::babybreastfed4	woman_trial_dataset_anonymised::babybreastfed4	0	No
woman_trial_dataset_anonymised::babybreastfed4	woman_trial_dataset_anonymised::babybreastfed4	1	Yes
woman_trial_dataset_anonymised::babybreastfed5	woman_trial_dataset_anonymised::babybreastfed5	0	No
woman_trial_dataset_anonymised::babybreastfed5	woman_trial_dataset_anonymised::babybreastfed5	1	Yes
woman_trial_dataset_anonymised::babyhealthy1	woman_trial_dataset_anonymised::babyhealthy1	0	No
woman_trial_dataset_anonymised::babyhealthy1	woman_trial_dataset_anonymised::babyhealthy1	1	Yes
woman_trial_dataset_anonymised::babyhealthy2	woman_trial_dataset_anonymised::babyhealthy2	0	No
woman_trial_dataset_anonymised::babyhealthy2	woman_trial_dataset_anonymised::babyhealthy2	1	Yes
woman_trial_dataset_anonymised::babyhealthy3	woman_trial_dataset_anonymised::babyhealthy3	0	No
