IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0036012,Maternal anthropometry,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,,,Community,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,yes,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,1,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,tr::tr,1,tr,"The actual randomized, blinded intervention assigned to the cluster. The passive control arm enabled measurement of the effect of regular promoter visits in the active control arm.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Randomized treatment assignment,"1. Control,
2. Water,
3. Sanitation,
4. Handwashing,
5. WSH,
6. Nutrition,
7. Nutrition + WSH,
8. Passive Control",variable,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,uptake_0::clusterid,2,uptake_0,"Clusters were the unit of randomization, and each consisted of 1 or more administrative villages. Two or more neighboring may have been combined to create 1 cluster as long as the cluster of villages had at least 8 eligible pregnant women and shared a border.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Cluster ID,,variable,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,tr::block,3,tr,"Each randomization block was made up of 9 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 8 intervention arms, including 2 clusters randomly allocated to the active control arm.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Randomization block,,variable,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,yes,,,,,
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,yes,,,,
http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,enrol::bicycle,1,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000579,Television,enrol::tv,10,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No TV,
1. Owns TV,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,enrol::car,2,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No car,
1. Has car,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000596,Clock,enrol::clock,3,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No clock,
1. Has clock,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,enrol::elec,4,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No electricity,
1. Has electricity,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0037014,Gas cooker or stove,enrol::cooker,5,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,enrol::mobilephone,6,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,enrol::motorcycle,7,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000577,Radio,enrol::radio,8,enrol,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No radio,
1. Has radio,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0037021,Portable solid fuel stove,enrol::stove,9,enrol,"Whether the household had a jiko, a portable stove that burns solid fuels (charcoal, biomass, wood).",Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,"0. No stove,
1. Has stove,
9. Missing/DK",value,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0037011,Chlorine detected in stored drinking water,uptake_0::chlorine | uptake_1::chlorine | uptake_2::chlorine,1,uptake_0 | uptake_1 | uptake_2,"Whether the household's stored drinking water had detectable free chlorine. Assessed at enrollment (year 0, pre-intervention baseline), 1 year after intervention initiation (midline) and 2 years after intervention initiation (endline).",Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,,,variable,yes,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,enrol::floor,1,enrol,"Observed main floor material of the dwelling. Assessed for the household at enrollment (year 0, pre-intervention baseline).",Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,"0. Earth/dung,
1. Concrete,
9. Missing/DK | 0. Earth/dung,
1. Cement/concrete,
9. Missing/DK",variable,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,enrol::roof,2,enrol,"Observed main roof material of the dwelling. Assessed for the household at enrollment (year 0, pre-intervention baseline).",Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",variable,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025167,Wall material type,enrol::walls,3,enrol,"Observed main wall material of the dwelling. Assessed for the household at enrollment (year 0, pre-intervention baseline).",Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,"0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK",variable,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0037009,Promoter visit,uptake_1::promoter | uptake_0::promoter | uptake_2::promoter,1,uptake_0 | uptake_1 | uptake_2,"Whether the household was visited by a local health promoter in the past month to encourage the family to adopt the new behaviors. Assessed at enrollment (year 0, pre-intervention baseline), 1 year after intervention initiation (midline) and 2 years after intervention initiation (endline).",Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,variable,yes,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,1,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,category,,,,WASH Benefits Kenya Cluster Randomized Trial,,,,,,,,,
