variable,label,category,termType,IRI,parentLabel,parentIRI,definition,codebookDescription,codebookValues,displayOrder,replaces,dataSet,dataFile
,Community administrative information,Community,category,http://purl.obolibrary.org/obo/EUPATH_0035125,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,,,NA,,,WASH-b Kenya,
tr::block,Randomization block,Community,variable,http://purl.obolibrary.org/obo/EUPATH_0035026,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,"Each randomization block was made up of 9 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 7 intervention arms, including 2 clusters randomly allocated to the control arm.",Randomization block,,,,WASH-b Kenya,tr
tr::clusterid,Cluster ID,Community,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,The unit of randomization. A cluster consisted of 1 or more administrative villages. Two or more neighboring villages may be combined to create 1 cluster as long as the cluster of villages had at least 8 eligible pregnant women and shared a border.,Cluster ID,,,,WASH-b Kenya,tr
tr::tr,Cluster study arm,Community,variable,http://purl.obolibrary.org/obo/EUPATH_0044124,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,"The actual randomized, blinded intervention assigned to the cluster.",Randomized treatment assignment,"1. Control,
2. Water,
3. Sanitation,
4. Handwashing,
5. WSH,
6. Nutrition,
7. Nutrition + WSH,
8. Passive Control",,,WASH-b Kenya,tr
,Community,Community,category,http://purl.obolibrary.org/obo/EUPATH_0035127,,http://www.w3.org/2002/07/owl#Thing,,,NA,,,WASH-b Kenya,
anthro_1::bicycle,Bicycle,Household,value,http://purl.obolibrary.org/obo/ENVO_01000614,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::bicycle,Bicycle,Household,value,http://purl.obolibrary.org/obo/ENVO_01000614,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::bicycle,Bicycle,Household,value,http://purl.obolibrary.org/obo/ENVO_01000614,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::car,Car or truck,Household,value,http://purl.obolibrary.org/obo/EUPATH_0000171,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No car,
1. Has car,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::car,Car or truck,Household,value,http://purl.obolibrary.org/obo/EUPATH_0000171,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No car,
1. Has car,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::car,Car or truck,Household,value,http://purl.obolibrary.org/obo/EUPATH_0000171,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No car,
1. Has car,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::clock,Clock,Household,value,http://purl.obolibrary.org/obo/ENVO_01000596,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No clock,
1. Has clock,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::clock,Clock,Household,value,http://purl.obolibrary.org/obo/ENVO_01000596,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No clock,
1. Has clock,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::clock,Clock,Household,value,http://purl.obolibrary.org/obo/ENVO_01000596,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No clock,
1. Has clock,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::cooker,Gas range,Household,value,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::cooker,Gas range,Household,value,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::cooker,Gas range,Household,value,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::elec,Electricity,Household,value,http://purl.obolibrary.org/obo/EUPATH_0021084,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No electricity,
1. Has electricity,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::elec,Electricity,Household,value,http://purl.obolibrary.org/obo/EUPATH_0021084,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No electricity,
1. Has electricity,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::elec,Electricity,Household,value,http://purl.obolibrary.org/obo/EUPATH_0021084,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No electricity,
1. Has electricity,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::mobilephone,Mobile phone,Household,value,http://purl.obolibrary.org/obo/ENVO_01000581,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::mobilephone,Mobile phone,Household,value,http://purl.obolibrary.org/obo/ENVO_01000581,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::mobilephone,Mobile phone,Household,value,http://purl.obolibrary.org/obo/ENVO_01000581,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::motorcycle,Motorcycle or scooter,Household,value,http://purl.obolibrary.org/obo/ENVO_01000615,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::motorcycle,Motorcycle or scooter,Household,value,http://purl.obolibrary.org/obo/ENVO_01000615,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::motorcycle,Motorcycle or scooter,Household,value,http://purl.obolibrary.org/obo/ENVO_01000615,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::radio,Radio,Household,value,http://purl.obolibrary.org/obo/ENVO_01000577,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No radio,
1. Has radio,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::radio,Radio,Household,value,http://purl.obolibrary.org/obo/ENVO_01000577,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No radio,
1. Has radio,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::radio,Radio,Household,value,http://purl.obolibrary.org/obo/ENVO_01000577,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No radio,
1. Has radio,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::stove,Stove,Household,value,http://purl.obolibrary.org/obo/EUPATH_0037002,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No stove,
1. Has stove,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::stove,Stove,Household,value,http://purl.obolibrary.org/obo/EUPATH_0037002,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No stove,
1. Has stove,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::stove,Stove,Household,value,http://purl.obolibrary.org/obo/EUPATH_0037002,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No stove,
1. Has stove,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::tv,Television,Household,value,http://purl.obolibrary.org/obo/ENVO_01000579,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No TV,
1. Owns TV,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::tv,Television,Household,value,http://purl.obolibrary.org/obo/ENVO_01000579,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No TV,
1. Owns TV,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::tv,Television,Household,value,http://purl.obolibrary.org/obo/ENVO_01000579,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,"0. No TV,
1. Owns TV,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::floor,Floor material,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0000006,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Earth/dung,
1. Cement/concrete,
9. Missing/DK",,,WASH-b Kenya,anthro_1
