colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,,,,,,variable,,,
15,,,bruise-public::aged,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Observation,,,,,variable,,,
17,,,diar-public::aged,diar-public,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Observation,,,,,variable,,,
17,,,endline-anthro-public::aged,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Observation,,,,,variable,,,
17,,,midline-anthro-public::aged,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Observation,,,,,variable,,,
16,,,bruise-public::agem,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Observation,,,,,variable,,,
18,,,diar-public::agem,diar-public,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Observation,,,,,variable,,,
18,,,endline-anthro-public::agem,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Observation,,,,,variable,,,
18,,,midline-anthro-public::agem,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Observation,,,,,variable,,,
17,,,bruise-public::agey,bruise-public,,Age (years),,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,
19,,,diar-public::agey,diar-public, ,Age (years),,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,
19,,,endline-anthro-public::agey,endline-anthro-public,,Age (years),,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,
19,,,midline-anthro-public::agey,midline-anthro-public,,Age (years),,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,,,
8,,,tracking-public::attritioncase_el,tracking-public,,Attrition migrantion household at endline,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,Attrition migrantion household at endline,"1. YES,2. NO",variable,,,
37,,,diar-public::bicycle,diar-public,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,,,,"0. No bicycle,1. Has bicycle,9. Missing/DK",value,,,
49,,,endline-anthro-public::bicycle,endline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,,,,"0. No bicycle,1. Has bicycle,9. Missing/DK",value,,,
