file,category,id
anthro_1,community,compoundid
anthro_2,community,compoundid
bruise,community,compoundid
diar,community,compoundid
enrol,community,compoundid
mortality,community,compoundid
tr,community,compoundid
uptake_0,community,compoundid
uptake_1,community,compoundid
uptake_2,community,compoundid
enrol,hhObs,hhid+time
uptake_0,hhObs,hhid+time
uptake_1,hhObs,hhid+time
uptake_2,hhObs,hhid+time
anthro_1,household,hhid
anthro_2,household,hhid
bruise,household,hhid
diar,household,hhid
enrol,household,hhid
mortality,household,hhid
uptake_0,household,hhid
uptake_1,household,hhid
uptake_2,household,hhid
anthro_1,participant,childid
anthro_2,participant,childid
bruise,participant,childid
diar,participant,childid
mortality,participant,childid
anthro_1,observation,childid+time
anthro_2,observation,childid+time
bruise,observation,childid+time
diar,observation,childid+time
