IRI,variable,dataFile,label,displayOrder,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/OBI_0001169,avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.ageinmonths,avenir census and treatment data clinepi round 1,Age,,Child's age in months,Participant,,,variable,Child's age in months,,,yes,,,avenir_rct,,,yes,,,,,,
http://purl.obolibrary.org/obo/OBI_0001169,avenir census and treatment data clinepi round 2::ageinmonths,avenir census and treatment data clinepi round 2,Age,,Child's age in months,Participant,,,variable,Child's age in months,,,yes,,,avenir_rct,,,yes,,,,,,
http://purl.obolibrary.org/obo/OBI_0001169,avenir census and treatment data clinepi round 3::ageinmonths,avenir census and treatment data clinepi round 3,Age,,Child's age in months,Participant,,,variable,Child's age in months,,,yes,,,avenir_rct,months,http://purl.obolibrary.org/obo/UO_0000035,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050529,avenir population level data clinepi round 1::agerange.reg,avenir population level data clinepi round 1,Age range,,Age Range from Registration form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,Age Range from Registration form,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050520,avenir population level data clinepi round 1::dietlist.animal_protein,avenir population level data clinepi round 1,"Animal protein such as meat, poultry, fish",,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,value,,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050504,avenir population level data clinepi round 1::antibiotic_name,avenir population level data clinepi round 1,Antibiotic,,What was the name of the antibiotic?,Participant,http://purl.obolibrary.org/obo/OBI_0003057,Antibiotic administration,variable,What was the name of the antibiotic?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050579,avenir population level data clinepi round 1::antibiotic_source,avenir population level data clinepi round 1,Antibiotic obtained,,Where was the antibiotic obtained?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,variable,Where was the antibiotic obtained?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050580,avenir population level data clinepi round 1::antibiotic_source_other,avenir population level data clinepi round 1,Antibiotic source specified,,Where else was the antibiotic obtained?,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,variable,Where else was the antibiotic obtained?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050578,avenir population level data clinepi round 1::antibiotics,avenir population level data clinepi round 1,Antibiotics received in the past 2 weeks,,"In the past 2 weeks, did your child received any antibiotics?",Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,variable,"In the past 2 weeks, did your child received any antibiotics?",,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0036100,avenir population level data clinepi round 1::card_bcg,avenir population level data clinepi round 1,Bacille Calmette-Guerin (BCG) vaccine,,BCG vaccination (on vaccination card),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,BCG vaccination (on vaccination card),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050596,avenir population level data clinepi round 1::vaccinationlist.nocard_bcg,avenir population level data clinepi round 1,"Bacille Calmette-Guerin (BCG) vaccine, undocumented",,BCG vaccination (through word of mouth),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,BCG vaccination (through word of mouth),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0011048,avenir population level data clinepi round 1::breastfeeding,avenir population level data clinepi round 1,Breastfeeding status,,Is your child currently breastfeeding?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,variable,Is your child currently breastfeeding?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002793,avenir population level data clinepi round 1::breathing_problem,avenir population level data clinepi round 1,Breathing issues,,"Has the child had fast, short, rapid breaths or difficulty breathing at any time in the last 2 weeks?",Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,variable,"Has the child had fast, short, rapid breaths or difficulty breathing at any time in the last 2 weeks?",,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050599,avenir census and treatment data clinepi round 1::form.childpresent,avenir census and treatment data clinepi round 1,Child present,,Is the child home?,Participant,,,variable,Is the child home?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050599,avenir census and treatment data clinepi round 2::form.childpresent,avenir census and treatment data clinepi round 2,Child present,,Is the child home?,Participant,,,variable,Is the child home?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050599,avenir census and treatment data clinepi round 3::form.childpresent,avenir census and treatment data clinepi round 3,Child present,,Is the child home?,Participant,,,variable,Is the child home?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050540,avenir population level data clinepi round 1::consent,avenir population level data clinepi round 1,Consent for examination,,Consent for child's participation in the examination,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,variable,Consent for child's participation in the examination,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049240,avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.treatmentconsent,avenir census and treatment data clinepi round 1,Consent for treatment,,Does the guardian consent to treat the child?,Participant,,,variable,Does the guardian consent to treat the child?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049240,avenir census and treatment data clinepi round 2::treatmentconsent,avenir census and treatment data clinepi round 2,Consent for treatment,,Does the guardian consent to treat the child?,Participant,,,variable,Does the guardian consent to treat the child?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049240,avenir census and treatment data clinepi round 3::treatmentconsent,avenir census and treatment data clinepi round 3,Consent for treatment,,Does the guardian consent to treat the child?,Participant,,,variable,Does the guardian consent to treat the child?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/SYMP_0000614,avenir population level data clinepi round 1::cough,avenir population level data clinepi round 1,Cough,,Has the child had an illness with a cough at any time in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,variable,Has the child had an illness with a cough at any time in the last 2 weeks?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002014,avenir population level data clinepi round 1::diarrhea,avenir population level data clinepi round 1,Diarrhea,,Has the child had diarrhea in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,variable,Has the child had diarrhea in the last 2 weeks?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050597,avenir population level data clinepi round 1::vaccinationlist.nocard_dpt,avenir population level data clinepi round 1,"Diphtheria, pertussis, and tetanus (DPT) vaccine, undocumented",,DTP (DTCOQ) vaccination (through word of mouth),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,DTP (DTCOQ) vaccination (through word of mouth),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0031211,avenir population level data clinepi round 1::card_dpt1,avenir population level data clinepi round 1,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent",,DTP 1 vaccination (on vaccination card),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,DTP 1 vaccination (on vaccination card),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0031212,avenir population level data clinepi round 1::card_dpt2,avenir population level data clinepi round 1,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2",,DTP 2 vaccination (on vaccination card),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,DTP 2 vaccination (on vaccination card),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0031214,avenir population level data clinepi round 1::card_dpt3,avenir population level data clinepi round 1,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3",,DTP 3 vaccination (on vaccination card),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,DTP 3 vaccination (on vaccination card),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050002,avenir census and treatment data clinepi round 1::form.district.cen,avenir census and treatment data clinepi round 1,District in Niger,,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,District in census form,,,,,,avenir_rct,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050002,avenir census and treatment data clinepi round 2::form.district,avenir census and treatment data clinepi round 2,District in Niger,,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,District in census form,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050002,avenir census and treatment data clinepi round 3::form.district,avenir census and treatment data clinepi round 3,District in Niger,,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,District in census form,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050592,avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource,avenir census and treatment data clinepi round 1,Document providing birth date information,,How did you validate the date of birth?,Participant,,,variable,How did you validate the date of birth?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050592,avenir census and treatment data clinepi round 2::dobsource,avenir census and treatment data clinepi round 2,Document providing birth date information,,How did you validate the date of birth?,Participant,,,variable,How did you validate the date of birth?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050592,avenir census and treatment data clinepi round 3::dobsource,avenir census and treatment data clinepi round 3,Document providing birth date information,,How did you validate the date of birth?,Participant,,,variable,How did you validate the date of birth?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049242,avenir census and treatment data clinepi round 1::form.dose_ml,avenir census and treatment data clinepi round 1,Dose volume,,Treatment dosage,Participant,,,variable,Treatment dosage,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049242,avenir census and treatment data clinepi round 2::form.dose_ml,avenir census and treatment data clinepi round 2,Dose volume,,Treatment dosage,Participant,,,variable,Treatment dosage,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049242,avenir census and treatment data clinepi round 3::form.dose_ml,avenir census and treatment data clinepi round 3,Dose volume,,Treatment dosage,Participant,,,variable,Treatment dosage,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050514,avenir population level data clinepi round 1::dietlist.eggs,avenir population level data clinepi round 1,Eggs,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,value,,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049203,avenir population level data clinepi round 1::bf_exclusive,avenir population level data clinepi round 1,Exclusively breastfed,,Is the breastfeeding exclusive?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,variable,Is the breastfeeding exclusive?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050506,avenir population level data clinepi round 1::health_facility_type,avenir population level data clinepi round 1,Facility type,,What kind of health facility?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,What kind of health facility?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000097,avenir population level data clinepi round 1::fever,avenir population level data clinepi round 1,Febrile,,Has the child been ill with a fever at any time in the last 2 weeks?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,variable,Has the child been ill with a fever at any time in the last 2 weeks?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050515,avenir population level data clinepi round 1::dietlist.fortified,avenir population level data clinepi round 1,Fortified food,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,value,,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050524,avenir population level data clinepi round 1::dietlist.green_leaves,avenir population level data clinepi round 1,Green leaves or green leaves based sauce,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,value,,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050586,avenir population level data clinepi round 1::health_facility,avenir population level data clinepi round 1,Health facility name,,"In the past 6 months, have you consulted a health facility for this child?",Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,"In the past 6 months, have you consulted a health facility for this child?",,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050508,avenir population level data clinepi round 1::health_facility_num,avenir population level data clinepi round 1,Health facility visit count,,How many times did you consult a health facility?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,How many times did you consult a health facility?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050584,avenir population level data clinepi round 1::card_hepb,avenir population level data clinepi round 1,Hepatitis B vaccine,,Hepatitis B vaccination (on vaccination card),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,Hepatitis B vaccination (on vaccination card),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050550,avenir population level data clinepi round 1::vaccinationlist.nocard_hepb,avenir population level data clinepi round 1,"Hepatitis B vaccine, undocumented",,Hepatitis B vaccination (through word of mouth),Participant,http://purl.obolibrary.org/obo/EUPATH_0010947,Immunization and prevention,variable,Hepatitis B vaccination (through word of mouth),,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022088,avenir population level data clinepi round 1::hospitalized_reason,avenir population level data clinepi round 1,Hospitalization reason,,What was the reason for hospitalization?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,What was the reason for hospitalization?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050545,avenir population level data clinepi round 1::hospitalized_other,avenir population level data clinepi round 1,"Hospitalization reason, specified",,Please specify the other reason,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,Please specify the other reason,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050544,avenir population level data clinepi round 1::hospitalized_num,avenir population level data clinepi round 1,Hospitalizations count,,How many times was the child hospitalized?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,variable,How many times was the child hospitalized?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050543,avenir population level data clinepi round 1::hospitalized,avenir population level data clinepi round 1,Hospitalized in the last 6 months,,Was your child hospitalized in the last 6 months?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,variable,Was your child hospitalized in the last 6 months?,,,,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050591,avenir census and treatment data clinepi round 1::form.hhconsent,avenir census and treatment data clinepi round 1,Household consented,,Does the household agree to participate?,Participant,,,variable,Does the household agree to participate?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050591,avenir census and treatment data clinepi round 2::form.hhconsent,avenir census and treatment data clinepi round 2,Household consented,,Does the household agree to participate?,Participant,,,variable,Does the household agree to participate?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050591,avenir census and treatment data clinepi round 3::form.hhconsent,avenir census and treatment data clinepi round 3,Household consented,,Does the household agree to participate?,Participant,,,variable,Does the household agree to participate?,,,yes,,,avenir_rct,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050568,avenir census and treatment data clinepi round 1::form.hohage,avenir census and treatment data clinepi round 1,Household head's age,,Age of head of household in years,Participant,,,variable,Age of head of household in years,,,,,,avenir_rct,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050568,avenir census and treatment data clinepi round 2::form.hohage,avenir census and treatment data clinepi round 2,Household head's age,,Age of head of household in years,Participant,,,variable,Age of head of household in years,,,yes,,,avenir_rct,,,,,,,,,
