file	category	id
avenir community environment data clinepi	community	{{c}}+siteid_public
avenir household environment data clinepi	community	{{c}}+siteid_public
avenir census data clinepi	community	{{c}}+siteid_public
avenir treatment data clinepi	community	{{c}}+siteid_public
avenir population level data clinepi	community	{{c}}+siteid_public
avenir round 2 census data clinepi	community	{{c}}+siteid_public 
avenir round 2 treatment clinepi	community	{{c}}+siteid_public 
		
avenir community environment data clinepi	communityObs	{{o}}+siteid_public+round
avenir household environment data clinepi	communityObs	{{o}}+siteid_public+round
avenir census data clinepi	communityObs	{{o}}+siteid_public+round
avenir treatment data clinepi	communityObs	{{o}}+siteid_public+round
avenir population level data clinepi	communityObs	{{o}}+siteid_public+round
avenir round 2 census data clinepi	communityObs	{{o}}+siteid_public+round
avenir round 2 treatment clinepi	communityObs	{{o}}+siteid_public+round
		
avenir household environment data clinepi	household	{{h}}+hhid_public
avenir treatment data clinepi	household	{{h}}+hhid_public
avenir census data clinepi	household	{{h}}+hhid_public
avenir population level data clinepi	household	{{h}}+hhid_public
avenir round 2 census data clinepi	household	{{h}}+hhid_public
avenir round 2 treatment clinepi	household	{{h}}+hhid_public
		
avenir household environment data clinepi	hhObs	{{o}}+hhid_public+round
avenir treatment data clinepi	hhObs	{{o}}+hhid_public+round
avenir census data clinepi	hhObs	{{o}}+hhid_public+round
avenir population level data clinepi	hhObs	{{o}}+hhid_public+round
avenir round 2 census data clinepi	hhObs	{{o}}+hhid_public+round
avenir round 2 treatment clinepi	hhObs	{{o}}+hhid_public+round
		
avenir treatment data clinepi	participant	{{p}}+childid_public
avenir census data clinepi	participant	{{p}}+childid_public
avenir population level data clinepi	participant	{{p}}+childid_public
avenir round 2 census data clinepi	participant	{{p}}+childid_public
avenir round 2 treatment clinepi	participant	{{p}}+childid_public
		
avenir treatment data clinepi	observation	{{o}}+childid_public+round
avenir census data clinepi	observation	{{o}}+childid_public+round
avenir population level data clinepi	observation	{{o}}+childid_public+round
avenir round 2 census data clinepi	observation	{{o}}+childid_public+round
avenir round 2 treatment clinepi	observation	{{o}}+childid_public+round
		
avenir population level data clinepi	sample	{{s}}+childid_public
