IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/BFO_0000015,Observation type,agg_follow_up::datatype | dim_fada_single_row::datatype | lt_dim_fada_single_row::datatype,,agg_follow_up | dim_fada_single_row | lt_dim_fada_single_row,What type of data was collected on the participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,"variable,derived",,,,BetterBirth,,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000100,Subjective fever,agg_follow_up::fever,3,agg_follow_up,,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,Fever during or after delivery at any time up until now?,"1 | 1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call",value,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,,5,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,8,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,2,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,xls_vasa_death_data::maritalstat,3,xls_vasa_death_data,Only collected for a subset of participants whose infant died,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Marital status,,variable,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000581,Delivery mode,agg_follow_up::delivery_type | lt_dim_fada_single_row::max_fada_csection | raw_fida_birth_registration::sbr_delivery_type | dim_mom_outcomes::mom_delivery_type | dim_fada_single_row::max_fada_csection,5,agg_follow_up | dim_fada_single_row | lt_dim_fada_single_row | dim_mom_outcomes | raw_fida_birth_registration,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042001,Labor and delivery,"type of delivery (normal, c-section) | the delivery type, as specified by the follow-up process | Type of Delivery | Type of Deliver | 5l. Was a cesarean section performed?","0 | 1	Normal
2	C-Section
99	Unable to Complete Call | 1",variable,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000667,Died,dim_fada_single_row::max_fada_maternal_death | raw_fida_birth_registration::sbr_maternal_death | lt_dim_fada_single_row::max_fada_maternal_death | dim_mom_outcomes::mom_dead_day_0,1,dim_mom_outcomes | dim_fada_single_row | lt_dim_fada_single_row | raw_fida_birth_registration,Whether the participant died during delivery,Participant,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,Did the mother die on Day 0? (0 = No; 1 = Yes) | Maternal Death | 5j. Was there a maternal death at any point during your observation?,Y/N (1/0) | 1,variable,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,,5,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,11,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,10,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010123,Interviewee's relationship to participant,agg_follow_up::response_person,,agg_follow_up,Asked of the interviewee at follow-up,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,who provided the responses | Responses received from:,"1	Mother
0	Husband
3	Other Immediate Family Member | 1",variable,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,3,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015677,Health care attitudes,,11,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,,1,,"Symptoms that occurred at any point during or after delivery, up until the follow-up interview. If the participant had a fever, they were asked if it came with smelly vaginal discharge",Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,multifilter,,,,BetterBirth,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021086,Systolic blood pressure,dim_fada_single_row::op1_fada_mat_bp_anytime_sys | lt_dim_fada_single_row::op1_fada_mat_bp_anytime_sys,15,dim_fada_single_row | lt_dim_fada_single_row,Recorded at any point of admission for an observed delivery,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,5b(i). What was the systolic blood pressure? (from form where OP1 was observed),,variable,,,,BetterBirth,,mmHg,http://purl.obolibrary.org/obo/UO_0000272,,,,,,,
