file	category	id
agg_follow_up                       	participant	case_id
agg_follow_up                       	community	site_id
dim_baby_outcomes_noconflict_var	participant	case_id
dim_baby_outcomes_noconflict_var	community	site_id
dim_baby_outcomes_noconflict_var_weight	participant	case_id
dim_baby_outcomes_noconflict_var_weight	community	site_id
dim_fada_single_row	participant	case_id
dim_fada_single_row	community	site_id
dim_mom_outcomes	participant	case_id
dim_mom_outcomes	community	site_id
merged_work_sample_01   	community	facility
merged_work_sample_01   	community_repeated_measures	facility+ba_code+time
raw_cati_remote_home_visit	participant	case_id
raw_cati_remote_home_visit	community	site_id
raw_cati_tl_follow_up	participant	case_id
raw_cati_tl_follow_up	community	site_id
raw_cati_tl_remote_home_visit	participant	case_id
raw_cati_tl_remote_home_visit	community	site_id
raw_coach_tl_sbs	community	site_id
raw_coach_tl_sbs	community_repeated_measures	site_id+otis_sl_survey_date
raw_fida_birth_registration	participant	case_id
raw_fida_birth_registration	community	site_id
raw_fida_follow_up	participant	case_id
raw_fida_follow_up	community	site_id
raw_fida_tl_facility_survey	community	site_id
raw_fida_tl_facility_survey	community_repeated_measures	site_id+fitl_fs_observation_date
raw_fida_tl_home_visit	participant	case_id
raw_fida_tl_home_visit	community	site_id
raw_otis_process_tl	community	site_id
raw_otis_process_tl	community_repeated_measures	site_id+otis_pt_observation_date
raw_otis_visit	community	site_id
raw_otis_visit	community_repeated_measures	site_id+otis_observation_date+otis_ba_code
xls_ba_characteristics	community	site_id
xls_ba_characteristics	community_repeated_measures	site_id+ba_code
xls_baseline_mortality	community	site_id
xls_checklist_utilization	community	site_id
xls_checklist_utilization	community_repeated_measures	site_id+survey_date+cleaning_pk
xls_safety_attitudes	community	site_id
xls_safety_attitudes	community_repeated_measures	site_id+survey_date+cleaning_pk
xls_sbr_demographics	participant	case_id
xls_sbr_demographics	community	site_id
xls_site_attributes	community	site_id
xls_vasa_death_data	community	site_id
xls_vasa_death_data	participant	case_id
