"colOrder","variable","uniqueVar","dataFile","IRI","label","definition","parentLabel","parentIRI","category","codebookDescription","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","type","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType","flag"
5,"dov","ext_crypt_ari::dov","ext_crypt_ari","","","","","","","Date of visit","","","","","","","","","","","","","","","",""
3,"pmonthno","ext_crypt_ari::pmonthno","ext_crypt_ari","","","","","","","Month","","","","","","","","","","","","","","","",""
35,"pq21","ext_crypt_ari::pq21","ext_crypt_ari","","","","","","","How sick was your child?","","","","","","","","","","","","","","","",""
36,"pq22","ext_crypt_ari::pq22","ext_crypt_ari","","","","","","","Is your child exposed to secondary tobacco smoke?","","","","","","","","","","","","","","","",""
37,"pq23","ext_crypt_ari::pq23","ext_crypt_ari","","","","","","","In the 3 days before symptioms onset, had anyone at home had similar symptoms?","","","","","","","","","","","","","","","",""
38,"pq24","ext_crypt_ari::pq24","ext_crypt_ari","","","","","","","In the 3 days before symptoms onset, had your child been close (<1 meter) to anyone similar symptom outside the home?","","","","","","","","","","","","","","","",""
39,"pq25","ext_crypt_ari::pq25","ext_crypt_ari","","","","","","","If pq24 is yes, where","","","","","","","","","","","","","","","",""
40,"pq25other","ext_crypt_ari::pq25other","ext_crypt_ari","","","","","","","Specify if your child been close to anyone similar symptoms outside the home","","","","","","","","","","","","","","","",""
41,"pq26","ext_crypt_ari::pq26","ext_crypt_ari","","","","","","","Weight (kg) of the child","","","","","","","","","","","","","","","",""
42,"pq27","ext_crypt_ari::pq27","ext_crypt_ari","","","","","","","Respiratory rate (per minute)","","","","","","","","","","","","","","","",""
43,"pq28","ext_crypt_ari::pq28","ext_crypt_ari","","","","","","","Temperature (Â°C)","","","","","","","","","","","","","","","",""
44,"pq29","ext_crypt_ari::pq29","ext_crypt_ari","","","","","","","Pulse (per minute)","","","","","","","","","","","","","","","",""
6,"pq3","ext_crypt_ari::pq3","ext_crypt_ari","","","","","","","Time of visit (0-24 hours)","","","","","","","","","","","","","","","",""
45,"pq30","ext_crypt_ari::pq30","ext_crypt_ari","","","","","","","Breath sound","","","","","","","","","","","","","","","",""
46,"pq31","ext_crypt_ari::pq31","ext_crypt_ari","","","","","","","Wide spread wheeze on auscultation","","","","","","","","","","","","","","","",""
47,"pq32","ext_crypt_ari::pq32","ext_crypt_ari","","","","","","","Clinical diagnosis","","","","","","","","","","","","","","","",""
49,"pq33","ext_crypt_ari::pq33","ext_crypt_ari","","","","","","","Have nasal wash specimen collected?","","","","","","","","","","","","","","","",""
8,"pqsym_1","ext_crypt_ari::pqsym_1","ext_crypt_ari","","","","","","","Onset date of subjective fever","","","","","","","","","","","","","","","",""
26,"pqsym_10","ext_crypt_ari::pqsym_10","ext_crypt_ari","","","","","","","Onset date of convulsion","","","","","","","","","","","","","","","",""
28,"pqsym_11","ext_crypt_ari::pqsym_11","ext_crypt_ari","","","","","","","Onset date of lethargy","","","","","","","","","","","","","","","",""
30,"pqsym_12","ext_crypt_ari::pqsym_12","ext_crypt_ari","","","","","","","Onset date of decreased activity","","","","","","","","","","","","","","","",""
32,"pqsym_13","ext_crypt_ari::pqsym_13","ext_crypt_ari","","","","","","","Onset date of repeated vomiting","","","","","","","","","","","","","","","",""
34,"pqsym_14","ext_crypt_ari::pqsym_14","ext_crypt_ari","","","","","","","Onset date of wheezing/whistling in the chest","","","","","","","","","","","","","","","",""
10,"pqsym_2","ext_crypt_ari::pqsym_2","ext_crypt_ari","","","","","","","Onset date of cough","","","","","","","","","","","","","","","",""
12,"pqsym_3","ext_crypt_ari::pqsym_3","ext_crypt_ari","","","","","","","Onset date of drooling","","","","","","","","","","","","","","","",""
14,"pqsym_4","ext_crypt_ari::pqsym_4","ext_crypt_ari","","","","","","","Onset date of difficulty breathing","","","","","","","","","","","","","","","",""
16,"pqsym_5","ext_crypt_ari::pqsym_5","ext_crypt_ari","","","","","","","Onset date of noisy breathing","","","","","","","","","","","","","","","",""
18,"pqsym_6","ext_crypt_ari::pqsym_6","ext_crypt_ari","","","","","","","Onset date of chest indrawing when calm?","","","","","","","","","","","","","","","",""
20,"pqsym_7","ext_crypt_ari::pqsym_7","ext_crypt_ari","","","","","","","Onset date of runny nose","","","","","","","","","","","","","","","",""
22,"pqsym_8","ext_crypt_ari::pqsym_8","ext_crypt_ari","","","","","","","Onset data of aural discharge","","","","","","","","","","","","","","","",""
24,"pqsym_9","ext_crypt_ari::pqsym_9","ext_crypt_ari","","","","","","","Onset date of reluctant/unable to drink","","","","","","","","","","","","","","","",""
7,"pqx_1","ext_crypt_ari::pqx_1","ext_crypt_ari","","","","","","","Have subjective fever?","","","","","","","","","","","","","","","",""
25,"pqx_10","ext_crypt_ari::pqx_10","ext_crypt_ari","","","","","","","Have convulsion?","","","","","","","","","","","","","","","",""
27,"pqx_11","ext_crypt_ari::pqx_11","ext_crypt_ari","","","","","","","Have lethargy?","","","","","","","","","","","","","","","",""
29,"pqx_12","ext_crypt_ari::pqx_12","ext_crypt_ari","","","","","","","Have decreased activity?","","","","","","","","","","","","","","","",""
31,"pqx_13","ext_crypt_ari::pqx_13","ext_crypt_ari","","","","","","","Have repeated vomiting?","","","","","","","","","","","","","","","",""
33,"pqx_14","ext_crypt_ari::pqx_14","ext_crypt_ari","","","","","","","Have wheezing/whistling in the chest?","","","","","","","","","","","","","","","",""
9,"pqx_2","ext_crypt_ari::pqx_2","ext_crypt_ari","","","","","","","Have cough?","","","","","","","","","","","","","","","",""
