colOrder,variable,uniqueVar,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag
5,dov,ext_crypt_ari::dov,ext_crypt_ari,keep,,Date of visit,,,duplicated variable,,
1,pid,ext_crypt_ari::pid,ext_crypt_ari,discard,,ID,,,duplicated variable,,
3,pmonthno,ext_crypt_ari::pmonthno,ext_crypt_ari,keep,,Month,,,,,
4,pq1,ext_crypt_ari::pq1,ext_crypt_ari,discard,,Interviewer code(1-6),,,,,
35,pq21,ext_crypt_ari::pq21,ext_crypt_ari,keep,,How sick was your child?,"1 =Bed ridden, 2=Confined to the house, 3=Unable to go to school, 4 =Able to do all activities",,,,
36,pq22,ext_crypt_ari::pq22,ext_crypt_ari,keep,,Is your child exposed to secondary tobacco smoke?,"0=No,  1=Yes",,,,
37,pq23,ext_crypt_ari::pq23,ext_crypt_ari,keep,,"In the 3 days before symptioms onset, had anyone at home had similar symptoms?","0=No,  1=Yes",,,,
38,pq24,ext_crypt_ari::pq24,ext_crypt_ari,keep,,"In the 3 days before symptoms onset, had your child been close (<1 meter) to anyone similar symptom outside the home?","0=No,  1=Yes",,,,
39,pq25,ext_crypt_ari::pq25,ext_crypt_ari,keep,,"If pq24 is yes, where","1=Work, 2 =Market, 3=School, 4=Mosque/church/temple, 5=Street,  6=Other's home, 7=Others",,,,
40,pq25other,ext_crypt_ari::pq25other,ext_crypt_ari,keep,,Specify if your child been close to anyone similar symptoms outside the home,,,,,
41,pq26,ext_crypt_ari::pq26,ext_crypt_ari,keep,,Weight (kg) of the child,,,,,
42,pq27,ext_crypt_ari::pq27,ext_crypt_ari,keep,,Respiratory rate (per minute),,,,,
43,pq28,ext_crypt_ari::pq28,ext_crypt_ari,keep,,Temperature (Â°C),,,,,
44,pq29,ext_crypt_ari::pq29,ext_crypt_ari,keep,,Pulse (per minute),,,,,
6,pq3,ext_crypt_ari::pq3,ext_crypt_ari,keep,,Time of visit (0-24 hours),,,,,
45,pq30,ext_crypt_ari::pq30,ext_crypt_ari,keep,,Breath sound,"1=Normal,  2=Diminished, 3=Rales /Crepitatio, 4=Rhonchi,  5=Bronchial,  6 =Vesicular with prolonged expiration",,,,
46,pq31,ext_crypt_ari::pq31,ext_crypt_ari,keep,,Wide spread wheeze on auscultation,"0=No,  1=Yes",,,,
47,pq32,ext_crypt_ari::pq32,ext_crypt_ari,keep,,Clinical diagnosis,"1=ARI, 2=Pneumonia,  3=Wheeze,  4=ARI with wheeze,  5 =Pneumonia with wheeze, 6=Others",,,,
48,pq32other,ext_crypt_ari::pq32other,ext_crypt_ari,discard,,Specify if clinical diagnosis are others,,,no data,,
49,pq33,ext_crypt_ari::pq33,ext_crypt_ari,keep,,Have nasal wash specimen collected?,"0=No,  1=Yes",,,,
8,pqsym_1,ext_crypt_ari::pqsym_1,ext_crypt_ari,keep,,Onset date of subjective fever,09/09/9999= not applicable,,,,
26,pqsym_10,ext_crypt_ari::pqsym_10,ext_crypt_ari,discard,,Onset date of convulsion,09/09/9999= not applicable,,no data,,
28,pqsym_11,ext_crypt_ari::pqsym_11,ext_crypt_ari,keep,,Onset date of lethargy,09/09/9999= not applicable,,,,
30,pqsym_12,ext_crypt_ari::pqsym_12,ext_crypt_ari,keep,,Onset date of decreased activity,09/09/9999= not applicable,,,,
32,pqsym_13,ext_crypt_ari::pqsym_13,ext_crypt_ari,keep,,Onset date of repeated vomiting,09/09/9999= not applicable,,,,
34,pqsym_14,ext_crypt_ari::pqsym_14,ext_crypt_ari,keep,,Onset date of wheezing/whistling in the chest,09/09/9999= not applicable,,,,
10,pqsym_2,ext_crypt_ari::pqsym_2,ext_crypt_ari,keep,,Onset date of cough,09/09/9999= not applicable,,,,
12,pqsym_3,ext_crypt_ari::pqsym_3,ext_crypt_ari,keep,,Onset date of drooling,09/09/9999= not applicable,,,,
14,pqsym_4,ext_crypt_ari::pqsym_4,ext_crypt_ari,keep,,Onset date of difficulty breathing,09/09/9999= not applicable,,,,
16,pqsym_5,ext_crypt_ari::pqsym_5,ext_crypt_ari,keep,,Onset date of noisy breathing,09/09/9999= not applicable,,,,
18,pqsym_6,ext_crypt_ari::pqsym_6,ext_crypt_ari,keep,,Onset date of chest indrawing when calm?,09/09/9999= not applicable,,,,
20,pqsym_7,ext_crypt_ari::pqsym_7,ext_crypt_ari,keep,,Onset date of runny nose,09/09/9999= not applicable,,,,
22,pqsym_8,ext_crypt_ari::pqsym_8,ext_crypt_ari,keep,,Onset data of aural discharge,09/09/9999= not applicable,,,,
24,pqsym_9,ext_crypt_ari::pqsym_9,ext_crypt_ari,keep,,Onset date of reluctant/unable to drink,09/09/9999= not applicable,,,,
7,pqx_1,ext_crypt_ari::pqx_1,ext_crypt_ari,keep,,Have subjective fever?,"0=No ,  1=Yes",,,,
25,pqx_10,ext_crypt_ari::pqx_10,ext_crypt_ari,keep,,Have convulsion?,"0=No,  1=Yes",,,,
27,pqx_11,ext_crypt_ari::pqx_11,ext_crypt_ari,keep,,Have lethargy?,"0=No,  1=Yes",,,,
29,pqx_12,ext_crypt_ari::pqx_12,ext_crypt_ari,keep,,Have decreased activity?,"0=No,  1=Yes",,,,
31,pqx_13,ext_crypt_ari::pqx_13,ext_crypt_ari,keep,,Have repeated vomiting?,"0=No,  1=Yes",,,,
33,pqx_14,ext_crypt_ari::pqx_14,ext_crypt_ari,keep,,Have wheezing/whistling in the chest?,"0=No,  1=Yes",,,,
9,pqx_2,ext_crypt_ari::pqx_2,ext_crypt_ari,keep,,Have cough?,"0=No,  1=Yes",,,,
11,pqx_3,ext_crypt_ari::pqx_3,ext_crypt_ari,keep,,Have drooling,"0=No,  1=Yes",,,,
13,pqx_4,ext_crypt_ari::pqx_4,ext_crypt_ari,keep,,Have difficulty breathing,"0=No,  1=Yes",,,,
15,pqx_5,ext_crypt_ari::pqx_5,ext_crypt_ari,keep,,Have noisy breathing,"0=No,  1=Yes",,,,
17,pqx_6,ext_crypt_ari::pqx_6,ext_crypt_ari,keep,,Have chest indrawing when calm?,"0=No,  1=Yes",,,,
19,pqx_7,ext_crypt_ari::pqx_7,ext_crypt_ari,keep,,Have runny nose?,"0=No,  1=Yes",,,,
21,pqx_8,ext_crypt_ari::pqx_8,ext_crypt_ari,keep,,Have aural discharge?,"0=No,  1=Yes",,,,
23,pqx_9,ext_crypt_ari::pqx_9,ext_crypt_ari,keep,,Have the baby reluctant/unable to drink?,"0=No,  1=Yes",,,,
2,pyearno,ext_crypt_ari::pyearno,ext_crypt_ari,keep,,Year,,,,,
2,doc,ext_crypt_ari_lab::doc,ext_crypt_ari_lab,keep,,Date of collection,,,duplicated variable,,
3,influ_pcr,ext_crypt_ari_lab::influ_pcr,ext_crypt_ari_lab,keep,,PCR result for Influenza virus,,,,,
1,pid,ext_crypt_ari_lab::pid,ext_crypt_ari_lab,discard,,Child ID,,,duplicated variable,,
4,rv_pcr,ext_crypt_ari_lab::rv_pcr,ext_crypt_ari_lab,keep,,PCR result for RV Panel,,,,,
4,age,ext_crypt_bayleysc::age,ext_crypt_bayleysc,keep,,Age of child,,,duplicated variable,,
7,cogcmp,ext_crypt_bayleysc::cogcmp,ext_crypt_bayleysc,keep,,4c. Cognitive composite score,,,,,
5,cograw,ext_crypt_bayleysc::cograw,ext_crypt_bayleysc,keep,,4a. Cognitive raw score,,,,,
6,cogscale,ext_crypt_bayleysc::cogscale,ext_crypt_bayleysc,keep,,4b. Cognitive scaled score,,,,,
3,date,ext_crypt_bayleysc::date,ext_crypt_bayleysc,keep,,3. Date of measurement,,,,,
14,fmotoraw,ext_crypt_bayleysc::fmotoraw,ext_crypt_bayleysc,keep,,6a. Fine motor raw score,,,,,
15,fmotoscal,ext_crypt_bayleysc::fmotoscal,ext_crypt_bayleysc,keep,,6b. Fine motor scaled score,,,,,
16,gmotoraw,ext_crypt_bayleysc::gmotoraw,ext_crypt_bayleysc,keep,,6c. Gross motor raw score,,,,,
17,gmotoscal,ext_crypt_bayleysc::gmotoscal,ext_crypt_bayleysc,keep,,6d. Gross motor scaled score,,,,,
10,laexpraw,ext_crypt_bayleysc::laexpraw,ext_crypt_bayleysc,keep,,5c. Expressive communication raw score,,,,,
11,laexpscal,ext_crypt_bayleysc::laexpscal,ext_crypt_bayleysc,keep,,5d. Expressive communication scaled score,,,,,
13,langcmp,ext_crypt_bayleysc::langcmp,ext_crypt_bayleysc,keep,,5f. Language composite score,,,,,
12,langscal,ext_crypt_bayleysc::langscal,ext_crypt_bayleysc,keep,,5e. Language  scaled sum,,,,,
8,larcraw,ext_crypt_bayleysc::larcraw,ext_crypt_bayleysc,keep,,5a. Receptive communication raw score,,,,,
9,larcscal,ext_crypt_bayleysc::larcscal,ext_crypt_bayleysc,keep,,5b. Receptive communication scaled score,,,,,
19,motocmp,ext_crypt_bayleysc::motocmp,ext_crypt_bayleysc,keep,,6f. Motor composite score,,,,,
18,motoscal,ext_crypt_bayleysc::motoscal,ext_crypt_bayleysc,keep,,6e. Motor scaled sum,,,,,
1,pid,ext_crypt_bayleysc::pid,ext_crypt_bayleysc,discard,,ID,,,duplicated variable,,
2,vnum,ext_crypt_bayleysc::vnum,ext_crypt_bayleysc,keep,,1. Visit number,,,,,
26,aa,ext_crypt_cs_bml::aa,ext_crypt_cs_bml,keep,,Arachidonic,,,,,
22,ala,ext_crypt_cs_bml::ala,ext_crypt_cs_bml,keep,,alpha-Linolenic,,,,,
7,analydt,ext_crypt_cs_bml::analydt,ext_crypt_cs_bml,discard,,Assay date,,,,,
19,ara,ext_crypt_cs_bml::ara,ext_crypt_cs_bml,keep,,Arachidic,,,,,
34,batch,ext_crypt_cs_bml::batch,ext_crypt_cs_bml,discard,,batch,,,duplicated variable,,
24,beh,ext_crypt_cs_bml::beh,ext_crypt_cs_bml,keep,,Behenic,,,,,
8,cap,ext_crypt_cs_bml::cap,ext_crypt_cs_bml,keep,,Capric,,,,,
25,dgla,ext_crypt_cs_bml::dgla,ext_crypt_cs_bml,keep,,Dihomo-g-linolenic,,,,,
33,dha,ext_crypt_cs_bml::dha,ext_crypt_cs_bml,keep,,Docosahexaenoic,,,,,
6,doc,ext_crypt_cs_bml::doc,ext_crypt_cs_bml,keep,,Date Sample collected,,,duplicated variable,,
32,dpa,ext_crypt_cs_bml::dpa,ext_crypt_cs_bml,keep,,Docosapentaenoic - n3,,,,,
31,dpa6,ext_crypt_cs_bml::dpa6,ext_crypt_cs_bml,keep,,Docosapentaenoic - n6,,,,,
30,dta,ext_crypt_cs_bml::dta,ext_crypt_cs_bml,keep,,Docosatetraenoic,,,,,
