category	dataFile	id
household	ext_crypt_ari	{{h}}+pid
participant	ext_crypt_ari	{{p}}+pid
participant_repeated_measures	ext_crypt_ari	{{prm}}+pid+doc
samples	ext_crypt_ari	{{s}}+pid+doc
household	ext_crypt_ari_lab	{{h}}+pid
participant	ext_crypt_ari_lab	{{p}}+pid
participant_repeated_measures	ext_crypt_ari_lab	{{prm}}+pid+doc
samples	ext_crypt_ari_lab	{{s}}+pid+doc
participant	ext_crypt_bayleysc	{{p}}+pid
participant_repeated_measures	ext_crypt_bayleysc	{{prm}}+pid+date
household	ext_crypt_cs_bml	{{h}}+pid
participant	ext_crypt_cs_bml	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_bml	{{prm}}+pid+doc
samples	ext_crypt_cs_bml	{{s}}+pid+doc
household	ext_crypt_cs_calp	{{h}}+pid
participant	ext_crypt_cs_calp	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_calp	{{prm}}+pid+specdt
samples	ext_crypt_cs_calp	{{s}}+pid+specdt
household	ext_crypt_cs_cp17_fecal_iga	{{h}}+pid
participant	ext_crypt_cs_cp17_fecal_iga	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_cp17_fecal_iga	{{prm}}+pid+specdt
samples	ext_crypt_cs_cp17_fecal_iga	{{s}}+pid+specdt
household	ext_crypt_cs_cp17_plasma_igg	{{h}}+pid
participant	ext_crypt_cs_cp17_plasma_igg	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_cp17_plasma_igg	{{prm}}+pid+specdt
samples	ext_crypt_cs_cp17_plasma_igg	{{s}}+pid+specdt
household	ext_crypt_cs_cp23_fecal_iga	{{h}}+pid
participant	ext_crypt_cs_cp23_fecal_iga	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_cp23_fecal_iga	{{prm}}+
samples	ext_crypt_cs_cp23_fecal_iga	{{s}}+pid+specdt
household	ext_crypt_cs_cp23_plasma_igg	{{h}}+pid
participant	ext_crypt_cs_cp23_plasma_igg	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_cp23_plasma_igg	{{prm}}+
samples	ext_crypt_cs_cp23_plasma_igg	{{s}}+pid+specdt
participant	ext_crypt_cs_crem_prkca	{{p}}+pid
household	ext_crypt_cs_crp	{{h}}+pid
participant	ext_crypt_cs_crp	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_crp	{{prm}}+pid+specdt
samples	ext_crypt_cs_crp	{{s}}+pid+specdt
household	ext_crypt_cs_cytcp	{{h}}+pid
participant	ext_crypt_cs_cytcp	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_cytcp	{{prm}}+pid+specdt
samples	ext_crypt_cs_cytcp	{{s}}+pid+specdt
household	ext_crypt_cs_cytmp	{{h}}+pid
participant	ext_crypt_cs_cytmp	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_cytmp	{{prm}}+pid+specdt
samples	ext_crypt_cs_cytmp	{{s}}+pid+specdt
household	ext_crypt_cs_egf_bmilk	{{h}}+pid
participant	ext_crypt_cs_egf_bmilk	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_egf_bmilk	{{prm}}+pid+specdt
samples	ext_crypt_cs_egf_bmilk	{{s}}+pid+specdt
household	ext_crypt_cs_il1b	{{h}}+pid
participant	ext_crypt_cs_il1b	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_il1b	{{prm}}+pid+specdt
samples	ext_crypt_cs_il1b	{{s}}+pid+specdt
household	ext_crypt_cs_il4	{{h}}+pid
participant	ext_crypt_cs_il4	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_il4	{{prm}}+pid+specdt
samples	ext_crypt_cs_il4	{{s}}+pid+specdt
household	ext_crypt_cs_lm	{{h}}+pid
participant	ext_crypt_cs_lm	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_lm	{{prm}}+pid+specdt
samples	ext_crypt_cs_lm	{{s}}+pid+specdt
household	ext_crypt_cs_mpo_infant	{{h}}+pid
participant	ext_crypt_cs_mpo_infant	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_mpo_infant	{{prm}}+pid+specdt
samples	ext_crypt_cs_mpo_infant	{{s}}+pid+specdt
household	ext_crypt_cs_mpo_mother	{{h}}+pid
participant	ext_crypt_cs_mpo_mother	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_mpo_mother	{{prm}}+pid+specdt
samples	ext_crypt_cs_mpo_mother	{{s}}+pid+specdt
household	ext_crypt_cs_polio_sna	{{h}}+pid
participant	ext_crypt_cs_polio_sna	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_polio_sna	
samples	ext_crypt_cs_polio_sna	{{s}}+
household	ext_crypt_cs_reg1b_infant	{{h}}+pid
participant	ext_crypt_cs_reg1b_infant	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_reg1b_infant	{{prm}}+pid+specdt
samples	ext_crypt_cs_reg1b_infant	{{s}}+pid+specdt
household	ext_crypt_cs_reg1b_mother	{{h}}+pid
participant	ext_crypt_cs_reg1b_mother	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_reg1b_mother	{{prm}}+pid+specdt
samples	ext_crypt_cs_reg1b_mother	{{s}}+pid+specdt
household	ext_crypt_cs_retinol	{{h}}+pid
participant	ext_crypt_cs_retinol	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_retinol	{{prm}}+pid+specdt
samples	ext_crypt_cs_retinol	{{s}}+pid+specdt
household	ext_crypt_cs_scd14	{{h}}+pid
participant	ext_crypt_cs_scd14	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_scd14	{{prm}}+pid+specdt
samples	ext_crypt_cs_scd14	{{s}}+pid+specdt
household	ext_crypt_cs_sspa	{{h}}+pid
participant	ext_crypt_cs_sspa	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_sspa	{{prm}}+pid+specdt
samples	ext_crypt_cs_sspa	{{s}}+pid+specdt
household	ext_crypt_cs_stool_iga_month12	{{h}}+pid
participant	ext_crypt_cs_stool_iga_month12	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_stool_iga_month12	{{prm}}+pid+specdt
samples	ext_crypt_cs_stool_iga_month12	{{s}}+pid+specdt
household	ext_crypt_cs_stool_iga_month4	{{h}}+pid
participant	ext_crypt_cs_stool_iga_month4	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_stool_iga_month4	{{prm}}+pid+specdt
samples	ext_crypt_cs_stool_iga_month4	{{s}}+pid+specdt
household	ext_crypt_cs_tac	{{h}}+pid
participant	ext_crypt_cs_tac	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_tac	{{prm}}+pid+specdt
samples	ext_crypt_cs_tac	{{s}}+pid+specdt
household	ext_crypt_cs_zn	{{h}}+pid
participant	ext_crypt_cs_zn	{{p}}+pid
participant_repeated_measures	ext_crypt_cs_zn	{{prm}}+pid+specdt
samples	ext_crypt_cs_zn	{{s}}+pid+specdt
participant	ext_crypt_ctreat	{{p}}+pid
participant_repeated_measures	ext_crypt_ctreat	{{prm}}+pid+dov
participant	ext_crypt_mgmt_breastfeeding	{{p}}+pid
household	ext_crypt_mgmt_lmr	{{h}}+pid
participant	ext_crypt_mgmt_lmr	{{p}}+pid
