variable	variable2	values	mappedTerms	valueOrder
ext_crypt_ari_lab::doc	ext_crypt_ari_lab::doc	NA	NA	
ext_crypt_ari_lab::influ_pcr	ext_crypt_ari_lab::influ_pcr	NA	NA	
ext_crypt_ari_lab::rv_pcr	ext_crypt_ari_lab::rv_pcr	NA	NA	
ext_crypt_ari::dov	ext_crypt_ari::dov	NA	NA	
ext_crypt_ari::pq26	ext_crypt_ari::pq26	NA	NA	
ext_crypt_ari::pq27	ext_crypt_ari::pq27	NA	NA	
ext_crypt_ari::pq28	ext_crypt_ari::pq28	NA	NA	
ext_crypt_ari::pq29	ext_crypt_ari::pq29	NA	NA	
ext_crypt_bayleysc::age	ext_crypt_bayleysc::age	NA	NA	
ext_crypt_bayleysc::cogcmp	ext_crypt_bayleysc::cogcmp	NA	NA	
ext_crypt_bayleysc::cograw	ext_crypt_bayleysc::cograw	NA	NA	
ext_crypt_bayleysc::cogscale	ext_crypt_bayleysc::cogscale	NA	NA	
ext_crypt_bayleysc::date	ext_crypt_bayleysc::date	NA	NA	
ext_crypt_bayleysc::fmotoraw	ext_crypt_bayleysc::fmotoraw	NA	NA	
ext_crypt_bayleysc::fmotoscal	ext_crypt_bayleysc::fmotoscal	NA	NA	
ext_crypt_bayleysc::gmotoraw	ext_crypt_bayleysc::gmotoraw	NA	NA	
ext_crypt_bayleysc::gmotoscal	ext_crypt_bayleysc::gmotoscal	NA	NA	
ext_crypt_bayleysc::laexpraw	ext_crypt_bayleysc::laexpraw	NA	NA	
ext_crypt_bayleysc::laexpscal	ext_crypt_bayleysc::laexpscal	NA	NA	
ext_crypt_bayleysc::langcmp	ext_crypt_bayleysc::langcmp	NA	NA	
ext_crypt_bayleysc::langscal	ext_crypt_bayleysc::langscal	NA	NA	
ext_crypt_bayleysc::larcraw	ext_crypt_bayleysc::larcraw	NA	NA	
ext_crypt_bayleysc::larcscal	ext_crypt_bayleysc::larcscal	NA	NA	
ext_crypt_bayleysc::motocmp	ext_crypt_bayleysc::motocmp	NA	NA	
ext_crypt_bayleysc::motoscal	ext_crypt_bayleysc::motoscal	NA	NA	
ext_crypt_bayleysc::vnum	ext_crypt_bayleysc::vnum	NA	NA	
ext_crypt_cs_bml::aa	ext_crypt_cs_bml::aa	NA	NA	
ext_crypt_cs_bml::ala	ext_crypt_cs_bml::ala	NA	NA	
ext_crypt_cs_bml::ara	ext_crypt_cs_bml::ara	NA	NA	
ext_crypt_cs_bml::beh	ext_crypt_cs_bml::beh	NA	NA	
ext_crypt_cs_bml::cap	ext_crypt_cs_bml::cap	NA	NA	
ext_crypt_cs_bml::dgla	ext_crypt_cs_bml::dgla	NA	NA	
ext_crypt_cs_bml::dha	ext_crypt_cs_bml::dha	NA	NA	
ext_crypt_cs_bml::doc	ext_crypt_cs_bml::doc	NA	NA	
ext_crypt_cs_bml::dpa	ext_crypt_cs_bml::dpa	NA	NA	
ext_crypt_cs_bml::dpa6	ext_crypt_cs_bml::dpa6	NA	NA	
ext_crypt_cs_bml::dta	ext_crypt_cs_bml::dta	NA	NA	
ext_crypt_cs_bml::eda	ext_crypt_cs_bml::eda	NA	NA	
ext_crypt_cs_bml::eic9	ext_crypt_cs_bml::eic9	NA	NA	
ext_crypt_cs_bml::ela	ext_crypt_cs_bml::ela	NA	NA	
ext_crypt_cs_bml::epa	ext_crypt_cs_bml::epa	NA	NA	
ext_crypt_cs_bml::gla	ext_crypt_cs_bml::gla	NA	NA	
ext_crypt_cs_bml::la	ext_crypt_cs_bml::la	NA	NA	
ext_crypt_cs_bml::lau	ext_crypt_cs_bml::lau	NA	NA	
ext_crypt_cs_bml::lig	ext_crypt_cs_bml::lig	NA	NA	
ext_crypt_cs_bml::lla	ext_crypt_cs_bml::lla	NA	NA	
ext_crypt_cs_bml::myr	ext_crypt_cs_bml::myr	NA	NA	
ext_crypt_cs_bml::ner	ext_crypt_cs_bml::ner	NA	NA	
ext_crypt_cs_bml::ole	ext_crypt_cs_bml::ole	NA	NA	
ext_crypt_cs_bml::pal	ext_crypt_cs_bml::pal	NA	NA	
ext_crypt_cs_bml::pla	ext_crypt_cs_bml::pla	NA	NA	
ext_crypt_cs_bml::ple	ext_crypt_cs_bml::ple	NA	NA	
ext_crypt_cs_bml::ste	ext_crypt_cs_bml::ste	NA	NA	
ext_crypt_cs_calp::aged	ext_crypt_cs_calp::aged	NA	NA	
ext_crypt_cs_calp::specdt	ext_crypt_cs_calp::specdt	NA	NA	
ext_crypt_cs_calp::specseq	ext_crypt_cs_calp::specseq	NA	NA	
ext_crypt_cs_cp17_fecal_iga::aged	ext_crypt_cs_cp17_fecal_iga::aged	NA	NA	
ext_crypt_cs_cp17_fecal_iga::specdt	ext_crypt_cs_cp17_fecal_iga::specdt	NA	NA	
ext_crypt_cs_cp17_fecal_iga::specnum	ext_crypt_cs_cp17_fecal_iga::specnum	NA	NA	
ext_crypt_cs_cp17_fecal_iga::specseq	ext_crypt_cs_cp17_fecal_iga::specseq	NA	NA	
ext_crypt_cs_cp17_plasma_igg::aged	ext_crypt_cs_cp17_plasma_igg::aged	NA	NA	
ext_crypt_cs_cp17_plasma_igg::specdt	ext_crypt_cs_cp17_plasma_igg::specdt	NA	NA	
ext_crypt_cs_cp23_fecal_iga::aged	ext_crypt_cs_cp23_fecal_iga::aged	NA	NA	
ext_crypt_cs_cp23_fecal_iga::specdt	ext_crypt_cs_cp23_fecal_iga::specdt	NA	NA	
ext_crypt_cs_cp23_plasma_igg::aged	ext_crypt_cs_cp23_plasma_igg::aged	NA	NA	
ext_crypt_cs_cp23_plasma_igg::specdt	ext_crypt_cs_cp23_plasma_igg::specdt	NA	NA	
ext_crypt_cs_crem_prkca::crem_rs2148483_a	ext_crypt_cs_crem_prkca::crem_rs2148483_a	NA	NA	
ext_crypt_cs_crem_prkca::prkca_rs58296998_t	ext_crypt_cs_crem_prkca::prkca_rs58296998_t	NA	NA	
ext_crypt_cs_crp::specdt	ext_crypt_cs_crp::specdt	NA	NA	
ext_crypt_cs_cytcp::aged	ext_crypt_cs_cytcp::aged	NA	NA	
ext_crypt_cs_cytcp::gcsf	ext_crypt_cs_cytcp::gcsf	NA	NA	
ext_crypt_cs_cytcp::gmcsf	ext_crypt_cs_cytcp::gmcsf	NA	NA	
ext_crypt_cs_cytcp::ifng	ext_crypt_cs_cytcp::ifng	NA	NA	
ext_crypt_cs_cytcp::il10	ext_crypt_cs_cytcp::il10	NA	NA	
ext_crypt_cs_cytcp::il12p70	ext_crypt_cs_cytcp::il12p70	NA	NA	
ext_crypt_cs_cytcp::il13	ext_crypt_cs_cytcp::il13	NA	NA	
ext_crypt_cs_cytcp::il17a	ext_crypt_cs_cytcp::il17a	NA	NA	
ext_crypt_cs_cytcp::il1b	ext_crypt_cs_cytcp::il1b	NA	NA	
ext_crypt_cs_cytcp::il2	ext_crypt_cs_cytcp::il2	NA	NA	
ext_crypt_cs_cytcp::il4	ext_crypt_cs_cytcp::il4	NA	NA	
ext_crypt_cs_cytcp::il5	ext_crypt_cs_cytcp::il5	NA	NA	
ext_crypt_cs_cytcp::il6	ext_crypt_cs_cytcp::il6	NA	NA	
ext_crypt_cs_cytcp::il7	ext_crypt_cs_cytcp::il7	NA	NA	
ext_crypt_cs_cytcp::il8	ext_crypt_cs_cytcp::il8	NA	NA	
ext_crypt_cs_cytcp::mcp1	ext_crypt_cs_cytcp::mcp1	NA	NA	
ext_crypt_cs_cytcp::mip1b	ext_crypt_cs_cytcp::mip1b	NA	NA	
ext_crypt_cs_cytcp::site	ext_crypt_cs_cytcp::site	NA	NA	
ext_crypt_cs_cytcp::specdt	ext_crypt_cs_cytcp::specdt	NA	NA	
ext_crypt_cs_cytcp::specseq	ext_crypt_cs_cytcp::specseq	NA	NA	
ext_crypt_cs_cytcp::tnfa	ext_crypt_cs_cytcp::tnfa	NA	NA	
ext_crypt_cs_cytmp::gcsf	ext_crypt_cs_cytmp::gcsf	NA	NA	
ext_crypt_cs_cytmp::gmcsf	ext_crypt_cs_cytmp::gmcsf	NA	NA	
ext_crypt_cs_cytmp::ifng	ext_crypt_cs_cytmp::ifng	NA	NA	
ext_crypt_cs_cytmp::il10	ext_crypt_cs_cytmp::il10	NA	NA	
ext_crypt_cs_cytmp::il12p70	ext_crypt_cs_cytmp::il12p70	NA	NA	
ext_crypt_cs_cytmp::il13	ext_crypt_cs_cytmp::il13	NA	NA	
ext_crypt_cs_cytmp::il17a	ext_crypt_cs_cytmp::il17a	NA	NA	
ext_crypt_cs_cytmp::il1b	ext_crypt_cs_cytmp::il1b	NA	NA	
ext_crypt_cs_cytmp::il2	ext_crypt_cs_cytmp::il2	NA	NA	
ext_crypt_cs_cytmp::il4	ext_crypt_cs_cytmp::il4	NA	NA	
