"displayOrder","IRI","label","variable","parentIRI","parentLabel","dataFile","definition","category","codebookDescription","codebookValues","termType","repeated","is_temporal","mergeKey","dataSet","replaces","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth"
,"http://purl.obolibrary.org/obo/PCO_0000024","Household",,"http://www.w3.org/2002/07/owl#Thing",,"elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,"everywhere",,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0000167","Bank account","cef_bank_account","http://purl.obolibrary.org/obo/EUPATH_0000144","Assets","elicit_data_for_plos_reshaped_v3",,"Household","Does the household have a bank account?","1 = Yes; 0 = No","value",,,,"ELICIT",,,,,,,,,
9,"http://purl.obolibrary.org/obo/ENVO_01000586","Chair","cef_own_chair_or_bench","http://purl.obolibrary.org/obo/EUPATH_0000144","Assets","elicit_data_for_plos_reshaped_v3",,"Household","Does the household own a chair or bench?","1 = Yes; 0 = No","value",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0044160","Crowding","crowd","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","elicit_data_for_plos_reshaped_v3",,"Household","Crowding in dwelling, defined as two or more people per room of house",,"variable",,,,"ELICIT",,,,,,,,,
8,"http://purl.obolibrary.org/obo/EUPATH_0048034","Mattress","cef_have_mattress","http://purl.obolibrary.org/obo/EUPATH_0000144","Assets","elicit_data_for_plos_reshaped_v3",,"Household","Does the household have a mattress?","1 = Yes; 0 = No","value",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/ENVO_01000583","Refrigerator","cef_refrigerator","http://purl.obolibrary.org/obo/EUPATH_0000144","Assets","elicit_data_for_plos_reshaped_v3",,"Household","Does the household own a refrigerator?","1 = Yes; 0 = No","value",,,,"ELICIT",,,,,,,,,
7,"http://purl.obolibrary.org/obo/ENVO_01000584","Table","cef_own_table","http://purl.obolibrary.org/obo/EUPATH_0000144","Assets","elicit_data_for_plos_reshaped_v3",,"Household","Does the household own a table?","1 = Yes; 0 = No","value",,,,"ELICIT",,,,,,,,,
5,"http://purl.obolibrary.org/obo/ENVO_01000580","Telephone (mobile or non-mobile)","cef_mobile_telephone","http://purl.obolibrary.org/obo/EUPATH_0000144","Assets","elicit_data_for_plos_reshaped_v3",,"Household","Does the household own a mobile telephone?","1 = Yes; 0 = No","value",,,,"ELICIT",,,,,,,,,
6,"http://purl.obolibrary.org/obo/ENVO_01000579","Television","cef_television","http://purl.obolibrary.org/obo/EUPATH_0000144","Assets","elicit_data_for_plos_reshaped_v3",,"Household","Does the household own a television?","1 = Yes; 0 = No","value",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0011593","Room count","cef_rooms","http://purl.obolibrary.org/obo/EUPATH_0000303","Dwelling characteristics","elicit_data_for_plos_reshaped_v3",,"Household","How many rooms do they have in the house?",,"variable",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0011586","Separate kitchen","cef_separate_kitchen","http://purl.obolibrary.org/obo/EUPATH_0000303","Dwelling characteristics","elicit_data_for_plos_reshaped_v3",,"Household","Does the household have a separate room which is used as a kitchen?","1 = Yes; 0 = No","variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0000596","Waste disposal",,"http://purl.obolibrary.org/obo/EUPATH_0000302","Dwelling facilities","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/ENVO_01000773","Village","village","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","elicit_data_for_plos_reshaped_v3",,"Household","Village in which family resides (cleaned from free response village question on CEF)",,"variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0049405","Ward in Tanzania","ward","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","elicit_data_for_plos_reshaped_v3",,"Household","Ward in which family resides (cleaned from free response ward question on CEF)",,"variable",,,,"ELICIT",,,,"yes",,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0000303","Dwelling characteristics",,"http://purl.obolibrary.org/obo/PCO_0000024","Household","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0000302","Dwelling facilities",,"http://purl.obolibrary.org/obo/PCO_0000024","Household","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,"http://purl.obolibrary.org/obo/PCO_0000024","Household","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0000731","Household water",,"http://purl.obolibrary.org/obo/PCO_0000024","Household","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
5,"http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors",,"http://purl.obolibrary.org/obo/PCO_0000024","Household","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0011603","Drinking water score","newdrink","http://purl.obolibrary.org/obo/EUPATH_0000731","Household water","elicit_data_for_plos_reshaped_v3","Whether the household drinking water source was categorized as improved or unimproved, based on WHO definitions.; 0  for unimproved categories, 4 for improved categories","Household","Score of drinking water source; 0  for unimproved categories, 4 for improved categories","if cef_main_src_drinking = 1,2,3,4,5,8 then newdrink=4,; if cef_main_src_drinking = 6,7 then newdrink=0 ""unimproved","variable",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0010108","Drinking water treatment","cef_treat_water","http://purl.obolibrary.org/obo/EUPATH_0000731","Household water","elicit_data_for_plos_reshaped_v3",,"Household","Do they treat their water in any way to make it safer to drink?  If no, proceed to question 17.","1 = Yes; 0 = No","variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0010099","Main drinking water source","cef_main_src_drinking","http://purl.obolibrary.org/obo/EUPATH_0000731","Household water","elicit_data_for_plos_reshaped_v3",,"Household","What is the main source of drinking water for members of the household?","1 = Piped into dwelling; 2 = Piped to yard/plot; 3 = Public tap/stand pipe; 4 = Tube well or borehole; 5 = Protected well; 6 = Unprotected well; 7 = Surface water (river/dam/ lake/pond/stream/canal/ irrigation canal); 8 = Other","variable",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0049404","Time to water source >10 minutes","cef_walk_10mins_prim_watersrc","http://purl.obolibrary.org/obo/EUPATH_0000731","Household water","elicit_data_for_plos_reshaped_v3",,"Household","Do they have to walk more than 10 minutes to get to the primary water source?","1 = Yes; 0 = No","variable",,,,"ELICIT",,,,,,,,,
5,"http://purl.obolibrary.org/obo/EUPATH_0000700","Drinking water treatment method","cef_treat_water_how","http://purl.obolibrary.org/obo/EUPATH_0000731","Household water","elicit_data_for_plos_reshaped_v3",,"Household","What does the family usually   do to the water to make it safer to   drink?","1 = Let it stand and settle; 2 = Solar disinfection; 3 = Use water filter (ceramic /sand/ composite/etc.); 4 = Strain through a cloth; 5 = Add bleach/chlorine; 6 = Boil; 7 =  Other","variable",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0011606","Family income in USD","in.usd","http://purl.obolibrary.org/obo/EUPATH_0011680","Income","elicit_data_for_plos_reshaped_v3",,"Household","income in US dollars","cef_avg_mthly_income*0.00043","variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0000727","Family income in local currency","cef_avg_mthly_income","http://purl.obolibrary.org/obo/EUPATH_0011680","Income","elicit_data_for_plos_reshaped_v3",,"Household","What is the average monthly income for the entire household?",,"variable",,,,"ELICIT",,"TZS","http://purl.obolibrary.org/obo/EUPATH_0049454",,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0011601","Income score","incat","http://purl.obolibrary.org/obo/EUPATH_0011932","Socioeconomic status","elicit_data_for_plos_reshaped_v3",,"Household","income in US dollars in noniles",,"variable",,,,"ELICIT",,"USD","http://purl.obolibrary.org/obo/NCIT_C173109",,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0036220","Mother's education level","cef_mother_school_years","http://purl.obolibrary.org/obo/EUPATH_0010037","Individuals related to participant","elicit_data_for_plos_reshaped_v3",,"Participant","How many total years of school did the mother attend?",,"variable",,,,"ELICIT",,"years","http://purl.obolibrary.org/obo/UO_0000036",,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0000144","Assets",,"http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","elicit_data_for_plos_reshaped_v3",,"Household",,,"multifilter",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0011680","Income",,"http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0000019","Persons living in house count","cef_nbr_people_inhome","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","elicit_data_for_plos_reshaped_v3",,"Household","How many people live in this household?",,"variable",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0011708","Schooling",,"http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
5,"http://purl.obolibrary.org/obo/EUPATH_0011932","Socioeconomic status",,"http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","elicit_data_for_plos_reshaped_v3",,"Household",,,"category",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0000014","Household wealth index, numerical","asset","http://purl.obolibrary.org/obo/EUPATH_0011932","Socioeconomic status","elicit_data_for_plos_reshaped_v3","Sum of 8 assets scores. Household has: mattress,chair,table,tv,refrigertaor,bank account,kitchen, ; < 2 people per room. Positive reponses for each of these get a score of 1 while negative responses get 0.","Household","sum of 8 assets scores. Household has: mattress,chair,table,tv,refrigertaor,bank account,kitchen, ; < 2 people per room. Positive reponses for each of these get a score of 1 while negative responses get 0.","range 0-8","variable",,,,"ELICIT",,,,,,,,,
