uniqueVar	variable	values	mappedTerm	valueOrder
elicit_tac_datafile::irs_ran_subgroup_anti	irs_ran_subgroup_anti	ANTI-A	Placebo	1
elicit_tac_datafile::irs_ran_subgroup_anti	irs_ran_subgroup_anti	ANTI-B	Azithromycin	2
elicit_tac_datafile::irs_ran_subgroup_nic	irs_ran_subgroup_nic	NIC-A	Placebo	3
elicit_tac_datafile::irs_ran_subgroup_nic	irs_ran_subgroup_nic	NIC-B	Nicotinamide	4
elicit_tac_datafile::adenovirus_40_41	adenovirus_40_41	NA	:::UNDEF:::	
elicit_tac_datafile::campylobacter_jejuni_coli	campylobacter_jejuni_coli	NA	:::UNDEF:::	
elicit_tac_datafile::cryptosporidium	cryptosporidium	NA	:::UNDEF:::	
elicit_tac_datafile::e_bieneusi	e_bieneusi	NA	:::UNDEF:::	
elicit_tac_datafile::giardia	giardia	NA	:::UNDEF:::	
elicit_tac_datafile::norovirus_gii	norovirus_gii	NA	:::UNDEF:::	
elicit_tac_datafile::shigella_eiec	shigella_eiec	NA	:::UNDEF:::	
elicit_tac_datafile::eaec	eaec	NA	:::UNDEF:::	
elicit_tac_datafile::st_etec	st_etec	NA	:::UNDEF:::	
elicit_tac_datafile::lt_etec	lt_etec	NA	:::UNDEF:::	
elicit_tac_datafile::tepec	tepec	NA	:::UNDEF:::	
elicit_tac_datafile::stec	stec	NA	:::UNDEF:::	
elicit_tac_datafile::mpha	mpha	NA	:::UNDEF:::	
elicit_tac_datafile::ermb	ermb	NA	:::UNDEF:::	
elicit_tac_datafile::abxt	abxt	0	No	1
elicit_tac_datafile::abxt	abxt	1	Yes	2
elicit_tac_datafile::mac	mac	0	No	1
elicit_tac_datafile::mac	mac	1	Yes	2
elicit_tac_datafile::ceph	ceph	0	No	1
elicit_tac_datafile::ceph	ceph	1	Yes	2
elicit_tac_datafile::sulf	sulf	0	No	1
elicit_tac_datafile::sulf	sulf	1	Yes	2
elicit_tac_datafile::pen	pen	0	No	1
elicit_tac_datafile::pen	pen	1	Yes	2
elicit_tac_datafile::metro	metro	0	No	1
elicit_tac_datafile::metro	metro	1	Yes	2
elicit_tac_datafile::tetra	tetra	0	No	1
elicit_tac_datafile::tetra	tetra	1	Yes	2
elicit_tac_datafile::fluor	fluor	0	No	1
elicit_tac_datafile::fluor	fluor	1	Yes	2
