colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,unitLabel,unitIRI,repeated,is_temporal,mergeKey,is_featured,hidden,scale,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
7,ageindays,anthro,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,days,,,,,,,,,,,ageInDays,anthro::ageindays,int,651,NA,NA,43 to 1994,857,0,duplicated variable
8,ageinmonths,anthro,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,months,,,,,,,,,,,ageInMonths,anthro::ageinmonths,int,21,NA,NA,-999999999 to 65,65,0,duplicated variable
10,childsex,anthro,http://purl.obolibrary.org/obo/PATO_0000047,Sex,What is child's sex?,Participant,What is child's sex?,"1=male, 2=female",,,,,,,,,,,,,,,childSex,anthro::childsex,int,1,NA,NA,1 to 2,2,0,duplicated variable
21,height,anthro,http://purl.obolibrary.org/obo/EUPATH_0010075,Height,Child's height,Participant,,,,,,cm,,,,,,,,,,,height,anthro::height,dbl,78,NA,NA,46 to 119.233333333333,658,0,NA
25,malnutritionsigns__1,anthro,http://purl.obolibrary.org/obo/EUPATH_0015117,Bipedal edema,Malnutrition: Pedal edema,Participant,Select signs of Malnutrition: pedal edema,"-999999999= Missing, 0=No, 1=Yes",,,,,,,,,,,,,,,malnutritionSigns__1,anthro::malnutritionsigns__1,int,0,NA,NA,0 to 0,1,0,NA
26,malnutritionsigns__2,anthro,,Kwashiorkor,Malnutrition: Kwashiorkor,Participant,Select signs of Malnutrition: Kwashiorkor,"-999999999= Missing, 0=No, 1=Yes",,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,,,,,,,,,,malnutritionSigns__2,anthro::malnutritionsigns__2,int,0,NA,NA,-999999999 to 0,2,0,NA
27,malnutritionsigns__3,anthro,,Marasmus,Malnutrition: Marasmus,Participant,Select signs of Malnutrition: Marasmus,"-999999999= Missing, 0=No, 1=Yes",,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,,,,,,,,,,malnutritionSigns__3,anthro::malnutritionsigns__3,int,0,NA,NA,-999999999 to 1,3,0,NA
20,metric_height,anthro,http://purl.obolibrary.org/obo/EUPATH_0000719,Recumbent length or height used for stature,Height or length measured?,Participant,Height or length measured?,"1=height, 2=length",,,,,,,,,,,,,,,metric_height,anthro::metric_height,int,1,NA,NA,1 to 2,2,0,NA
24,muac,anthro,http://purl.obolibrary.org/obo/EUPATH_0010084,MUAC,Mid-upper arm circumference,Participant,,,,,,cm,,,,,,,,,,,MUAC,anthro::muac,dbl,13.5,NA,NA,10 to 18,60,0,NA
2,starttime,anthro,,Interview start time,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startTime,anthro::starttime,chr,11/19/19,date?,%Y-%m-%d,>10 unique values,46,0,duplicated variable
