variable	variable2	values	mappedTerms	valueOrder
gems1a_huas_lite_data_6_sites::diarrhea	gems1a_huas_lite_data_6_sites::diarrhea	0	No	2
gems1a_huas_lite_data_6_sites::diarrhea	gems1a_huas_lite_data_6_sites::diarrhea	1	Yes	1
gems1a_huas_lite_data_kenya::diarrhea	gems1a_huas_lite_data_kenya::diarrhea	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::diarrhea	gems1a_huas_lite_data_kenya::diarrhea	1	No	
gems1a_huas_lite_data_kenya::diarrhea	gems1a_huas_lite_data_kenya::diarrhea	2	Yes	
gems1a_huas_lite_data_kenya::diarrhea	gems1a_huas_lite_data_kenya::diarrhea	3	Don't know	
gems1a_huas_lite_data_kenya::drh_blood	gems1a_huas_lite_data_kenya::drh_blood	0	NA	4
gems1a_huas_lite_data_kenya::drh_blood	gems1a_huas_lite_data_kenya::drh_blood	1	No	2
gems1a_huas_lite_data_kenya::drh_blood	gems1a_huas_lite_data_kenya::drh_blood	2	Yes	1
gems1a_huas_lite_data_kenya::drh_blood	gems1a_huas_lite_data_kenya::drh_blood	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_blood	gems1a_huas_lite_data_6_sites::drh_blood	0	No	
gems1a_huas_lite_data_6_sites::drh_blood	gems1a_huas_lite_data_6_sites::drh_blood	1	Yes	
gems1a_huas_lite_data_6_sites::drh_blood	gems1a_huas_lite_data_6_sites::drh_blood	9	Don't know	
gems1a_huas_lite_data_kenya::drh_drink	gems1a_huas_lite_data_kenya::drh_drink	0	NA	4
gems1a_huas_lite_data_kenya::drh_drink	gems1a_huas_lite_data_kenya::drh_drink	1	No	2
gems1a_huas_lite_data_kenya::drh_drink	gems1a_huas_lite_data_kenya::drh_drink	2	Yes	1
gems1a_huas_lite_data_kenya::drh_drink	gems1a_huas_lite_data_kenya::drh_drink	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_drink	gems1a_huas_lite_data_6_sites::drh_drink	0	No	
gems1a_huas_lite_data_6_sites::drh_drink	gems1a_huas_lite_data_6_sites::drh_drink	1	Yes	
gems1a_huas_lite_data_6_sites::drh_drink	gems1a_huas_lite_data_6_sites::drh_drink	9	Don't know	
gems1a_huas_lite_data_kenya::drh_fever	gems1a_huas_lite_data_kenya::drh_fever	0	NA	4
gems1a_huas_lite_data_kenya::drh_fever	gems1a_huas_lite_data_kenya::drh_fever	1	No	2
gems1a_huas_lite_data_kenya::drh_fever	gems1a_huas_lite_data_kenya::drh_fever	2	Yes	1
gems1a_huas_lite_data_kenya::drh_fever	gems1a_huas_lite_data_kenya::drh_fever	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_fever	gems1a_huas_lite_data_6_sites::drh_fever	0	No	
gems1a_huas_lite_data_6_sites::drh_fever	gems1a_huas_lite_data_6_sites::drh_fever	1	Yes	
gems1a_huas_lite_data_6_sites::drh_fever	gems1a_huas_lite_data_6_sites::drh_fever	9	Don't know	
gems1a_huas_lite_data_kenya::drh_irritable	gems1a_huas_lite_data_kenya::drh_irritable	0	NA	4
gems1a_huas_lite_data_kenya::drh_irritable	gems1a_huas_lite_data_kenya::drh_irritable	1	No	2
gems1a_huas_lite_data_kenya::drh_irritable	gems1a_huas_lite_data_kenya::drh_irritable	2	Yes	1
gems1a_huas_lite_data_kenya::drh_irritable	gems1a_huas_lite_data_kenya::drh_irritable	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_irritable	gems1a_huas_lite_data_6_sites::drh_irritable	0	No	
gems1a_huas_lite_data_6_sites::drh_irritable	gems1a_huas_lite_data_6_sites::drh_irritable	1	Yes	
gems1a_huas_lite_data_6_sites::drh_irritable	gems1a_huas_lite_data_6_sites::drh_irritable	9	Don't know	
gems1a_huas_lite_data_kenya::drh_lethrgy	gems1a_huas_lite_data_kenya::drh_lethrgy	0	NA	4
gems1a_huas_lite_data_kenya::drh_lethrgy	gems1a_huas_lite_data_kenya::drh_lethrgy	1	No	2
gems1a_huas_lite_data_kenya::drh_lethrgy	gems1a_huas_lite_data_kenya::drh_lethrgy	2	Yes	1
gems1a_huas_lite_data_kenya::drh_lethrgy	gems1a_huas_lite_data_kenya::drh_lethrgy	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_lethrgy	gems1a_huas_lite_data_6_sites::drh_lethrgy	0	No	
gems1a_huas_lite_data_6_sites::drh_lethrgy	gems1a_huas_lite_data_6_sites::drh_lethrgy	1	Yes	
gems1a_huas_lite_data_6_sites::drh_lethrgy	gems1a_huas_lite_data_6_sites::drh_lethrgy	9	Don't know	
gems1a_huas_lite_data_kenya::drh_rice	gems1a_huas_lite_data_kenya::drh_rice	0	NA	4
gems1a_huas_lite_data_kenya::drh_rice	gems1a_huas_lite_data_kenya::drh_rice	1	No	2
gems1a_huas_lite_data_kenya::drh_rice	gems1a_huas_lite_data_kenya::drh_rice	2	Yes	1
gems1a_huas_lite_data_kenya::drh_rice	gems1a_huas_lite_data_kenya::drh_rice	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_rice	gems1a_huas_lite_data_6_sites::drh_rice	0	No	
gems1a_huas_lite_data_6_sites::drh_rice	gems1a_huas_lite_data_6_sites::drh_rice	1	Yes	
gems1a_huas_lite_data_6_sites::drh_rice	gems1a_huas_lite_data_6_sites::drh_rice	9	Don't know	
gems1a_huas_lite_data_kenya::drh_sunkeyes	gems1a_huas_lite_data_kenya::drh_sunkeyes	0	NA	4
gems1a_huas_lite_data_kenya::drh_sunkeyes	gems1a_huas_lite_data_kenya::drh_sunkeyes	1	No	2
gems1a_huas_lite_data_kenya::drh_sunkeyes	gems1a_huas_lite_data_kenya::drh_sunkeyes	2	Yes	1
gems1a_huas_lite_data_kenya::drh_sunkeyes	gems1a_huas_lite_data_kenya::drh_sunkeyes	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_sunkeyes	gems1a_huas_lite_data_6_sites::drh_sunkeyes	0	No	
gems1a_huas_lite_data_6_sites::drh_sunkeyes	gems1a_huas_lite_data_6_sites::drh_sunkeyes	1	Yes	
gems1a_huas_lite_data_6_sites::drh_sunkeyes	gems1a_huas_lite_data_6_sites::drh_sunkeyes	9	Don't know	
gems1a_huas_lite_data_kenya::drh_thirsty	gems1a_huas_lite_data_kenya::drh_thirsty	0	NA	4
gems1a_huas_lite_data_kenya::drh_thirsty	gems1a_huas_lite_data_kenya::drh_thirsty	1	No	2
