variable	variable2	values	mappedTerms	valueOrder
gems1_huas_data::admit	gems1_huas_data::admit	0	:::UNDEF:::	
gems1_huas_data::admit	gems1_huas_data::admit	1	No	2
gems1_huas_data::admit	gems1_huas_data::admit	2	Yes	1
gems1_huas_lite_data_6_sites::admit	gems1_huas_lite_data_6_sites::admit	0	No	2
gems1_huas_lite_data_6_sites::admit	gems1_huas_lite_data_6_sites::admit	1	Yes	1
gems1_huas_lite_data_6_sites::admit	gems1_huas_lite_data_6_sites::admit	9	:::UNDEF:::	
gems1_huas_lite_data_kenya::admit	gems1_huas_lite_data_kenya::admit	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::admit	gems1_huas_lite_data_kenya::admit	1	No	2
gems1_huas_lite_data_kenya::admit	gems1_huas_lite_data_kenya::admit	2	Yes	1
gems1_huas_lite_data_kenya::admit	gems1_huas_lite_data_kenya::admit	3	:::UNDEF:::	
gems1_huas_data::advise	gems1_huas_data::advise	0	:::UNDEF:::	
gems1_huas_data::advise	gems1_huas_data::advise	1	No	2
gems1_huas_data::advise	gems1_huas_data::advise	2	Yes	1
gems1_huas_data::agecat	gems1_huas_data::agecat	1	0-11 months	1
gems1_huas_data::agecat	gems1_huas_data::agecat	2	12-23 months	2
gems1_huas_data::agecat	gems1_huas_data::agecat	3	24-59 months	3
gems1_huas_data::agestratum	gems1_huas_data::agestratum	0	:::UNDEF:::	
gems1_huas_data::agestratum	gems1_huas_data::agestratum	1	0-11 months	1
gems1_huas_data::agestratum	gems1_huas_data::agestratum	2	12-23 months	2
gems1_huas_data::agestratum	gems1_huas_data::agestratum	3	24-59 months	3
gems1_huas_lite_data_kenya::agestratum	gems1_huas_lite_data_kenya::agestratum	1	0-11 months	1
gems1_huas_lite_data_kenya::agestratum	gems1_huas_lite_data_kenya::agestratum	2	12-23 months	2
gems1_huas_lite_data_kenya::agestratum	gems1_huas_lite_data_kenya::agestratum	3	24-59 months	3
gems1_huas_data::agree_doc	gems1_huas_data::agree_doc	0	:::UNDEF:::	
gems1_huas_data::agree_doc	gems1_huas_data::agree_doc	1	No	2
gems1_huas_data::agree_doc	gems1_huas_data::agree_doc	2	Yes	1
gems1_huas_data::careseek	gems1_huas_data::careseek	0	No	2
gems1_huas_data::careseek	gems1_huas_data::careseek	1	Yes	1
gems1_huas_data::chldget_blood	gems1_huas_data::chldget_blood	1	No	2
gems1_huas_data::chldget_blood	gems1_huas_data::chldget_blood	2	Yes	1
gems1_huas_data::chldget_blood	gems1_huas_data::chldget_blood	3	Don't know	3
gems1_huas_data::chldget_loose	gems1_huas_data::chldget_loose	1	No	2
gems1_huas_data::chldget_loose	gems1_huas_data::chldget_loose	2	Yes	1
gems1_huas_data::chldget_loose	gems1_huas_data::chldget_loose	3	Don't know	3
gems1_huas_data::chldget_rice	gems1_huas_data::chldget_rice	1	No	2
gems1_huas_data::chldget_rice	gems1_huas_data::chldget_rice	2	Yes	1
gems1_huas_data::chldget_rice	gems1_huas_data::chldget_rice	3	Don't know	3
gems1_huas_data::common_drh	gems1_huas_data::common_drh	1	Simple loose/watery diarrhea	1
gems1_huas_data::common_drh	gems1_huas_data::common_drh	2	Rice watery/cholera-like illness	2
gems1_huas_data::common_drh	gems1_huas_data::common_drh	3	Don't know	4
gems1_huas_data::common_drh	gems1_huas_data::common_drh	4	Bloody diarrhea	3
gems1_huas_data::common_drh	gems1_huas_data::common_drh	5	Other	5
gems1_huas_data::dad_live	gems1_huas_data::dad_live	1	Lives in household	1
gems1_huas_data::dad_live	gems1_huas_data::dad_live	2	Abroad	2
gems1_huas_data::dad_live	gems1_huas_data::dad_live	3	Died	5
gems1_huas_data::dad_live	gems1_huas_data::dad_live	4	Lives outside of household	3
gems1_huas_data::dad_live	gems1_huas_data::dad_live	5	Whereabouts unknown	4
gems1_huas_data::died_blood	gems1_huas_data::died_blood	1	No	2
gems1_huas_data::died_blood	gems1_huas_data::died_blood	2	Yes	1
gems1_huas_data::died_loose	gems1_huas_data::died_loose	1	No	2
gems1_huas_data::died_loose	gems1_huas_data::died_loose	2	Yes	1
gems1_huas_data::died_rice	gems1_huas_data::died_rice	1	No	2
gems1_huas_data::died_rice	gems1_huas_data::died_rice	2	Yes	1
gems1_huas_data::drh_blood	gems1_huas_data::drh_blood	0	:::UNDEF:::	
gems1_huas_data::drh_blood	gems1_huas_data::drh_blood	1	No	2
gems1_huas_data::drh_blood	gems1_huas_data::drh_blood	2	Yes	1
gems1_huas_data::drh_blood	gems1_huas_data::drh_blood	3	Don't know	3
gems1_huas_data::drh_blood	gems1_huas_data::drh_blood	9	:::UNDEF:::
gems1_huas_data::drh_blood	gems1_huas_data::drh_blood	NA	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_blood	gems1_huas_lite_data_kenya::drh_blood	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_blood	gems1_huas_lite_data_kenya::drh_blood	1	No	2
gems1_huas_lite_data_kenya::drh_blood	gems1_huas_lite_data_kenya::drh_blood	2	Yes	1
gems1_huas_lite_data_kenya::drh_blood	gems1_huas_lite_data_kenya::drh_blood	3	Don't know	3
gems1_huas_lite_data_kenya::drh_blood	gems1_huas_lite_data_kenya::drh_blood	9	:::UNDEF:::
gems1_huas_lite_data_kenya::drh_blood	gems1_huas_lite_data_kenya::drh_blood	NA	:::UNDEF:::	
gems1_huas_lite_data_6_sites::drh_blood	gems1_huas_lite_data_6_sites::drh_blood	0	No	2	
gems1_huas_lite_data_6_sites::drh_blood	gems1_huas_lite_data_6_sites::drh_blood	1	Yes	1
gems1_huas_lite_data_6_sites::drh_blood	gems1_huas_lite_data_6_sites::drh_blood	2	Yes	1
gems1_huas_lite_data_6_sites::drh_blood	gems1_huas_lite_data_6_sites::drh_blood	9	Don't know	3
gems1_huas_lite_data_6_sites::drh_blood	gems1_huas_lite_data_6_sites::drh_blood	NA	:::UNDEF:::	
gems1_huas_data::drh_coma	gems1_huas_data::drh_coma	0	:::UNDEF:::	
gems1_huas_data::drh_coma	gems1_huas_data::drh_coma	1	No	2
gems1_huas_data::drh_coma	gems1_huas_data::drh_coma	2	Yes	1
gems1_huas_data::drh_coma	gems1_huas_data::drh_coma	3	Don't know	3
gems1_huas_data::drh_cont	gems1_huas_data::drh_cont	0	:::UNDEF:::	
gems1_huas_data::drh_cont	gems1_huas_data::drh_cont	1	No	2
gems1_huas_data::drh_cont	gems1_huas_data::drh_cont	2	Yes	1
gems1_huas_data::drh_decurin	gems1_huas_data::drh_decurin	0	:::UNDEF:::	
gems1_huas_data::drh_decurin	gems1_huas_data::drh_decurin	1	No	2
gems1_huas_data::drh_decurin	gems1_huas_data::drh_decurin	2	Yes	1
gems1_huas_data::drh_decurin	gems1_huas_data::drh_decurin	3	Don't know	3
gems1_huas_lite_data_6_sites::drh_drink	gems1_huas_lite_data_6_sites::drh_drink	0	No	2
gems1_huas_lite_data_6_sites::drh_drink	gems1_huas_lite_data_6_sites::drh_drink	1	Yes	1
gems1_huas_lite_data_6_sites::drh_drink	gems1_huas_lite_data_6_sites::drh_drink	9	Don't know	3
gems1_huas_lite_data_kenya::drh_drink	gems1_huas_lite_data_kenya::drh_drink	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_drink	gems1_huas_lite_data_kenya::drh_drink	1	No	2
gems1_huas_lite_data_kenya::drh_drink	gems1_huas_lite_data_kenya::drh_drink	2	Yes	1
gems1_huas_lite_data_kenya::drh_drink	gems1_huas_lite_data_kenya::drh_drink	3	Don't know	3
gems1_huas_data::drh_dry	gems1_huas_data::drh_dry	0	:::UNDEF:::	
gems1_huas_data::drh_dry	gems1_huas_data::drh_dry	1	No	2
gems1_huas_data::drh_dry	gems1_huas_data::drh_dry	2	Yes	1
gems1_huas_data::drh_dry	gems1_huas_data::drh_dry	3	Don't know	3
gems1_huas_data::drh_fever	gems1_huas_data::drh_fever	0	:::UNDEF:::	
gems1_huas_data::drh_fever	gems1_huas_data::drh_fever	1	No	2
gems1_huas_data::drh_fever	gems1_huas_data::drh_fever	2	Yes	1
gems1_huas_data::drh_fever	gems1_huas_data::drh_fever	3	Don't know	3
gems1_huas_lite_data_6_sites::drh_fever	gems1_huas_lite_data_6_sites::drh_fever	0	No	2
gems1_huas_lite_data_6_sites::drh_fever	gems1_huas_lite_data_6_sites::drh_fever	1	Yes	1
gems1_huas_lite_data_6_sites::drh_fever	gems1_huas_lite_data_6_sites::drh_fever	9	Don't know	3
gems1_huas_lite_data_kenya::drh_fever	gems1_huas_lite_data_kenya::drh_fever	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_fever	gems1_huas_lite_data_kenya::drh_fever	1	No	2
gems1_huas_lite_data_kenya::drh_fever	gems1_huas_lite_data_kenya::drh_fever	2	Yes	1
gems1_huas_lite_data_kenya::drh_fever	gems1_huas_lite_data_kenya::drh_fever	3	Don't know	3
gems1_huas_lite_data_6_sites::drh_irritable	gems1_huas_lite_data_6_sites::drh_irritable	0	No	2
gems1_huas_lite_data_6_sites::drh_irritable	gems1_huas_lite_data_6_sites::drh_irritable	1	Yes	1
gems1_huas_lite_data_6_sites::drh_irritable	gems1_huas_lite_data_6_sites::drh_irritable	9	Don't know	3
gems1_huas_lite_data_kenya::drh_irritable	gems1_huas_lite_data_kenya::drh_irritable	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_irritable	gems1_huas_lite_data_kenya::drh_irritable	1	No	2
gems1_huas_lite_data_kenya::drh_irritable	gems1_huas_lite_data_kenya::drh_irritable	2	Yes	1
gems1_huas_lite_data_kenya::drh_irritable	gems1_huas_lite_data_kenya::drh_irritable	3	Don't know	3
gems1_huas_data::drh_lethrgy	gems1_huas_data::drh_lethrgy	0	:::UNDEF:::	
gems1_huas_data::drh_lethrgy	gems1_huas_data::drh_lethrgy	1	No	2
gems1_huas_data::drh_lethrgy	gems1_huas_data::drh_lethrgy	2	Yes	1
gems1_huas_data::drh_lethrgy	gems1_huas_data::drh_lethrgy	3	Don't know	3
gems1_huas_lite_data_kenya::drh_lethrgy	gems1_huas_lite_data_kenya::drh_lethrgy	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_lethrgy	gems1_huas_lite_data_kenya::drh_lethrgy	1	No	2
gems1_huas_lite_data_kenya::drh_lethrgy	gems1_huas_lite_data_kenya::drh_lethrgy	2	Yes	1
gems1_huas_lite_data_kenya::drh_lethrgy	gems1_huas_lite_data_kenya::drh_lethrgy	3	Don't know	3
gems1_huas_lite_data_6_sites::drh_lethrgy	gems1_huas_lite_data_6_sites::drh_lethrgy	0	No	2	
gems1_huas_lite_data_6_sites::drh_lethrgy	gems1_huas_lite_data_6_sites::drh_lethrgy	1	Yes	1
gems1_huas_lite_data_6_sites::drh_lethrgy	gems1_huas_lite_data_6_sites::drh_lethrgy	9	Don't know	3
gems1_huas_data::drh_mucus	gems1_huas_data::drh_mucus	0	:::UNDEF:::	
gems1_huas_data::drh_mucus	gems1_huas_data::drh_mucus	1	No	2
gems1_huas_data::drh_mucus	gems1_huas_data::drh_mucus	2	Yes	1
gems1_huas_data::drh_mucus	gems1_huas_data::drh_mucus	3	Don't know	3
gems1_huas_data::drh_rice	gems1_huas_data::drh_rice	0	:::UNDEF:::	
gems1_huas_data::drh_rice	gems1_huas_data::drh_rice	1	No	2
gems1_huas_data::drh_rice	gems1_huas_data::drh_rice	2	Yes	1
gems1_huas_data::drh_rice	gems1_huas_data::drh_rice	3	Don't know	3
gems1_huas_lite_data_kenya::drh_rice	gems1_huas_lite_data_kenya::drh_rice	0	:::UNDEF:::
gems1_huas_lite_data_kenya::drh_rice	gems1_huas_lite_data_kenya::drh_rice	1	No	2
gems1_huas_lite_data_kenya::drh_rice	gems1_huas_lite_data_kenya::drh_rice	2	Yes	1
gems1_huas_lite_data_kenya::drh_rice	gems1_huas_lite_data_kenya::drh_rice	3	Don't know	3
gems1_huas_lite_data_6_sites::drh_rice	gems1_huas_lite_data_6_sites::drh_rice	0	No	2	
gems1_huas_lite_data_6_sites::drh_rice	gems1_huas_lite_data_6_sites::drh_rice	1	Yes	1
gems1_huas_lite_data_6_sites::drh_rice	gems1_huas_lite_data_6_sites::drh_rice	9	Don't know	3
gems1_huas_data::drh_sunkeyes	gems1_huas_data::drh_sunkeyes	0	:::UNDEF:::	
gems1_huas_data::drh_sunkeyes	gems1_huas_data::drh_sunkeyes	1	No	2
gems1_huas_data::drh_sunkeyes	gems1_huas_data::drh_sunkeyes	2	Yes	1
gems1_huas_data::drh_sunkeyes	gems1_huas_data::drh_sunkeyes	3	Don't know	3
gems1_huas_lite_data_6_sites::drh_sunkeyes	gems1_huas_lite_data_6_sites::drh_sunkeyes	0	No	2
gems1_huas_lite_data_6_sites::drh_sunkeyes	gems1_huas_lite_data_6_sites::drh_sunkeyes	1	Yes	1
gems1_huas_lite_data_6_sites::drh_sunkeyes	gems1_huas_lite_data_6_sites::drh_sunkeyes	9	Don't know	3
gems1_huas_lite_data_kenya::drh_sunkeyes	gems1_huas_lite_data_kenya::drh_sunkeyes	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::drh_sunkeyes	gems1_huas_lite_data_kenya::drh_sunkeyes	1	No	2
gems1_huas_lite_data_kenya::drh_sunkeyes	gems1_huas_lite_data_kenya::drh_sunkeyes	2	Yes	1
