variable	variable2	values	mappedTerm	valueOrder
jilindequestionnaire_data_2022-02-01_0550::x2	jilindequestionnaire_data_2022-02-01_0550::x2	1	English	
jilindequestionnaire_data_2022-02-01_0550::x2	jilindequestionnaire_data_2022-02-01_0550::x2	2	Kiswahili	
jilindequestionnaire_data_2022-02-01_0550::x3	jilindequestionnaire_data_2022-02-01_0550::x3	0	Yes	
jilindequestionnaire_data_2022-02-01_0550::x3	jilindequestionnaire_data_2022-02-01_0550::x3	1	No	
jilindequestionnaire_data_2022-02-01_0550::x5	jilindequestionnaire_data_2022-02-01_0550::x5	Don't  trust people even if I assure him confidentiality	Don't trust people even if I assure him confidentiality	
jilindequestionnaire_data_2022-02-01_0550::x6	jilindequestionnaire_data_2022-02-01_0550::x6	1	Yes	
jilindequestionnaire_data_2022-02-01_0550::x6	jilindequestionnaire_data_2022-02-01_0550::x6	2	No	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	1	County011	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	2	County014	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	3	County002	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	4	County006	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	5	County010	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	6	County008	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	7	County005	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	8	County003	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	9	County012	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	10	County004	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	11	County009	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	12	County001	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	13	County015	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	14	County007	
jilindequestionnaire_data_2022-02-01_0550::x8	jilindequestionnaire_data_2022-02-01_0550::x8	15	County012	
jilindequestionnaire_data_2022-02-01_0550::x9	jilindequestionnaire_data_2022-02-01_0550::x9	1	FSW	
jilindequestionnaire_data_2022-02-01_0550::x9	jilindequestionnaire_data_2022-02-01_0550::x9	2	MSM	
jilindequestionnaire_data_2022-02-01_0550::x9	jilindequestionnaire_data_2022-02-01_0550::x9	3	AGYW	
jilindequestionnaire_data_2022-02-01_0550::x10	jilindequestionnaire_data_2022-02-01_0550::x10	1	Urban	
jilindequestionnaire_data_2022-02-01_0550::x10	jilindequestionnaire_data_2022-02-01_0550::x10	2	Peri urban	
jilindequestionnaire_data_2022-02-01_0550::x10	jilindequestionnaire_data_2022-02-01_0550::x10	3	Rural	
