variable	variable2	values	mappedTerm	valueOrder
jilindehealthcarepro_data_2021-12-15_0958::x2	jilindehealthcarepro_data_2021-12-15_0958::x2	12_months_follow_u_arm_1	12 months follow-up	3
jilindehealthcarepro_data_2021-12-15_0958::x2	jilindehealthcarepro_data_2021-12-15_0958::x2	6_months_follow_up_arm_1	6 months follow-up	2
jilindehealthcarepro_data_2021-12-15_0958::x2	jilindehealthcarepro_data_2021-12-15_0958::x2	baseline_arm_1	baseline 	1
jilindehealthcarepro_data_2021-12-15_0958::x6	jilindehealthcarepro_data_2021-12-15_0958::x6	Cluster 1	Cluster 1	1
jilindehealthcarepro_data_2021-12-15_0958::x6	jilindehealthcarepro_data_2021-12-15_0958::x6	Cluster 2	Cluster 2	2
jilindehealthcarepro_data_2021-12-15_0958::x6	jilindehealthcarepro_data_2021-12-15_0958::x6	Cluster 3	Cluster 3	3
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County001	County001	1
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County002	County002	2
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County003	County003	3
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County004	County004	4
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County005	County005	5
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County006	County006	6
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County007	County007	7
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County008	County008	8
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County009	County009	9
jilindehealthcarepro_data_2021-12-15_0958::x7	jilindehealthcarepro_data_2021-12-15_0958::x7	County010	County010	10
jilindehealthcarepro_data_2021-12-15_0958::x11	jilindehealthcarepro_data_2021-12-15_0958::x11	1	Male	1
jilindehealthcarepro_data_2021-12-15_0958::x11	jilindehealthcarepro_data_2021-12-15_0958::x11	2	Female	2
jilindehealthcarepro_data_2021-12-15_0958::x13	jilindehealthcarepro_data_2021-12-15_0958::x13	1	Single / Never Married	1
jilindehealthcarepro_data_2021-12-15_0958::x13	jilindehealthcarepro_data_2021-12-15_0958::x13	2	Married/ In Union	2
jilindehealthcarepro_data_2021-12-15_0958::x13	jilindehealthcarepro_data_2021-12-15_0958::x13	3	Living Together	3
jilindehealthcarepro_data_2021-12-15_0958::x13	jilindehealthcarepro_data_2021-12-15_0958::x13	4	" Widowed, Separated, Divorced"	4
