IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0054001,A sex partner got HIV,jilinde_coh_2022aug::risk_medium_HIV,1,jilinde_coh_2022aug,Why do you say that your risk of HIV is high or medium? (choice=A sex partner got HIV),Participant,http://purl.obolibrary.org/obo/EUPATH_0054235,Reason for saying you are at high or medium risk of HIV,34. Why do you say that your risk of HIV is high or medium?  (choice=A sex partner got HIV),,value,yes,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054002,A sex partner was/is sick or died,jilinde_coh_2022aug::risk_medium_sick,2,jilinde_coh_2022aug,Why do you say that your risk of HIV is high or medium? (choice=A sex partner was/is sick or died),Participant,http://purl.obolibrary.org/obo/EUPATH_0054235,Reason for saying you are at high or medium risk of HIV,34. Why do you say that your risk of HIV is high or medium?  (choice=A sex partner was/is sick or died),,value,yes,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054003,Accessed STI and HIV/AIDS prevention services for AGYW,jilinde_coh_2022aug::service_dice_agyw,19,jilinde_coh_2022aug,"Have you ever accessed services from an organization that provides services specifically for adolescents girls and young women (AGYW) related to HIV / AIDS, including HIV / AIDS prevention services, such as condom distribution, HIV testing, risk reduction counseling, sexually transmitted infection screening, etc.?",Participant,http://purl.obolibrary.org/obo/EUPATH_0054343,HIV/AIDS and STIs,"109. Have you ever accessed services from an organization that provides services specifically for adolescents girls and young women (AGYW) related to HIV / AIDS, including HIV / AIDS prevention services, such as condom distribution, HIV testing, risk reduction counseling, sexually transmitted infection screening, etc.?",,variable,,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054004,Accessed STI and HIV/AIDS prevention services for MSM,jilinde_coh_2022aug::service_dice_msm,11,jilinde_coh_2022aug,"Have you ever accessed services from an organization that provides services specifically for men who have sex with men (MSM) related to HIV AIDS, including HIV AIDS prevention services, such as condom distribution, HIV testing, risk reduction counseling, sexually transmitted infection screening, etc.?",Participant,http://purl.obolibrary.org/obo/EUPATH_0054343,HIV/AIDS and STIs,"94. Have you ever accessed services from an organization that provides services specifically for men who have sex with men (MSM) related to HIV AIDS, including HIV AIDS prevention services, such as condom distribution, HIV testing, risk reduction counseling, sexually transmitted infection screening, etc.?",,variable,,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054005,Accessed STI and HIV/AIDS prevention services for sex workers,jilinde_coh_2022aug::service_dice_csw,15,jilinde_coh_2022aug,"Have you ever accessed services from an organization that provides services specifically for sex workers (SW) related to HIV / AIDS, including HIV / AIDS prevention services, such as condom distribution, HIV testing, risk reduction counseling, sexually transmitted infection screening, etc.?",Participant,http://purl.obolibrary.org/obo/EUPATH_0054343,HIV/AIDS and STIs,"98. Have you ever accessed services from an organization that provides services specifically for sex workers (SW) related to HIV / AIDS, including HIV / AIDS prevention services, such as condom distribution, HIV testing, risk reduction counseling, sexually transmitted infection screening, etc.?",,variable,,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,9,jilinde_coh_2022aug,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054006,Adolescent girl/young women,jilinde_coh_2022aug::identity_group_agyw,4,jilinde_coh_2022aug,I would now want to ask you whether you consider yourself a part of one or more of the following groups: - [for males only] men who have sex with men (MSM) - a sex worker (SW) - [for females only] a young woman between the age of 18-24 yrs (adolescent girl/young woman) (choice=Adolescent girl/young women),Participant,http://purl.obolibrary.org/obo/EUPATH_0054277,Self-defined group,93. I would now want to ask you whether you consider yourself a part of one or more of the following groups:   - [for males only] men who have sex with men (MSM)   - a sex worker (SW)   - [for females only] a young woman between the age of 18-24 yrs (adolescent girl/young woman)   (choice=Adolescent girl/young women),,value,yes,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001169,Age,jilinde_coh_2022aug::age,1,jilinde_coh_2022aug,What is your age at your last birthday?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,1. What is your age at Last Birthday?,,variable,,yes,,Jilinde_prospective_cohort,years,http://purl.obolibrary.org/obo/UO_0000036,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054008,Age at first time sex with female,jilinde_coh_2022aug::age_first_sex,4,jilinde_coh_2022aug,"How old were you the first time you had sex with a girl or a women? [For men, including transgender men, only] ",Participant,http://purl.obolibrary.org/obo/EUPATH_0053598,Sexual behavior,38. How old were you the first time you had sex with a girl or a women?,,variable,,,,Jilinde_prospective_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054007,Age at first time sex with male,jilinde_coh_2022aug::age_at_first_sex,7,jilinde_coh_2022aug,How old were you the first time you had sex with a boy or a man?,Participant,http://purl.obolibrary.org/obo/EUPATH_0053598,Sexual behavior,41. How old were you the first time you had sex with a boy or a man?,,variable,,,,Jilinde_prospective_cohort,,,,,,,,,
