variable	variable2	values	mappedTerm	valueOrder
jilinde_coh_2022aug::event_name	jilinde_coh_2022aug::event_name	12 Months Follow Up	12 months follow-up	4
jilinde_coh_2022aug::event_name	jilinde_coh_2022aug::event_name	3 Months Follow Up	3 months follow-up	2
jilinde_coh_2022aug::event_name	jilinde_coh_2022aug::event_name	6 Months Follow Up	6 months follow-up	3
jilinde_coh_2022aug::event_name	jilinde_coh_2022aug::event_name	Baseline	Baseline	1
jilinde_coh_2022aug::event_name	jilinde_coh_2022aug::event_name	Baseline	Baseline	
jilinde_coh_2022aug::cluster	jilinde_coh_2022aug::cluster	Cluster 1	Cluster 1	
jilinde_coh_2022aug::cluster	jilinde_coh_2022aug::cluster	Cluster 2	Cluster 2	
jilinde_coh_2022aug::cluster	jilinde_coh_2022aug::cluster	Cluster 3	Cluster 3	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County001	County001	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County002	County002	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County003	County003	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County004	County004	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County005	County005	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County006	County006	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County008	County008	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County009	County009	
jilinde_coh_2022aug::county	jilinde_coh_2022aug::county	County010	County010	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility002	Facility002	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility003	Facility003	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility005	Facility005	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility008	Facility008	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility009	Facility009	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility010	Facility010	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility012	Facility012	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility014	Facility014	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility020	Facility020	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility022	Facility022	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility025	Facility025	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility026	Facility026	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility027	Facility027	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility028	Facility028	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility029	Facility029	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility032	Facility032	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility036	Facility036	
jilinde_coh_2022aug::fac_name	jilinde_coh_2022aug::fac_name	Facility037	Facility037	
jilinde_coh_2022aug::data_verification_form_complete	jilinde_coh_2022aug::data_verification_form_complete	Complete	Complete	1
jilinde_coh_2022aug::data_verification_form_complete	jilinde_coh_2022aug::data_verification_form_complete	Incomplete	Incomplete	2
jilinde_coh_2022aug::data_verification_form_complete	jilinde_coh_2022aug::data_verification_form_complete	Unverified	Unverified	3
jilinde_coh_2022aug::follow_up_q1a	jilinde_coh_2022aug::follow_up_q1a	No	No	
jilinde_coh_2022aug::follow_up_q1a	jilinde_coh_2022aug::follow_up_q1a	Yes	Yes	
jilinde_coh_2022aug::follow_up_q1b	jilinde_coh_2022aug::follow_up_q1b	12 month (approximate)	12 month (approximate)	3
jilinde_coh_2022aug::follow_up_q1b	jilinde_coh_2022aug::follow_up_q1b	3 month (approximate)	3 month (approximate)	1
jilinde_coh_2022aug::follow_up_q1b	jilinde_coh_2022aug::follow_up_q1b	6 month (approximate)	6 month (approximate)	2
jilinde_coh_2022aug::follow_up_q1b	jilinde_coh_2022aug::follow_up_q1b	Other	Other	4
jilinde_coh_2022aug::other_timing	jilinde_coh_2022aug::other_timing	1 Month	1 month	
jilinde_coh_2022aug::other_timing	jilinde_coh_2022aug::other_timing	2 months	2 months	
jilinde_coh_2022aug::other_timing	jilinde_coh_2022aug::other_timing	5 month	5 months	
jilinde_coh_2022aug::other_timing	jilinde_coh_2022aug::other_timing	5 months	5 months	
jilinde_coh_2022aug::other_timing	jilinde_coh_2022aug::other_timing	Lost to follow up	Lost to follow-up	
jilinde_coh_2022aug::other_timing	jilinde_coh_2022aug::other_timing	Lost to follow- up	Lost to follow-up	
jilinde_coh_2022aug::other_timing	jilinde_coh_2022aug::other_timing	Migosi	:::UNDEF:::	
jilinde_coh_2022aug::follow_up_q1d	jilinde_coh_2022aug::follow_up_q1d	At another location requested by the participants	At another location requested by the participants	
jilinde_coh_2022aug::follow_up_q1d	jilinde_coh_2022aug::follow_up_q1d	At the participant's home	At the participant's home	
jilinde_coh_2022aug::follow_up_q1d	jilinde_coh_2022aug::follow_up_q1d	At the service delivery point after the client failed to follow-up but was contacted and persuaded to return for the Follow-up Survey	At the service delivery point after the client failed to follow-up but was contacted and persuaded to return for the follow-up survey	
jilinde_coh_2022aug::follow_up_q1d	jilinde_coh_2022aug::follow_up_q1d	Over the telephone	Over the telephone	
jilinde_coh_2022aug::demographics_form_complete	jilinde_coh_2022aug::demographics_form_complete	Complete	Complete	1
jilinde_coh_2022aug::demographics_form_complete	jilinde_coh_2022aug::demographics_form_complete	Incomplete	Incomplete	2
jilinde_coh_2022aug::demographics_form_complete	jilinde_coh_2022aug::demographics_form_complete	Unverified	Unverified	3
jilinde_coh_2022aug::sex	jilinde_coh_2022aug::sex	Female	Female	
jilinde_coh_2022aug::sex	jilinde_coh_2022aug::sex	Male	Male	
jilinde_coh_2022aug::sex	jilinde_coh_2022aug::sex	Other	:::UNDEF:::	
jilinde_coh_2022aug::other_sex	jilinde_coh_2022aug::other_sex	Neither male or female	Neither male or female	
jilinde_coh_2022aug::gender	jilinde_coh_2022aug::gender	Don't Know	:::UNDEF:::	
jilinde_coh_2022aug::gender	jilinde_coh_2022aug::gender	Female	Female	2
jilinde_coh_2022aug::gender	jilinde_coh_2022aug::gender	Intersex	Intersex	3
