file	category	id
hh_00m	community	cluster
hh_06m	community	cluster
hh_12m	community	cluster
hh_18m	community	cluster
hh_00m	household	hhid
hh_06m	household	hhid
hh_12m	household	hhid
hh_18m	household	hhid
hh_member_00m	household	hhid
hh_member_06m	household	hhid
hh_member_12m	household	hhid
hh_member_18m	household	hhid
hh_member_00m	participant	pid
hh_member_06m	participant	pid
hh_member_12m	participant	pid
hh_member_18m	participant	pid
hh_member_00m	sample	pid
hh_member_06m	sample	pid
hh_member_12m	sample	pid
hh_member_18m	sample	pid
