variable	variable2	values	mappedTerm	valueOrder
household level data 25m survey_final::survey	household level data 25m survey_final::survey	5	25 months	""
household level data 25m survey_final::enrolled	household level data 25m survey_final::enrolled	0	No	""
household level data 25m survey_final::enrolled	household level data 25m survey_final::enrolled	1	Yes	""
household level data 25m survey_final::conducting_survey	household level data 25m survey_final::conducting_survey	0	No	""
household level data 25m survey_final::conducting_survey	household level data 25m survey_final::conducting_survey	1	Yes	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	-9	:::UNDEF:::	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	1	Dwelling destroyed or not found	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	2	Household vacant	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	3	Unable to locate adult	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	4	No household resident between 2-10 years of age present (with an adult caregiver willing to provide informed consent for the clinical survey)	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	5	No adult aged 18 years or older	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	6	Adult was not usual resident who was present in this household the previous night	""
household level data 25m survey_final::exclreason	household level data 25m survey_final::exclreason	7	 Adult resident not willing to provide informed consent	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	-9	:::UNDEF:::	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	10	Borehole	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	11	Piped into dwelling	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	12	Piped into the yard or compound	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	13	Public or private tap	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	21	Open well in yard or compound	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	22	Open public well	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	31	Protected well in yard or compound	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	32	Protected public well	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	41	Protected spring	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	42	Unprotected spring	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	43	River or stream	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	44	Pond, lake, or swamp	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	45	Dam	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	51	Rainwater	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	61	Water truck	""
household level data 25m survey_final::swater	household level data 25m survey_final::swater	96	:::UNDEF:::	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	-9	:::UNDEF:::	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	BOUGHT FROM HAWKERS	BOUGHT FROM HAWKERS	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	BUY FROM HAWKERS	BUY FROM HAWKERS	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	GRAVITATINAL	GRAVITATINAL	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	GRAVITIONAL	GRAVITIONAL	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	SHALLOW WELL	Open public well	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	WATER TANK AT HOME	WATER TANK AT HOME	""
household level data 25m survey_final::otherscs	household level data 25m survey_final::otherscs	WATER TANK BUILT AT HOME	WATER TANK BUILT AT HOME	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	-9	:::UNDEF:::	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	1	Flush toilet	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	2	Ventilated improved pit (VIP) latrine	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	3	Covered pit latrine without slab	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	4	Covered pit latrine with slab	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	5	Uncovered pit latrine without slab	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	6	Uncovered pit latrine with slab	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	7	Composting toilet	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	8	No facility, bush, or field	""
household level data 25m survey_final::tfaclty	household level data 25m survey_final::tfaclty	96	:::UNDEF:::	""
household level data 25m survey_final::otherfcy	household level data 25m survey_final::otherfcy	-9	:::UNDEF:::	""
household level data 25m survey_final::otherfcy	household level data 25m survey_final::otherfcy	PIT WITHOUT STRUCTURE MOUNTED ON IT	PIT WITHOUT STRUCTURE MOUNTED ON IT	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	-9	:::UNDEF:::	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	1	Electricity	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	2	Natural gas or liquefied petroleum gas	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	3	Biogas	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	4	Paraffin or kerosene	""
