old_label,new_label,IRI
Household Food Access Insecurity Scale (HFAIS),Household Food Insecurity Access Scale (HFIAS),EUPATH_0011145
Diarrheal sample collected at visit,Diarrheal stool collected at visit,EUPATH_0010537
Target month for blood sample collection,Target month for blood collection,EUPATH_0011929
Target month for stool sample collection,Target month for stool collection,EUPATH_0011851
Target month for urine sample collection,Target month for urine collection,EUPATH_0011930
Cumulative sum bacteria species in stool samples,Cumulative sum bacteria species in stools,EUPATH_0010898
Mean bacteria species count in stool samples,Mean bacteria species count in stools,EUPATH_0010879
"Cumulative sum 1st diarrheal stools with other organisms, by modified acid stain microscopy","Cumulative sum 1st diarrheal stools with other parasites, by modified acid stain microscopy",EUPATH_0010764
"Cumulative sum 1st diarrheal stools with other organisms, by wet prep microscopy","Cumulative sum 1st diarrheal stools with other parasites, by wet prep microscopy",EUPATH_0010784
"Cumulative sum 1st monthly stools with other organisms, by modified acid stain microscopy","Cumulative sum 1st monthly stools with other parasites, by modified acid stain microscopy",EUPATH_0010765
"Cumulative sum 1st monthly stools with other organisms, by wet prep microscopy","Cumulative sum 1st monthly stools with other parasites, by wet prep microscopy",EUPATH_0010785
Cumulative sum parasite species in 1st diarrheal stools,Cumulative sum parasite species in 1st monthly stools,EUPATH_0010904
Cumulative sum parasite species in 1st monthly stools,Cumulative sum parasite species in 1st diarrhea stools,EUPATH_0010903
Cumulative sum parasite species in stool samples,Cumulative sum parasite species in stools,EUPATH_0010902
"Cumulative sum stools with other organisms, by modified acid stain microscopy","Cumulative sum stools with other parasites, by modified acid stain microscopy",EUPATH_0010763
"Cumulative sum stools with other organisms, by wet prep microscopy","Cumulative sum stools with other parasites, by wet prep microscopy",EUPATH_0010783
Mean parasite species count in stool samples,Mean parasite species count in stools,EUPATH_0010886
Aggregate data for eukaryote detection in stool,Aggregate data for eukaryota detection in stool,EUPATH_0011810
Cumulative sum pathogen species in 1st diarrheal stools (ex NRV),Cumulative sum pathogen species (ex NRV) in 1st diarrheal stools,EUPATH_0010921
Cumulative sum pathogen species in 1st monthly stools (ex NRV),Cumulative sum pathogen species (ex NRV) in 1st monthly stools,EUPATH_0010922
Cumulative sum pathogen species in stool samples,Cumulative sum pathogen species in stools,EUPATH_0010916
Cumulative sum pathogen species in stool samples (ex NRV),Cumulative sum pathogen species (ex NRV) in stools,EUPATH_0010920
Cumulative sum unique pathogen species in 1st monthly stools (ex NRV),"Unique pathogen species count (ex NRV), diarrheal stools",EUPATH_0010914
Cumulative sum unique pathogen species in all protocol compliant diarrheal stools,Cumulative sum unique pathogen species in diarrheal stools,EUPATH_0010907
Cumulative sum unique pathogen species in stool samples,Cumulative sum unique pathogen species in stools,EUPATH_0010906
Cumulative sum unique pathogen species in stool samples (ex NRV),Cumulative sum unique pathogen species (ex NRV) in stools,EUPATH_0010912
Mean pathogen species count in 1st diarrheal stools (ex NRV),Mean pathogen species (ex NRV) count in 1st diarrheal stools,EUPATH_0010893
Mean pathogen species count in 1st monthly stools (ex NRV),Mean pathogen species (ex NRV) count in 1st monthly stools,EUPATH_0010895
Mean pathogen species count in stool samples,Mean pathogen species count in stools,EUPATH_0010891
Mean pathogen species count in stool samples (ex NRV),Mean pathogen species (ex NRV) count in stools,EUPATH_0010896
Cumulative sum virus species in 1st diarrheal stools (ex NRV),Cumulative sum virus species (ex NRV) in 1st diarrheal stools,EUPATH_0010929
