colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
7,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,trt_arm,1,nectar1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Treatment arm (1=DP, 2=DP-PQ, 3=PA, 4=PA-PQ)",%9.0g,variable,,,,,NECTAR1,,,yes,,,,,,
2,http://purl.obolibrary.org/obo/EUPATH_0061010,Time since intervention started,studyvisit_num,2,nectar1,Days after treatment start,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Days after treatment start,%10.0g,variable,,yes,yes,,NECTAR1,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,1,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,2,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,,NECTAR1,,,,,,,,,
8,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,hbrsult,1,nectar1,,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,Hb concentration g/dL,%8.0g,variable,,,,,NECTAR1,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,age_cat,1,nectar1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age categories (5 years),%9.0g,variable,,,,,NECTAR1,,,,,,,,,
4,http://purl.obolibrary.org/obo/PATO_0000047,Sex,sex_bin,2,nectar1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Sex binary (Female = 0, Male =1)",%9.0g,variable,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,1,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,,1,,,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,2,,,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,category,,,,,NECTAR1,,,,,,,,,
